seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13277,2025,CONCACAF.LEAGUES.CUP,219,3313,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-08-08 04:43:37
13277,2025,CONCACAF.LEAGUES.CUP,21300,6746,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2025-08-08 04:43:35
13277,2025,CONCACAF.LEAGUES.CUP,21300,7567,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2025-08-08 04:43:35
13277,2025,CONCACAF.LEAGUES.CUP,216,12425,2,0,0,2,0,0,0,0,0,1,2,0,0,0,4,2025-08-08 04:43:34
13277,2025,CONCACAF.LEAGUES.CUP,6077,17478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-08 04:43:38
13277,2025,CONCACAF.LEAGUES.CUP,220,23761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-08 04:43:45
13277,2025,CONCACAF.LEAGUES.CUP,9723,29447,3,0,4,3,1,0,0,0,1,0,0,0,0,0,1,2025-08-08 04:43:46
13277,2025,CONCACAF.LEAGUES.CUP,219,37249,2,0,2,1,0,0,0,0,0,0,0,0,0,0,3,2025-08-08 04:43:37
13277,2025,CONCACAF.LEAGUES.CUP,220,41579,2,0,2,2,0,0,0,0,0,2,4,0,0,0,4,2025-08-08 04:43:45
13277,2025,CONCACAF.LEAGUES.CUP,18267,42583,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2025-08-08 04:43:36
13277,2025,CONCACAF.LEAGUES.CUP,20232,45843,2,0,2,1,0,0,0,2,0,0,6,0,0,0,1,2025-08-08 04:43:43
13277,2025,CONCACAF.LEAGUES.CUP,222,47905,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2025-08-08 04:44:01
13277,2025,CONCACAF.LEAGUES.CUP,18418,48128,2,0,1,8,0,0,0,0,3,1,7,0,0,0,6,2025-08-08 04:43:34
13277,2025,CONCACAF.LEAGUES.CUP,232,49306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-08 04:44:02
13277,2025,CONCACAF.LEAGUES.CUP,18418,56935,2,0,0,0,0,0,1,0,0,0,0,0,0,6,6,2025-08-08 04:43:34
13277,2025,CONCACAF.LEAGUES.CUP,223,57149,3,3,0,1,0,0,0,0,0,1,1,0,0,0,0,2025-08-08 04:44:03
13277,2025,CONCACAF.LEAGUES.CUP,6077,65434,2,0,0,1,0,0,0,0,0,0,0,0,0,7,6,2025-08-08 04:43:38
13277,2025,CONCACAF.LEAGUES.CUP,232,68340,3,0,0,1,1,0,0,0,0,0,0,0,0,9,4,2025-08-08 04:44:02
13277,2025,CONCACAF.LEAGUES.CUP,17606,70624,2,0,7,6,0,0,0,0,1,1,2,0,0,0,2,2025-08-08 04:43:45
13277,2025,CONCACAF.LEAGUES.CUP,9723,71042,2,0,2,1,0,0,0,1,0,0,0,0,0,0,1,2025-08-08 04:43:46
13277,2025,CONCACAF.LEAGUES.CUP,233,73247,2,0,1,0,0,1,1,0,0,0,0,0,0,2,3,2025-08-08 04:44:00
13277,2025,CONCACAF.LEAGUES.CUP,218,74070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-08 04:43:36
13277,2025,CONCACAF.LEAGUES.CUP,18267,75574,2,1,0,3,0,0,0,0,1,1,3,0,0,0,3,2025-08-08 04:43:36
13277,2025,CONCACAF.LEAGUES.CUP,15720,77934,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2025-08-08 04:43:35
13277,2025,CONCACAF.LEAGUES.CUP,15720,78772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-08 04:43:35
13277,2025,CONCACAF.LEAGUES.CUP,220,79608,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2025-08-08 04:43:45
13277,2025,CONCACAF.LEAGUES.CUP,4771,82716,2,1,2,4,0,0,0,0,0,1,2,1,0,0,2,2025-02-14 05:51:54
13277,2025,CONCACAF.LEAGUES.CUP,228,82816,3,0,0,5,1,0,0,1,1,4,4,0,0,0,4,2025-08-08 04:43:44
13277,2025,CONCACAF.LEAGUES.CUP,20702,83433,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,2025-08-08 04:43:44
