seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13213,2025,ECU.1,6017,3275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:54:55
13213,2025,ECU.1,882,24110,11,5,7,9,1,0,0,1,0,0,7,0,0,0,17,2025-12-10 05:54:56
13213,2025,ECU.1,2668,32687,32,12,17,11,3,0,0,3,0,12,39,5,0,0,25,2025-12-10 05:54:57
13213,2025,ECU.1,882,34150,19,9,13,22,2,0,0,1,0,9,26,2,0,0,18,2025-12-10 05:54:56
13213,2025,ECU.1,18439,70683,19,0,2,7,5,1,0,0,0,0,0,0,0,57,17,2025-12-10 05:54:58
13213,2025,ECU.1,2686,74966,10,2,5,8,0,0,1,0,0,0,4,0,0,0,10,2025-12-10 05:54:56
13213,2025,ECU.1,2668,75703,19,1,13,14,5,0,0,0,0,3,6,0,0,0,21,2025-12-10 05:54:57
13213,2025,ECU.1,17086,77319,8,3,10,2,0,0,0,0,0,2,5,0,0,0,6,2025-12-10 05:54:57
13213,2025,ECU.1,18439,77969,11,3,6,7,0,0,0,0,0,7,28,0,0,0,6,2025-12-10 05:54:58
13213,2025,ECU.1,9292,78158,30,17,19,18,3,0,0,3,0,12,38,3,0,0,21,2025-12-10 05:54:59
13213,2025,ECU.1,4816,82355,34,7,40,36,2,0,0,3,0,7,22,5,0,0,21,2025-12-10 05:54:58
13213,2025,ECU.1,2668,82650,27,15,26,11,5,0,0,0,0,7,16,5,0,0,16,2025-12-10 05:54:57
13213,2025,ECU.1,20695,83910,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2025-12-10 05:54:59
13213,2025,ECU.1,4816,95614,24,1,0,3,1,0,1,0,0,0,0,0,0,51,26,2025-12-10 05:54:58
13213,2025,ECU.1,20695,95831,5,3,3,2,1,0,0,0,0,1,3,0,0,0,2,2025-12-10 05:54:59
13213,2025,ECU.1,20695,96165,23,0,17,15,6,0,1,0,0,3,7,1,0,0,25,2025-12-10 05:54:59
13213,2025,ECU.1,2686,98025,15,9,10,10,2,0,0,0,0,4,12,2,0,0,7,2025-12-10 05:54:56
13213,2025,ECU.1,1011,99003,10,7,8,8,2,0,0,1,0,0,5,0,0,0,9,2025-12-10 05:54:56
13213,2025,ECU.1,10307,103472,13,5,12,5,2,0,0,0,0,1,5,0,0,0,17,2025-12-10 05:54:58
13213,2025,ECU.1,2686,104504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:54:56
13213,2025,ECU.1,882,104678,33,3,37,46,2,1,0,1,0,7,21,0,0,0,49,2025-12-10 05:54:56
13213,2025,ECU.1,10307,104678,33,3,37,46,2,1,0,1,0,7,21,0,0,0,49,2025-12-10 05:54:58
13213,2025,ECU.1,2668,105756,36,0,1,7,2,0,0,0,0,0,0,0,0,123,38,2025-12-10 05:54:57
13213,2025,ECU.1,17176,107405,26,7,29,29,3,0,0,2,0,10,29,2,0,0,31,2025-12-10 05:54:59
13213,2025,ECU.1,10307,111978,23,14,21,21,2,0,0,0,0,4,10,1,0,0,10,2025-12-10 05:54:58
13213,2025,ECU.1,10307,116167,13,1,7,3,1,0,0,0,0,1,3,0,0,0,18,2025-12-10 05:54:58
13213,2025,ECU.1,2668,118425,15,6,9,20,2,0,0,2,0,2,4,2,0,0,8,2025-12-10 05:54:57
13213,2025,ECU.1,1011,126097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:54:56
13213,2025,ECU.1,9283,127069,31,8,11,43,5,0,0,8,0,8,26,4,0,0,28,2025-12-10 05:55:00
13213,2025,ECU.1,9292,127277,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:54:59
13213,2025,ECU.1,6017,129536,27,5,21,36,2,1,0,6,0,21,38,8,0,0,25,2025-12-10 05:54:55
13213,2025,ECU.1,17176,130428,5,3,4,5,1,0,0,0,0,2,5,1,0,0,5,2025-12-10 05:54:59
13213,2025,ECU.1,4816,131726,14,0,0,1,0,0,0,0,0,0,0,0,0,37,13,2025-12-10 05:54:58
13213,2025,ECU.1,9292,132220,21,4,20,19,2,0,0,0,0,15,30,5,0,0,26,2025-12-10 05:54:59
13213,2025,ECU.1,17086,135298,21,10,8,16,1,0,0,2,0,4,16,1,0,0,12,2025-12-10 05:54:57
13213,2025,ECU.1,9292,136768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:54:59
13213,2025,ECU.1,9283,136944,23,1,1,0,2,0,0,0,0,0,0,0,0,62,31,2025-12-10 05:55:00
13213,2025,ECU.1,6017,137032,7,6,5,2,0,0,0,0,0,3,4,0,0,0,5,2025-12-10 05:54:55
13213,2025,ECU.1,20695,137516,19,12,6,1,0,1,0,0,0,2,9,0,0,0,13,2025-12-10 05:54:59
13213,2025,ECU.1,21843,140050,21,20,11,1,3,1,0,1,0,15,22,5,0,0,6,2025-12-10 05:54:57
13213,2025,ECU.1,17086,140722,23,10,4,8,2,0,0,4,0,7,15,3,0,0,9,2025-12-10 05:54:57
13213,2025,ECU.1,17086,143288,31,14,18,26,2,0,0,4,0,27,57,10,0,0,9,2025-12-10 05:54:57
13213,2025,ECU.1,6017,144645,32,6,8,7,0,0,0,4,0,26,65,11,0,0,28,2025-12-10 05:54:55
13213,2025,ECU.1,2686,144821,34,16,33,14,6,0,0,1,0,3,6,0,0,0,29,2025-12-10 05:54:56
13213,2025,ECU.1,2686,144862,11,0,10,12,4,1,0,0,0,0,4,0,0,0,7,2025-12-10 05:54:56
13213,2025,ECU.1,17176,144874,34,3,20,55,5,0,0,4,0,31,79,7,0,0,44,2025-12-10 05:54:59
13213,2025,ECU.1,18439,144900,28,14,27,34,5,0,0,0,0,16,41,5,0,0,14,2025-12-10 05:54:58
13213,2025,ECU.1,882,145626,35,3,44,38,6,0,0,0,0,12,53,1,0,0,54,2025-12-10 05:54:56
13213,2025,ECU.1,22535,146352,30,8,21,37,6,1,2,0,0,3,12,1,0,0,33,2025-12-10 05:55:00
13213,2025,ECU.1,2686,149029,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:54:56
13213,2025,ECU.1,20695,150074,35,1,26,23,8,1,0,3,0,6,29,2,0,0,39,2025-12-10 05:54:59
