seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13534,2025,ENG.3,314,5527,18,5,24,28,2,0,0,1,0,9,23,4,0,0,7,2025-12-10 05:56:11
13534,2025,ENG.3,348,6156,4,1,3,5,0,0,0,0,0,0,2,0,0,0,7,2025-12-10 05:56:13
13534,2025,ENG.3,307,8507,11,9,2,6,0,0,0,0,0,1,6,0,0,0,9,2025-12-10 05:56:13
13534,2025,ENG.3,350,11547,18,11,11,11,1,0,0,1,0,9,16,4,0,0,9,2025-12-10 05:56:14
13534,2025,ENG.3,301,16040,11,3,13,7,1,0,0,1,0,0,6,0,0,0,8,2025-12-10 05:56:11
13534,2025,ENG.3,397,20016,12,6,4,8,2,0,0,1,0,5,15,2,0,0,8,2025-12-10 05:56:08
13534,2025,ENG.3,285,22125,9,6,5,3,1,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:56:14
13534,2025,ENG.3,358,29239,6,6,1,1,1,0,0,0,0,1,1,0,0,0,2,2025-12-10 05:56:09
13534,2025,ENG.3,338,32570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:56:13
13534,2025,ENG.3,397,41384,14,3,14,8,2,0,0,0,0,7,31,2,0,0,12,2025-12-10 05:56:08
13534,2025,ENG.3,279,43617,18,4,11,32,1,0,0,1,0,8,27,3,0,0,18,2025-12-10 05:56:10
13534,2025,ENG.3,3802,75642,15,0,15,13,5,0,1,0,0,3,16,2,0,0,21,2025-12-10 05:56:08
13534,2025,ENG.3,400,84105,9,0,0,2,0,0,0,0,0,0,0,0,0,20,9,2025-12-10 05:56:14
13534,2025,ENG.3,285,92155,14,4,14,22,3,0,0,1,0,4,13,2,0,0,6,2025-12-10 05:56:14
