seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13646,2025,ENG.W.1,19976,23830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:56:05
13646,2025,ENG.W.1,20061,134423,6,6,3,3,0,0,0,0,0,1,2,0,0,0,0,2025-12-10 05:56:07
13646,2025,ENG.W.1,21053,140019,10,0,13,13,3,0,0,1,1,5,8,2,0,0,20,2025-12-10 05:56:07
13646,2025,ENG.W.1,21053,144829,10,0,8,8,1,0,0,1,1,3,5,2,0,0,19,2025-12-10 05:56:07
13646,2025,ENG.W.1,19973,158678,10,3,10,9,2,0,0,0,2,6,14,1,0,0,5,2025-12-10 05:56:04
13646,2025,ENG.W.1,19970,158683,8,8,0,2,0,0,0,0,1,3,10,2,0,0,1,2025-12-10 05:56:05
13646,2025,ENG.W.1,21036,158693,10,2,8,4,2,0,0,1,1,2,5,1,0,0,17,2025-12-10 05:56:06
13646,2025,ENG.W.1,21053,158770,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-10 05:56:07
13646,2025,ENG.W.1,19973,176041,8,1,4,6,0,0,0,0,0,1,4,0,0,0,6,2025-12-10 05:56:04
13646,2025,ENG.W.1,19975,188069,10,0,22,27,2,0,0,1,2,7,26,1,0,0,22,2025-12-10 05:56:08
13646,2025,ENG.W.1,19971,188447,5,0,2,2,0,0,0,0,1,1,3,0,0,0,10,2025-12-10 05:56:06
13646,2025,ENG.W.1,19970,188448,5,2,2,4,0,0,0,0,1,1,4,0,0,0,1,2025-12-10 05:56:05
13646,2025,ENG.W.1,19257,204659,6,0,2,3,1,0,0,1,0,1,5,0,0,0,7,2025-12-10 05:56:07
13646,2025,ENG.W.1,20061,208938,9,0,0,1,0,0,0,0,0,0,0,0,0,18,7,2025-12-10 05:56:07
13646,2025,ENG.W.1,19972,209174,4,0,0,2,0,0,0,0,0,0,0,0,0,13,5,2025-12-10 05:56:06
13646,2025,ENG.W.1,20707,209364,8,0,0,3,0,0,0,0,0,0,0,0,0,16,9,2025-12-10 05:56:05
13646,2025,ENG.W.1,19972,211151,10,5,2,2,1,0,0,2,5,1,7,0,0,0,13,2025-12-10 05:56:06
13646,2025,ENG.W.1,21053,211733,10,9,0,2,0,0,0,0,0,1,2,0,0,0,9,2025-12-10 05:56:07
13646,2025,ENG.W.1,21036,213939,5,0,3,1,0,0,0,0,0,0,0,0,0,0,12,2025-12-10 05:56:06
13646,2025,ENG.W.1,19973,219079,10,1,5,12,2,0,0,0,0,3,6,0,0,0,6,2025-12-10 05:56:04
13646,2025,ENG.W.1,19976,219773,8,1,0,3,0,0,0,1,0,6,8,2,0,0,6,2025-12-10 05:56:05
13646,2025,ENG.W.1,21053,219819,8,6,4,0,1,0,0,0,0,2,3,0,0,0,7,2025-12-10 05:56:07
13646,2025,ENG.W.1,19973,219822,10,0,3,3,0,0,0,2,0,1,3,0,0,0,9,2025-12-10 05:56:04
13646,2025,ENG.W.1,19975,219825,10,0,13,14,3,0,0,0,0,3,12,0,0,0,21,2025-12-10 05:56:08
13646,2025,ENG.W.1,19257,219945,10,0,5,5,0,0,0,1,0,14,32,3,0,0,7,2025-12-10 05:56:07
13646,2025,ENG.W.1,20061,219947,10,1,5,2,1,0,0,1,0,1,4,1,0,0,10,2025-12-10 05:56:07
13646,2025,ENG.W.1,20707,220024,6,0,10,5,1,0,0,1,0,0,2,0,0,0,9,2025-12-10 05:56:05
13646,2025,ENG.W.1,19257,223470,8,0,0,1,0,0,0,0,0,0,0,0,0,14,7,2025-12-10 05:56:07
13646,2025,ENG.W.1,20062,226804,8,8,3,0,2,0,0,0,1,0,3,0,0,0,5,2025-12-10 05:56:07
13646,2025,ENG.W.1,19257,229456,5,5,2,0,0,0,0,0,1,2,2,1,0,0,2,2025-12-10 05:56:07
13646,2025,ENG.W.1,19971,230835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:56:06
13646,2025,ENG.W.1,19975,235712,9,0,7,0,1,0,0,0,1,0,4,0,0,0,20,2025-12-10 05:56:08
13646,2025,ENG.W.1,19970,236710,9,1,2,5,1,0,0,2,0,2,8,1,0,0,6,2025-12-10 05:56:05
13646,2025,ENG.W.1,19973,240274,9,5,4,3,0,0,0,2,5,14,26,5,0,0,3,2025-12-10 05:56:04
13646,2025,ENG.W.1,20061,240277,9,4,2,3,0,0,0,1,0,0,8,0,0,0,5,2025-12-10 05:56:07
13646,2025,ENG.W.1,21053,246314,10,0,11,20,4,0,0,1,3,6,18,3,0,0,15,2025-12-10 05:56:07
13646,2025,ENG.W.1,21036,248450,6,1,2,1,0,0,0,0,0,0,0,0,0,0,13,2025-12-10 05:56:06
13646,2025,ENG.W.1,20707,248769,9,2,6,7,1,0,0,0,4,2,11,0,0,0,7,2025-12-10 05:56:05
13646,2025,ENG.W.1,19970,248770,9,0,10,1,3,0,0,0,0,1,6,0,0,0,5,2025-12-10 05:56:05
