seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13079,2025,FIFA.WORLDQ.UEFA,578,6327,6,0,6,3,1,0,0,1,0,2,9,1,0,0,8,2025-11-11 06:02:11
13079,2025,FIFA.WORLDQ.UEFA,476,7441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:47
13079,2025,FIFA.WORLDQ.UEFA,580,16264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:48
13079,2025,FIFA.WORLDQ.UEFA,580,17617,2,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2025-11-20 06:02:48
13079,2025,FIFA.WORLDQ.UEFA,578,17861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-30 05:09:47
13079,2025,FIFA.WORLDQ.UEFA,586,20016,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-11-20 06:02:46
13079,2025,FIFA.WORLDQ.UEFA,587,22773,7,5,10,10,1,0,0,0,1,0,3,0,0,0,3,2025-11-20 06:02:35
13079,2025,FIFA.WORLDQ.UEFA,482,22774,5,0,3,0,0,1,0,0,5,12,31,5,0,0,5,2025-11-20 06:02:47
13079,2025,FIFA.WORLDQ.UEFA,587,24278,7,0,0,1,0,0,0,0,0,0,0,0,17,25,15,2025-11-11 06:01:57
13079,2025,FIFA.WORLDQ.UEFA,587,26150,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2025-10-09 12:15:48
13079,2025,FIFA.WORLDQ.UEFA,462,30116,5,1,4,5,0,0,0,0,0,0,0,0,0,0,10,2025-11-20 06:02:37
13079,2025,FIFA.WORLDQ.UEFA,579,31969,3,1,4,1,0,0,0,0,0,1,1,0,0,0,10,2025-11-20 06:02:35
13079,2025,FIFA.WORLDQ.UEFA,579,31974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-09 05:13:44
13079,2025,FIFA.WORLDQ.UEFA,445,33227,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2025-09-04 05:08:57
13079,2025,FIFA.WORLDQ.UEFA,587,35915,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-16 06:10:42
13079,2025,FIFA.WORLDQ.UEFA,479,40200,6,0,0,0,1,0,0,0,0,0,0,0,0,7,7,2025-11-20 06:02:38
13079,2025,FIFA.WORLDQ.UEFA,476,41011,2,0,1,2,1,0,0,0,0,0,0,0,0,0,4,2025-10-03 05:04:53
13079,2025,FIFA.WORLDQ.UEFA,476,43575,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,2025-10-03 05:04:53
13079,2025,FIFA.WORLDQ.UEFA,578,45548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:50
13079,2025,FIFA.WORLDQ.UEFA,578,68601,5,3,2,1,0,0,0,0,0,1,6,0,0,0,4,2025-11-20 06:02:50
13079,2025,FIFA.WORLDQ.UEFA,578,72487,8,4,1,8,0,0,0,0,0,6,12,2,0,1,8,2025-11-20 06:02:50
13079,2025,FIFA.WORLDQ.UEFA,586,75642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:46
13079,2025,FIFA.WORLDQ.UEFA,477,76762,8,4,0,4,0,0,0,2,0,3,15,1,0,0,2,2025-11-20 06:02:37
13079,2025,FIFA.WORLDQ.UEFA,482,78836,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:47
13079,2025,FIFA.WORLDQ.UEFA,452,79941,8,0,0,0,1,0,0,0,0,0,0,0,25,15,7,2025-11-20 06:02:37
13079,2025,FIFA.WORLDQ.UEFA,476,82568,4,4,0,0,0,0,0,0,1,0,2,0,0,0,1,2025-11-20 06:02:47
13079,2025,FIFA.WORLDQ.UEFA,580,93435,5,1,5,3,2,0,0,0,0,2,4,2,0,0,5,2025-11-20 06:02:48
13079,2025,FIFA.WORLDQ.UEFA,578,93736,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-04-24 11:57:47
13079,2025,FIFA.WORLDQ.UEFA,470,95094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:41
13079,2025,FIFA.WORLDQ.UEFA,578,97867,7,3,6,4,2,0,0,0,0,10,13,1,0,0,7,2025-11-20 06:02:50
13079,2025,FIFA.WORLDQ.UEFA,474,98193,7,2,7,5,0,0,0,1,3,11,16,8,0,0,2,2025-11-20 06:02:36
13079,2025,FIFA.WORLDQ.UEFA,587,100718,6,3,1,1,0,0,0,0,0,1,2,0,0,0,8,2025-11-11 06:01:57
13079,2025,FIFA.WORLDQ.UEFA,452,102337,7,1,5,13,1,0,0,0,0,8,25,5,0,0,6,2025-11-20 06:02:37
13079,2025,FIFA.WORLDQ.UEFA,477,103485,8,2,3,3,0,0,0,4,4,10,19,4,0,0,4,2025-11-20 06:02:37
13079,2025,FIFA.WORLDQ.UEFA,580,104943,6,0,2,0,0,0,0,2,0,0,1,0,0,0,7,2025-11-20 06:02:48
13079,2025,FIFA.WORLDQ.UEFA,588,111851,2,2,1,0,0,0,0,0,0,0,0,0,0,0,6,2025-11-20 06:02:47
13079,2025,FIFA.WORLDQ.UEFA,586,112423,4,4,2,0,1,0,0,0,0,1,2,0,0,0,1,2025-11-20 06:02:46
13079,2025,FIFA.WORLDQ.UEFA,471,116632,5,5,2,3,0,0,0,0,0,0,1,0,0,0,1,2025-11-20 06:02:46
13079,2025,FIFA.WORLDQ.UEFA,474,118444,4,0,1,0,2,0,0,1,0,0,2,0,0,0,2,2025-11-20 06:02:36
13079,2025,FIFA.WORLDQ.UEFA,16721,119465,7,3,9,9,2,0,0,0,0,1,3,1,0,1,12,2025-11-20 06:02:41
13079,2025,FIFA.WORLDQ.UEFA,6775,119612,6,0,3,8,0,0,0,1,1,6,15,1,0,0,8,2025-11-20 06:02:45
13079,2025,FIFA.WORLDQ.UEFA,481,120829,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:40
13079,2025,FIFA.WORLDQ.UEFA,445,121738,4,0,0,2,0,0,0,0,0,0,0,0,17,10,4,2025-11-20 06:02:38
13079,2025,FIFA.WORLDQ.UEFA,482,124091,5,0,2,3,2,0,0,0,0,6,15,3,0,0,3,2025-11-20 06:02:47
13079,2025,FIFA.WORLDQ.UEFA,465,124880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:50
13079,2025,FIFA.WORLDQ.UEFA,471,125824,7,1,7,11,0,0,0,2,0,6,20,4,0,0,4,2025-11-20 06:02:46
13079,2025,FIFA.WORLDQ.UEFA,462,126645,2,0,1,3,0,0,0,0,0,2,3,1,0,0,2,2025-11-20 06:02:37
13079,2025,FIFA.WORLDQ.UEFA,468,126703,6,0,1,3,0,0,0,0,0,0,0,0,0,21,8,2025-11-20 06:02:48
13079,2025,FIFA.WORLDQ.UEFA,448,127262,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:38
13079,2025,FIFA.WORLDQ.UEFA,458,127520,4,4,1,0,0,0,0,0,0,0,3,0,0,0,1,2025-11-20 06:02:39
13079,2025,FIFA.WORLDQ.UEFA,453,127749,8,0,0,2,0,0,0,0,0,0,0,0,34,31,19,2025-11-20 06:02:44
13079,2025,FIFA.WORLDQ.UEFA,584,127805,4,1,2,0,0,0,0,0,0,1,3,0,0,0,8,2025-11-20 06:02:40
13079,2025,FIFA.WORLDQ.UEFA,464,129285,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-20 06:02:46
13079,2025,FIFA.WORLDQ.UEFA,448,129358,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-10 04:35:41
13079,2025,FIFA.WORLDQ.UEFA,453,130363,7,2,9,3,1,0,0,0,0,0,2,0,0,2,8,2025-11-20 06:02:44
13079,2025,FIFA.WORLDQ.UEFA,468,130849,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:48
13079,2025,FIFA.WORLDQ.UEFA,578,130877,8,0,0,0,0,0,0,0,0,0,0,0,16,8,11,2025-11-20 06:02:50
13079,2025,FIFA.WORLDQ.UEFA,476,131639,4,0,3,4,1,0,0,0,0,0,0,0,0,0,2,2025-11-20 06:02:47
13079,2025,FIFA.WORLDQ.UEFA,481,132659,1,0,3,1,0,0,0,0,0,1,1,0,0,0,1,2025-10-01 05:04:44
13079,2025,FIFA.WORLDQ.UEFA,483,133688,5,1,5,0,0,0,0,0,0,0,2,0,0,0,13,2025-11-20 06:02:44
13079,2025,FIFA.WORLDQ.UEFA,579,133728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-09 05:13:44
13079,2025,FIFA.WORLDQ.UEFA,466,133993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-20 06:02:49
13079,2025,FIFA.WORLDQ.UEFA,458,134169,4,0,0,0,0,0,0,0,0,0,0,0,29,21,5,2025-11-20 06:02:39
