seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13553,2025,FRA.2,7869,41549,6,0,0,3,1,0,0,0,0,0,0,0,0,13,6,2025-12-10 05:57:37
13553,2024,FRA.2,11312,45177,6,5,2,0,0,0,0,0,0,1,2,1,0,0,3,2025-06-28 23:09:01
13553,2025,FRA.2,3266,73342,12,2,16,12,2,0,0,0,0,7,14,1,0,0,10,2025-12-10 05:57:41
13553,2025,FRA.2,3266,84982,16,0,0,5,2,0,0,0,0,0,0,0,0,40,20,2025-12-10 05:57:41
13553,2024,FRA.2,6851,86255,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-28 23:09:02
13553,2025,FRA.2,173,88781,11,2,15,9,3,0,0,1,0,0,8,0,0,0,12,2025-12-10 05:57:37
13553,2025,FRA.2,173,89090,13,0,0,5,0,0,0,0,0,0,0,0,0,23,15,2025-12-10 05:57:37
13553,2024,FRA.2,177,98965,19,1,11,3,2,0,0,1,0,4,8,2,0,0,19,2025-06-28 23:09:02
13553,2025,FRA.2,3171,102397,15,3,15,10,0,0,0,0,0,3,11,1,0,0,13,2025-12-10 05:57:38
13553,2024,FRA.2,177,104028,16,1,0,5,0,0,1,0,0,0,0,0,0,46,13,2025-06-28 23:09:02
13553,2024,FRA.2,2927,105373,23,2,18,13,1,1,0,0,0,4,14,2,0,0,28,2025-06-28 23:09:00
13553,2025,FRA.2,7869,105727,3,3,3,0,0,1,0,0,0,2,3,0,0,0,0,2025-12-10 05:57:37
13553,2025,FRA.2,274,110057,16,0,27,30,2,0,0,1,0,12,38,4,0,0,15,2025-12-10 05:57:39
13553,2024,FRA.2,2927,110057,30,2,38,39,4,0,0,2,0,32,85,8,0,0,50,2025-06-28 23:09:00
13553,2024,FRA.2,2927,113577,19,3,14,17,7,0,0,1,0,4,13,1,0,0,34,2025-06-28 23:09:00
13553,2025,FRA.2,3171,118091,12,5,6,10,4,0,0,1,0,0,2,0,0,0,13,2025-12-10 05:57:38
13553,2025,FRA.2,3267,118265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:37
13553,2024,FRA.2,2927,119513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-28 23:09:00
13553,2025,FRA.2,178,120496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:41
13553,2025,FRA.2,18066,121996,16,0,26,5,2,0,0,0,0,1,9,0,0,0,15,2025-12-10 05:57:37
13553,2025,FRA.2,18066,126156,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:57:37
