seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13246,2025,GLOBAL.PINATAR_CUP,2753,119954,3,1,0,3,0,0,0,0,0,0,0,0,0,0,1,2025-04-05 08:29:03
13246,2025,GLOBAL.PINATAR_CUP,2812,158845,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2025-04-05 08:29:04
13246,2025,GLOBAL.PINATAR_CUP,2753,209278,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2025-04-05 08:29:03
13246,2025,GLOBAL.PINATAR_CUP,2753,209364,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2025-04-05 08:29:03
13246,2025,GLOBAL.PINATAR_CUP,2753,209687,2,0,1,2,1,0,0,0,0,1,1,1,0,0,1,2025-04-05 08:29:03
13246,2025,GLOBAL.PINATAR_CUP,2753,211044,2,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2025-04-05 08:29:03
13246,2025,GLOBAL.PINATAR_CUP,2753,213918,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2025-04-05 08:29:03
13246,2025,GLOBAL.PINATAR_CUP,2812,213949,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,2025-04-05 08:29:04
13246,2025,GLOBAL.PINATAR_CUP,2812,219205,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2025-04-05 08:29:04
13246,2025,GLOBAL.PINATAR_CUP,2753,219768,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2025-04-05 08:29:03
13246,2025,GLOBAL.PINATAR_CUP,2753,219769,3,2,2,2,0,0,0,0,0,3,8,1,0,0,0,2025-04-05 08:29:03
13246,2025,GLOBAL.PINATAR_CUP,2754,219849,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2025-04-05 08:29:04
13246,2025,GLOBAL.PINATAR_CUP,2754,219856,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2025-04-05 08:29:04
13246,2025,GLOBAL.PINATAR_CUP,2812,225038,3,3,3,1,0,0,0,1,0,0,2,0,0,0,2,2025-04-05 08:29:04
13246,2025,GLOBAL.PINATAR_CUP,2753,225339,3,1,2,2,0,0,0,1,0,0,1,0,0,0,0,2025-04-05 08:29:03
13246,2025,GLOBAL.PINATAR_CUP,2753,225706,2,2,3,0,0,0,0,0,0,0,0,0,0,0,1,2025-04-05 08:29:03
