seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13369,2025,GLOBAL.TOULON,5172,128179,2,0,3,2,1,0,0,0,0,0,1,0,0,0,4,2025-06-12 04:47:17
13369,2025,GLOBAL.TOULON,5195,141631,3,1,3,0,0,0,0,1,0,2,2,2,0,0,2,2025-06-12 04:47:18
13369,2025,GLOBAL.TOULON,5172,178850,3,2,0,1,0,0,0,0,0,1,1,1,0,0,5,2025-06-12 04:47:17
13369,2025,GLOBAL.TOULON,5195,225119,2,0,1,0,1,0,0,0,0,0,0,0,0,0,4,2025-06-12 04:47:18
13369,2025,GLOBAL.TOULON,17763,276128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 04:47:17
13369,2025,GLOBAL.TOULON,5172,303277,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2025-06-12 04:47:17
13369,2025,GLOBAL.TOULON,130879,312022,3,2,0,4,0,0,0,0,0,0,0,0,0,0,1,2025-06-12 04:47:16
13369,2025,GLOBAL.TOULON,20950,313423,3,0,4,4,1,0,0,0,0,7,14,3,0,0,5,2025-06-12 04:47:18
13369,2025,GLOBAL.TOULON,130879,315621,3,2,3,0,0,0,0,0,0,1,2,1,0,0,2,2025-06-12 04:47:16
13369,2025,GLOBAL.TOULON,130879,319174,2,1,2,1,0,0,0,0,0,0,1,0,0,0,2,2025-06-12 04:47:16
13369,2025,GLOBAL.TOULON,130879,319386,2,0,5,0,2,0,0,1,0,1,1,0,0,0,1,2025-06-12 04:47:16
13369,2025,GLOBAL.TOULON,5172,329916,3,2,0,1,0,0,0,1,0,0,1,0,0,0,5,2025-06-12 04:47:17
13369,2025,GLOBAL.TOULON,130879,330453,3,0,0,1,1,0,0,0,0,0,0,0,0,3,3,2025-06-12 04:47:16
13369,2025,GLOBAL.TOULON,12062,331084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 04:47:16
13369,2025,GLOBAL.TOULON,130879,332428,3,0,7,2,1,0,0,0,0,0,2,0,0,0,1,2025-06-12 04:47:16
13369,2025,GLOBAL.TOULON,130879,333398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-12 04:47:16
13369,2025,GLOBAL.TOULON,130879,336483,2,1,0,1,0,0,0,0,0,1,1,1,0,0,0,2025-06-12 04:47:16
13369,2025,GLOBAL.TOULON,5171,336494,3,2,3,0,1,0,0,0,0,0,0,0,0,0,1,2025-06-12 04:47:17
13369,2025,GLOBAL.TOULON,5171,336497,3,2,1,1,0,0,0,0,0,0,0,0,0,0,3,2025-06-12 04:47:17
13369,2025,GLOBAL.TOULON,20950,337325,3,0,11,5,2,0,0,0,0,0,0,0,0,0,5,2025-06-12 04:47:18
13369,2025,GLOBAL.TOULON,5172,338878,2,0,4,0,0,0,0,0,0,0,0,0,0,0,4,2025-06-12 04:47:17
13369,2025,GLOBAL.TOULON,20950,341460,2,0,0,1,0,0,0,3,0,1,4,0,0,0,3,2025-06-12 04:47:18
13369,2025,GLOBAL.TOULON,20950,341465,3,0,2,1,0,0,0,1,0,1,2,0,0,0,5,2025-06-12 04:47:18
13369,2025,GLOBAL.TOULON,20950,341467,3,0,0,0,1,0,0,0,0,0,0,0,0,9,3,2025-06-12 04:47:18
13369,2025,GLOBAL.TOULON,20950,341469,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2025-06-12 04:47:18
13369,2025,GLOBAL.TOULON,20950,341471,3,0,5,2,1,0,0,0,0,0,1,0,0,0,5,2025-06-12 04:47:18
