seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13654,2025,ITA.2,11137,26202,6,3,9,2,0,0,0,0,0,0,2,0,0,0,8,2025-12-10 05:57:36
13654,2025,ITA.2,3337,36884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:32
13654,2025,ITA.2,11139,41781,10,3,3,3,1,0,0,0,0,0,2,0,0,0,9,2025-12-10 05:57:35
13654,2025,ITA.2,2574,79852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:32
13654,2025,ITA.2,3290,89286,15,2,12,16,1,0,0,2,0,11,30,5,0,0,25,2025-12-10 05:57:34
13654,2025,ITA.2,3988,94817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:31
13654,2025,ITA.2,2734,107568,14,2,35,8,6,0,0,0,0,5,21,2,0,0,19,2025-12-10 05:57:35
13654,2025,ITA.2,3290,113572,2,0,1,1,0,0,0,0,0,1,1,0,0,0,2,2025-12-10 05:57:34
13654,2025,ITA.2,3290,119285,14,0,20,13,2,1,0,0,0,0,6,0,0,0,28,2025-12-10 05:57:34
13654,2025,ITA.2,11137,119398,14,0,0,1,0,0,0,0,0,0,0,0,0,36,19,2025-12-10 05:57:36
13654,2025,ITA.2,2734,120643,15,4,7,8,1,0,0,3,0,17,44,7,0,0,15,2025-12-10 05:57:35
13654,2025,ITA.2,11139,122121,3,0,0,1,0,0,0,0,0,0,0,0,0,8,5,2025-12-10 05:57:35
13654,2025,ITA.2,3942,123552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:35
13654,2025,ITA.2,3988,125004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2025-12-10 05:57:31
13654,2025,ITA.2,2573,129881,15,0,1,3,1,0,0,0,0,0,0,0,0,29,11,2025-12-10 05:57:33
13654,2025,ITA.2,11137,130732,14,0,21,9,5,0,0,0,0,3,10,1,0,0,19,2025-12-10 05:57:36
13654,2025,ITA.2,4007,131209,15,2,19,15,2,0,0,1,0,4,16,1,0,0,9,2025-12-10 05:57:34
13654,2025,ITA.2,3257,132070,11,4,5,8,0,0,0,1,0,2,5,0,0,0,9,2025-12-10 05:57:31
13654,2025,ITA.2,2734,134433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:35
13654,2025,ITA.2,106,135258,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:57:31
13654,2025,ITA.2,2923,138836,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2025-12-10 05:57:34
13654,2025,ITA.2,3257,139418,15,1,11,10,3,0,0,2,0,11,32,4,0,0,17,2025-12-10 05:57:31
13654,2025,ITA.2,4055,139543,9,0,0,3,0,0,0,0,0,0,0,0,0,27,15,2025-12-10 05:57:36
13654,2025,ITA.2,4055,142814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:36
13654,2025,ITA.2,4055,142897,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:36
13654,2025,ITA.2,3952,143696,13,3,8,9,3,0,0,1,0,1,2,0,0,0,6,2025-12-10 05:57:34
13654,2025,ITA.2,4056,144668,9,3,9,8,1,0,0,0,0,4,10,3,0,0,6,2025-12-10 05:57:35
13654,2025,ITA.2,17530,145138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:36
13654,2025,ITA.2,106,149483,12,8,6,8,0,0,0,0,0,5,9,3,0,0,11,2025-12-10 05:57:31
13654,2025,ITA.2,3952,149578,2,2,0,4,0,0,0,0,0,0,4,0,0,0,2,2025-12-10 05:57:34
13654,2025,ITA.2,2734,150713,7,4,2,5,0,0,0,0,0,0,5,0,0,0,3,2025-12-10 05:57:35
13654,2025,ITA.2,11137,151281,13,5,5,8,2,0,0,0,0,2,6,1,0,0,11,2025-12-10 05:57:36
13654,2025,ITA.2,3257,151665,15,0,0,5,1,0,0,0,0,0,1,0,0,34,18,2025-12-10 05:57:31
13654,2025,ITA.2,11139,152597,6,1,8,3,0,0,0,0,0,0,1,0,0,0,3,2025-12-10 05:57:35
13654,2025,ITA.2,2923,154564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:34
