seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13145,2025,NOR.1,510,9167,29,4,40,30,1,0,0,2,0,30,60,14,0,0,24,2025-12-10 05:57:51
13145,2025,NOR.1,3327,114205,21,5,24,36,6,1,0,1,0,4,20,0,0,0,28,2025-12-10 05:57:48
13145,2025,NOR.1,5270,129208,30,0,20,35,2,0,0,7,0,6,18,2,0,0,36,2025-12-10 05:57:51
13145,2025,NOR.1,22165,129211,25,14,12,11,3,0,0,2,0,2,6,1,0,0,20,2025-12-10 05:57:48
13145,2025,NOR.1,5002,129234,11,9,4,6,3,0,0,3,0,3,6,0,0,0,6,2025-12-10 05:57:50
13145,2025,NOR.1,2791,129267,22,3,22,14,1,0,0,3,0,3,7,0,0,0,29,2025-12-10 05:57:51
13145,2025,NOR.1,5002,129292,22,10,24,10,3,0,0,1,0,15,36,5,0,0,18,2025-12-10 05:57:50
13145,2025,NOR.1,21380,134074,27,0,0,3,1,0,0,0,0,0,0,0,0,103,38,2025-12-10 05:57:47
13145,2025,NOR.1,2715,134827,24,8,13,16,3,0,0,1,0,24,49,7,0,0,14,2025-12-10 05:57:48
13145,2025,NOR.1,2715,141189,27,9,3,7,1,0,0,4,0,14,42,3,0,0,34,2025-12-10 05:57:48
13145,2025,NOR.1,2715,146381,19,3,12,13,2,0,0,3,0,2,9,0,0,0,15,2025-12-10 05:57:48
13145,2025,NOR.1,6672,146895,30,0,9,11,1,0,1,0,0,4,12,1,0,0,58,2025-12-10 05:57:48
13145,2025,NOR.1,510,149479,13,1,0,2,0,0,0,0,0,0,0,0,0,31,9,2025-12-10 05:57:51
13145,2025,NOR.1,3039,153894,24,14,10,14,0,0,1,0,0,2,10,0,0,0,13,2025-12-10 05:57:47
13145,2025,NOR.1,5002,159247,29,0,39,10,6,0,0,2,0,3,12,1,0,0,48,2025-12-10 05:57:50
13145,2025,NOR.1,9811,162442,3,0,0,0,0,0,0,0,0,0,0,0,0,5,8,2025-12-10 05:57:50
13145,2025,NOR.1,9811,162470,29,0,19,24,4,0,1,1,0,7,25,2,0,0,66,2025-12-10 05:57:50
13145,2025,NOR.1,510,162495,14,8,13,8,1,1,0,1,0,11,23,6,0,0,10,2025-12-10 05:57:51
13145,2025,NOR.1,2715,162495,9,5,8,4,0,1,0,1,0,7,17,4,0,0,10,2025-08-05 04:41:26
13145,2025,NOR.1,510,164279,25,3,25,49,5,0,0,16,0,22,53,11,0,0,26,2025-12-10 05:57:51
13145,2025,NOR.1,9811,166628,29,0,9,6,0,0,1,1,0,8,19,3,0,0,66,2025-12-10 05:57:50
13145,2025,NOR.1,9811,166658,14,2,22,24,1,1,0,3,0,5,15,1,0,0,29,2025-12-10 05:57:50
13145,2025,NOR.1,9811,168749,28,2,16,14,2,0,0,3,0,5,16,2,0,0,53,2025-12-10 05:57:50
13145,2025,NOR.1,21380,169106,3,0,0,0,0,0,0,0,0,0,0,0,0,15,9,2025-12-10 05:57:47
13145,2025,NOR.1,5270,172685,8,6,2,2,0,0,0,0,0,0,0,0,0,0,9,2025-12-10 05:57:51
13145,2025,NOR.1,620,173355,26,7,10,7,0,0,0,3,0,23,63,6,0,0,23,2025-12-10 05:57:49
13145,2025,NOR.1,510,173356,26,2,17,7,1,0,0,3,0,2,21,1,0,0,27,2025-12-10 05:57:51
13145,2025,NOR.1,2715,173356,13,2,7,2,1,0,0,2,0,1,12,0,0,0,16,2025-07-23 04:34:04
13145,2025,NOR.1,2980,176883,25,10,14,10,1,0,1,1,0,4,12,2,0,0,19,2025-12-10 05:57:46
13145,2025,NOR.1,9811,177210,25,0,0,2,1,0,0,0,0,0,0,0,0,106,53,2025-12-10 05:57:50
13145,2025,NOR.1,5270,177985,30,0,0,12,3,0,0,0,0,0,0,0,0,63,36,2025-12-10 05:57:51
13145,2025,NOR.1,2715,178135,2,0,0,0,0,0,0,1,0,0,0,0,0,7,5,2025-12-10 05:57:48
13145,2025,NOR.1,2715,179157,24,4,9,26,1,0,0,4,0,10,27,3,0,0,22,2025-12-10 05:57:48
13145,2025,NOR.1,5002,179771,7,6,2,5,0,0,0,1,0,1,1,0,0,0,3,2025-12-10 05:57:50
13145,2025,NOR.1,510,180971,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:57:51
13145,2025,NOR.1,2791,181147,7,0,0,0,0,0,0,0,0,0,0,0,0,28,13,2025-12-10 05:57:51
13145,2025,NOR.1,438,181637,27,3,42,43,3,0,0,3,0,33,75,14,0,0,37,2025-12-10 05:57:49
13145,2025,NOR.1,2715,182347,24,2,11,19,0,0,0,2,0,1,9,0,0,0,28,2025-12-10 05:57:48
13145,2025,NOR.1,2980,184879,6,3,4,3,0,0,0,0,0,1,1,0,0,0,5,2025-12-10 05:57:46
13145,2025,NOR.1,510,186071,8,6,1,2,0,0,0,0,0,1,2,0,0,0,4,2025-12-10 05:57:51
13145,2025,NOR.1,438,186078,22,3,6,11,0,0,0,3,0,7,25,2,0,0,24,2025-12-10 05:57:49
13145,2025,NOR.1,2791,186172,23,3,34,35,3,2,0,5,0,9,31,4,0,0,31,2025-12-10 05:57:51
13145,2025,NOR.1,510,186248,24,6,10,19,0,0,0,3,0,9,37,2,0,0,18,2025-12-10 05:57:51
13145,2025,NOR.1,5270,187920,13,7,8,5,1,0,0,0,0,3,7,1,0,0,9,2025-08-24 04:49:21
13145,2025,NOR.1,5002,191982,14,10,8,1,1,0,0,0,0,1,3,0,0,0,9,2025-12-10 05:57:50
13145,2025,NOR.1,3327,194364,7,1,2,3,0,0,0,0,0,4,8,1,0,0,8,2025-12-10 05:57:48
13145,2025,NOR.1,22165,195570,20,5,11,15,2,0,0,1,0,10,27,2,0,0,19,2025-12-10 05:57:48
13145,2025,NOR.1,3327,202676,16,1,18,3,1,0,0,0,0,2,8,0,0,0,35,2025-07-28 04:32:20
13145,2025,NOR.1,2791,202687,28,13,13,20,3,0,0,1,0,9,31,5,0,0,32,2025-12-10 05:57:51
13145,2025,NOR.1,2980,203670,23,4,12,13,1,0,0,5,0,17,39,7,0,0,12,2025-12-10 05:57:46
13145,2025,NOR.1,9811,204768,20,14,15,23,1,0,0,0,0,1,1,0,0,0,33,2025-12-10 05:57:50
13145,2025,NOR.1,2715,205140,27,1,24,25,5,0,3,0,0,2,11,0,0,0,35,2025-12-10 05:57:48
13145,2025,NOR.1,438,205159,9,2,7,2,2,0,0,1,0,2,11,1,0,0,7,2025-12-10 05:57:49
13145,2025,NOR.1,620,205582,24,4,17,14,3,0,0,9,0,10,21,2,0,0,30,2025-12-10 05:57:49
13145,2025,NOR.1,438,205636,24,4,27,24,6,0,0,2,0,0,14,0,0,0,33,2025-12-10 05:57:49
13145,2025,NOR.1,2980,205924,28,3,25,9,2,0,0,12,0,15,64,5,0,0,24,2025-12-10 05:57:46
13145,2025,NOR.1,3279,206030,10,0,0,0,0,0,0,0,0,0,0,0,0,32,16,2025-12-10 05:57:49
13145,2025,NOR.1,5002,206030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-03 04:36:06
13145,2025,NOR.1,2980,208353,23,14,15,16,0,0,0,1,0,7,22,4,0,0,17,2025-12-10 05:57:46
13145,2025,NOR.1,620,214177,17,1,12,8,3,0,0,0,0,0,6,0,0,0,18,2025-12-10 05:57:49
13145,2025,NOR.1,510,217096,10,9,6,6,1,0,0,1,0,3,12,2,0,0,4,2025-12-10 05:57:51
