seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13190,2025,PER.1,21819,2821,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025-07-15 04:30:17
13190,2025,PER.1,10116,16756,15,5,12,10,0,0,0,0,0,0,5,0,0,0,13,2025-07-15 04:30:15
13190,2025,PER.1,11995,19469,9,6,2,0,0,0,0,1,0,0,0,0,0,0,4,2025-07-15 04:30:16
13190,2025,PER.1,3372,34337,7,1,8,19,1,0,0,0,0,1,8,0,0,0,3,2025-07-15 04:30:15
13190,2025,PER.1,2680,40270,13,5,9,18,1,1,0,0,0,12,26,7,0,0,2,2025-07-15 04:30:14
13190,2025,PER.1,10318,47543,8,0,0,0,0,0,0,0,0,0,0,0,0,12,13,2025-07-15 04:30:19
13190,2025,PER.1,21819,70112,11,6,7,0,2,2,0,0,0,0,1,0,0,0,4,2025-07-15 04:30:17
13190,2025,PER.1,2680,72655,12,3,10,10,1,1,0,0,0,10,31,5,0,0,2,2025-07-15 04:30:14
13190,2025,PER.1,18153,78879,9,7,5,4,0,1,0,0,0,1,4,0,0,0,4,2025-07-15 04:30:16
13190,2025,PER.1,20293,82476,18,0,15,2,2,0,1,0,0,1,6,0,0,0,24,2025-07-15 04:30:15
13190,2025,PER.1,5267,83309,17,7,11,24,1,0,0,0,0,5,12,0,0,0,8,2025-07-15 04:30:13
13190,2025,PER.1,20293,85743,14,11,6,8,0,0,0,1,0,2,6,1,0,0,7,2025-07-15 04:30:15
13190,2025,PER.1,7312,85847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-15 04:30:18
13190,2025,PER.1,21314,85853,13,10,4,10,0,1,0,0,0,9,21,3,0,0,3,2025-07-15 04:30:13
13190,2025,PER.1,5570,93550,16,9,10,8,1,0,0,0,0,3,10,1,0,0,10,2025-07-15 04:30:18
13190,2025,PER.1,10122,95667,5,0,1,6,0,0,0,0,0,0,0,0,0,12,10,2025-07-15 04:30:20
13190,2025,PER.1,2673,96074,13,1,1,4,0,0,0,3,0,13,25,8,0,0,17,2025-07-12 04:29:41
13190,2025,PER.1,10318,100531,17,7,14,6,2,0,0,1,0,14,28,4,0,0,13,2025-07-15 04:30:19
13190,2025,PER.1,2685,104067,15,9,7,21,2,1,0,0,0,11,35,6,0,0,5,2025-07-15 04:30:20
13190,2025,PER.1,3372,106507,14,7,4,13,2,0,0,1,0,8,27,2,0,0,12,2025-07-15 04:30:15
13190,2025,PER.1,2673,108090,27,6,30,16,7,0,0,3,0,11,33,3,0,0,22,2025-07-15 04:30:19
13190,2025,PER.1,22168,108090,27,6,30,16,7,0,0,3,0,11,33,3,0,0,22,2025-07-15 04:30:18
13190,2025,PER.1,2680,112619,9,0,9,16,1,1,0,0,0,0,2,0,0,0,4,2025-07-15 04:30:14
13190,2025,PER.1,2685,113309,14,10,10,12,0,1,0,0,0,3,7,3,0,0,5,2025-07-15 04:30:20
13190,2025,PER.1,21314,116032,10,1,4,19,0,0,0,1,0,5,14,1,0,0,11,2025-07-15 04:30:13
13190,2025,PER.1,2680,116144,4,0,5,3,0,1,0,0,0,2,9,1,0,0,0,2025-07-15 04:30:14
13190,2025,PER.1,3372,118425,10,6,12,9,2,0,0,2,0,5,10,5,0,0,7,2025-06-08 05:05:50
13190,2025,PER.1,22168,118665,18,5,17,19,3,0,0,0,0,9,23,5,0,0,16,2025-07-15 04:30:18
13190,2025,PER.1,7312,118760,15,2,17,13,6,0,0,0,0,5,21,1,0,0,16,2025-07-15 04:30:18
13190,2025,PER.1,19432,118807,7,5,6,6,1,0,0,0,0,3,7,0,0,0,4,2025-07-15 04:30:14
13190,2025,PER.1,7312,119153,12,1,12,8,4,1,0,0,0,0,2,0,0,0,10,2025-07-15 04:30:18
13190,2025,PER.1,10122,121804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-15 04:30:20
13190,2025,PER.1,2685,123922,13,0,7,5,3,0,0,0,0,2,4,2,0,0,7,2025-07-15 04:30:20
13190,2025,PER.1,2673,128422,10,0,9,1,6,0,0,2,0,2,11,0,0,0,11,2025-07-15 04:30:19
13190,2025,PER.1,7312,129899,3,2,0,2,1,0,0,0,0,2,5,0,0,0,2,2025-07-15 04:30:18
13190,2025,PER.1,10318,130007,18,9,20,10,2,0,0,0,0,11,27,3,0,0,8,2025-07-15 04:30:19
13190,2025,PER.1,21314,130605,7,0,0,1,0,0,0,0,0,0,0,0,0,18,12,2025-07-15 04:30:13
13190,2025,PER.1,18985,131889,11,1,10,4,2,0,0,2,0,2,9,1,0,0,17,2025-07-15 04:30:17
13190,2025,PER.1,10116,132318,18,0,25,3,3,0,0,0,0,1,11,0,0,0,27,2025-07-15 04:30:15
13190,2025,PER.1,2680,132344,10,3,7,8,0,0,0,1,0,1,12,0,0,0,3,2025-07-15 04:30:14
13190,2025,PER.1,18985,140450,17,9,5,8,1,0,0,2,0,5,10,3,0,0,15,2025-07-15 04:30:17
13190,2025,PER.1,19432,142309,18,0,25,16,5,0,0,1,0,17,46,5,0,0,33,2025-07-15 04:30:14
13190,2025,PER.1,10116,143559,11,1,15,6,2,1,0,0,0,1,2,0,0,0,18,2025-07-15 04:30:15
13190,2025,PER.1,22534,144250,10,5,9,6,0,0,0,0,0,2,4,0,0,0,7,2025-07-15 04:30:17
13190,2025,PER.1,2680,144576,18,4,8,18,1,0,0,3,0,11,25,1,0,0,11,2025-07-15 04:30:14
13190,2025,PER.1,3372,144796,9,1,5,2,0,1,0,0,0,0,4,0,0,0,11,2025-07-15 04:30:15
13190,2025,PER.1,5570,144945,9,6,5,4,1,1,0,0,0,0,2,0,0,0,6,2025-07-15 04:30:18
13190,2025,PER.1,10318,144976,18,0,41,27,4,0,0,0,0,0,2,0,0,0,21,2025-07-15 04:30:19
