seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13086,2025,SWE.1,7834,4703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-09 05:57:57
13086,2025,SWE.1,2720,9101,14,4,5,11,1,0,0,1,0,3,8,1,0,0,10,2025-12-09 05:58:01
13086,2025,SWE.1,8547,15527,29,4,36,25,4,0,0,3,0,6,32,1,0,0,37,2025-12-09 05:58:01
13086,2025,SWE.1,8544,19242,30,0,0,10,2,0,0,1,0,0,0,0,0,106,56,2025-12-09 05:58:00
13086,2025,SWE.1,7834,21990,6,0,2,5,1,0,0,0,0,0,0,0,0,0,11,2025-06-30 04:25:14
13086,2025,SWE.1,2720,22706,27,2,34,42,2,0,0,3,0,20,61,4,0,0,42,2025-12-09 05:58:01
13086,2025,SWE.1,8547,22706,27,2,34,42,2,0,0,3,0,20,61,4,0,0,42,2025-11-11 06:08:23
13086,2025,SWE.1,2495,22967,28,0,31,46,3,0,1,1,0,10,26,3,0,0,26,2025-12-09 05:57:59
13086,2025,SWE.1,8547,25076,9,1,8,7,1,0,0,1,0,0,3,0,0,0,16,2025-12-09 05:58:01
13086,2025,SWE.1,994,39733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-09 05:57:57
13086,2025,SWE.1,2720,75987,6,4,0,0,0,0,0,0,0,2,4,1,0,0,3,2025-12-09 05:58:01
13086,2025,SWE.1,2556,83736,25,4,21,10,2,0,0,0,0,2,13,0,0,0,23,2025-12-09 05:58:00
13086,2025,SWE.1,2339,120652,16,12,17,17,3,0,0,1,0,2,5,0,0,0,5,2025-12-09 05:57:58
13086,2025,SWE.1,3017,121282,18,8,15,1,1,0,0,0,0,0,6,0,0,0,31,2025-12-09 05:57:59
13086,2025,SWE.1,7834,121827,5,1,1,0,0,0,0,0,0,0,0,0,0,14,13,2025-12-09 05:57:57
13086,2025,SWE.1,7834,125312,22,0,0,8,1,0,0,0,0,0,0,0,0,57,30,2025-12-09 05:57:57
13086,2025,SWE.1,7834,133980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-09 05:57:57
13086,2025,SWE.1,994,133993,28,0,0,5,3,0,1,0,0,0,0,0,0,62,33,2025-12-09 05:57:57
13086,2025,SWE.1,8221,134643,14,13,7,7,2,0,0,0,0,4,12,0,0,0,9,2025-12-09 05:57:59
13086,2025,SWE.1,529,134644,26,2,30,43,4,0,0,3,0,8,21,1,0,0,40,2025-12-09 05:57:59
13086,2025,SWE.1,2720,135579,17,0,11,5,4,0,0,0,0,9,29,2,0,0,16,2025-12-09 05:58:01
13086,2025,SWE.1,2339,136911,18,2,14,15,2,0,0,1,0,4,10,0,0,0,12,2025-12-09 05:57:58
13086,2025,SWE.1,2720,138055,17,12,3,6,0,0,0,1,0,1,5,0,0,0,6,2025-12-09 05:58:01
13086,2025,SWE.1,2495,143585,30,1,14,37,2,0,0,4,0,39,106,17,0,0,28,2025-12-09 05:57:59
