seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13566,2025,TUR.1,997,31006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:59:54
13566,2025,TUR.1,7914,108303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:59:52
13566,2025,TUR.1,20070,110633,12,1,6,9,0,0,0,1,0,1,2,0,0,0,12,2025-12-10 05:59:51
13566,2025,TUR.1,3794,113459,4,1,5,2,1,0,0,0,0,5,10,2,0,0,2,2025-09-12 05:05:10
13566,2025,TUR.1,996,119868,12,1,28,38,3,0,0,2,0,9,27,3,0,0,11,2025-12-10 05:59:52
13566,2025,TUR.1,7914,124126,13,3,16,19,3,0,0,5,0,2,9,0,0,0,10,2025-12-10 05:59:52
13566,2025,TUR.1,1895,124880,8,0,0,2,1,0,0,0,0,0,0,0,0,13,11,2025-12-10 05:59:50
13566,2025,TUR.1,11429,129556,6,6,2,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-10 05:59:54
13566,2025,TUR.1,432,131424,8,2,9,4,1,0,0,1,0,2,7,2,0,0,4,2025-12-10 05:59:51
13566,2025,TUR.1,995,135216,4,0,3,1,0,0,0,0,0,1,7,0,0,0,5,2025-09-11 05:05:46
13566,2025,TUR.1,436,136585,5,5,1,2,0,0,0,1,0,0,1,0,0,0,1,2025-12-10 05:59:51
13566,2025,TUR.1,7648,137564,3,0,1,1,0,0,0,0,0,2,5,1,0,0,2,2025-09-06 05:06:18
13566,2025,TUR.1,1895,140108,2,1,4,1,1,0,0,0,0,0,0,0,0,0,2,2025-12-10 05:59:50
13566,2025,TUR.1,789,140110,8,8,1,2,0,1,0,0,0,1,1,0,0,0,2,2025-12-10 05:59:52
13566,2025,TUR.1,20729,141884,15,1,8,16,1,0,0,0,0,6,17,0,0,0,13,2025-12-10 05:59:50
13566,2025,TUR.1,995,142521,12,6,8,9,0,0,0,0,0,4,12,1,0,0,5,2025-12-10 05:59:53
13566,2025,TUR.1,3794,143224,6,0,3,6,0,0,0,1,0,1,3,1,0,0,4,2025-12-10 05:59:49
13566,2025,TUR.1,9078,143774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:59:49
13566,2025,TUR.1,995,144462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:59:53
13566,2025,TUR.1,20736,144559,7,0,9,4,2,0,0,0,0,0,1,0,0,0,11,2025-12-10 05:59:50
13566,2025,TUR.1,1895,146896,5,1,11,8,1,0,0,0,0,0,1,0,0,0,5,2025-12-10 05:59:50
13566,2025,TUR.1,20729,148497,6,2,8,4,3,0,0,0,0,1,2,0,0,0,2,2025-12-10 05:59:50
13566,2025,TUR.1,3643,150318,14,0,6,23,4,0,0,0,0,0,0,0,0,0,29,2025-12-10 05:59:53
13566,2025,TUR.1,997,150541,11,0,5,5,3,0,0,1,0,2,3,1,0,0,7,2025-12-10 05:59:54
13566,2025,TUR.1,20736,153320,14,4,12,6,3,0,0,2,0,2,6,1,0,0,22,2025-12-10 05:59:50
13566,2025,TUR.1,9078,153939,15,0,0,5,1,0,0,0,0,0,0,0,0,44,15,2025-12-10 05:59:49
13566,2025,TUR.1,995,154532,8,0,10,13,0,0,0,0,0,1,3,0,0,0,5,2025-12-10 05:59:53
13566,2025,TUR.1,997,154647,9,7,0,7,0,0,0,0,0,2,8,0,0,0,2,2025-12-10 05:59:54
13566,2025,TUR.1,20729,158212,10,0,9,13,1,0,0,0,0,0,7,0,0,0,12,2025-12-10 05:59:50
13566,2025,TUR.1,6870,159052,13,0,18,12,3,0,0,1,0,6,17,3,0,0,17,2025-12-10 05:59:53
