seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13029,2025,UEFA.EURO_U21,4371,16340,3,1,2,3,0,0,0,0,0,4,5,0,0,0,3,2025-06-20 04:56:59
13029,2025,UEFA.EURO_U21,11692,78836,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,2025-06-20 04:56:57
13029,2025,UEFA.EURO_U21,4366,99909,2,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2025-06-20 04:56:52
13029,2025,UEFA.EURO_U21,10343,107960,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:56:55
13029,2025,UEFA.EURO_U21,4150,118279,3,0,1,2,0,0,0,0,0,1,4,1,0,0,3,2025-06-20 04:56:53
13029,2025,UEFA.EURO_U21,4379,120829,2,0,2,3,0,0,0,0,0,2,3,0,0,0,2,2025-06-20 04:56:55
13029,2025,UEFA.EURO_U21,20933,149306,2,0,2,0,2,0,0,0,0,1,2,0,0,0,4,2025-06-20 04:56:53
13029,2025,UEFA.EURO_U21,4371,189777,2,1,2,1,0,0,0,0,0,0,1,0,0,0,3,2025-06-20 04:56:59
13029,2025,UEFA.EURO_U21,4371,206110,3,1,2,4,0,0,0,0,0,2,2,0,0,0,3,2025-06-20 04:56:59
13029,2025,UEFA.EURO_U21,4150,238472,3,0,3,6,1,0,0,0,0,1,2,0,0,0,3,2025-06-20 04:56:53
13029,2025,UEFA.EURO_U21,10343,251776,1,0,3,4,0,0,0,0,0,0,0,0,0,0,1,2025-06-20 04:56:55
13029,2025,UEFA.EURO_U21,19349,267578,3,1,3,3,0,0,0,0,0,1,1,0,0,0,5,2025-06-20 04:56:57
13029,2025,UEFA.EURO_U21,20933,275471,3,0,2,2,1,0,0,1,0,1,2,0,0,0,6,2025-06-20 04:56:53
13029,2025,UEFA.EURO_U21,20933,275574,3,1,3,5,0,0,0,0,0,1,4,1,0,0,4,2025-06-20 04:56:53
13029,2025,UEFA.EURO_U21,4150,280806,3,0,0,2,1,0,0,0,0,1,10,1,0,0,3,2025-06-20 04:56:53
13029,2025,UEFA.EURO_U21,18415,280810,3,0,8,2,1,0,0,0,0,0,2,0,0,0,5,2025-06-20 04:56:58
13029,2025,UEFA.EURO_U21,11627,281125,3,0,4,2,1,0,0,0,0,0,0,0,0,0,4,2025-06-20 04:56:56
13029,2025,UEFA.EURO_U21,11627,282228,3,0,5,4,1,0,0,1,0,2,7,0,0,0,4,2025-06-20 04:56:56
13029,2025,UEFA.EURO_U21,11676,282289,2,0,4,0,1,0,0,1,0,1,3,0,0,0,3,2025-06-20 04:56:54
13029,2025,UEFA.EURO_U21,4150,282978,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-06-20 04:56:53
13029,2025,UEFA.EURO_U21,19349,286999,3,0,4,5,1,0,0,0,0,2,5,1,0,0,3,2025-06-20 04:56:57
13029,2025,UEFA.EURO_U21,20956,289554,3,0,2,1,1,0,0,0,0,1,2,0,0,0,6,2025-06-20 04:56:54
13029,2025,UEFA.EURO_U21,20956,289555,3,1,1,2,0,0,0,1,0,2,4,1,0,0,3,2025-06-20 04:56:54
13029,2025,UEFA.EURO_U21,19349,289835,3,1,5,1,2,0,0,0,0,2,2,0,0,0,3,2025-06-20 04:56:57
13029,2025,UEFA.EURO_U21,10343,290069,3,1,1,3,0,0,0,0,0,0,2,0,0,0,0,2025-06-20 04:56:55
13029,2025,UEFA.EURO_U21,11692,290188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:56:57
13029,2025,UEFA.EURO_U21,4379,290398,3,1,6,5,0,0,0,0,0,1,2,1,0,0,2,2025-06-20 04:56:55
13029,2025,UEFA.EURO_U21,11627,292393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:56:56
13029,2025,UEFA.EURO_U21,4366,293872,3,1,5,3,0,0,0,0,0,0,1,0,0,0,3,2025-06-20 04:56:52
13029,2025,UEFA.EURO_U21,11627,295996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-06-20 04:56:56
13029,2025,UEFA.EURO_U21,20933,296406,3,0,1,0,1,0,0,0,0,0,0,0,0,16,6,2025-06-20 04:56:53
13029,2025,UEFA.EURO_U21,11676,297165,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2025-06-20 04:56:54
13029,2025,UEFA.EURO_U21,11676,297166,2,0,1,3,1,0,0,0,0,3,5,1,0,0,2,2025-06-20 04:56:54
13029,2025,UEFA.EURO_U21,10343,297229,3,1,4,0,0,0,0,1,0,0,1,0,0,0,0,2025-06-20 04:56:55
13029,2025,UEFA.EURO_U21,11627,297292,2,1,2,0,0,1,0,0,0,0,0,0,0,0,2,2025-06-20 04:56:56
13029,2025,UEFA.EURO_U21,11627,297296,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2025-06-20 04:56:56
13029,2025,UEFA.EURO_U21,11627,297300,3,0,5,3,1,0,0,0,0,1,3,0,0,0,4,2025-06-20 04:56:56
13029,2025,UEFA.EURO_U21,4371,297360,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2025-06-20 04:56:59
