seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13269,2025,UEFA.EURO_U21_QUAL,20932,11094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:48
13269,2025,UEFA.EURO_U21_QUAL,20922,12117,7,0,6,6,2,0,0,0,0,2,4,2,0,0,7,2025-12-10 05:55:39
13269,2025,UEFA.EURO_U21_QUAL,20941,20016,3,0,1,1,1,0,0,0,0,1,1,0,0,0,2,2025-11-11 06:03:38
13269,2025,UEFA.EURO_U21_QUAL,4365,22967,5,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2025-12-10 05:55:54
13269,2025,UEFA.EURO_U21_QUAL,20927,23985,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:42
13269,2025,UEFA.EURO_U21_QUAL,20928,25264,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-15 06:09:28
13269,2025,UEFA.EURO_U21_QUAL,20003,26590,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2025-12-10 05:55:51
13269,2025,UEFA.EURO_U21_QUAL,20927,26725,5,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2025-12-10 05:55:42
13269,2025,UEFA.EURO_U21_QUAL,20923,28761,3,1,0,0,1,0,0,1,0,0,0,0,0,0,8,2025-11-11 06:03:43
13269,2025,UEFA.EURO_U21_QUAL,20929,32855,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:45
13269,2025,UEFA.EURO_U21_QUAL,20928,33249,4,0,0,0,0,0,0,0,0,1,1,3,0,0,2,2025-12-10 05:55:42
13269,2025,UEFA.EURO_U21_QUAL,20922,35915,7,0,5,5,2,0,0,0,0,1,1,1,0,0,9,2025-12-10 05:55:39
13269,2025,UEFA.EURO_U21_QUAL,19213,40299,5,0,0,0,2,0,0,0,0,0,0,1,0,0,5,2025-12-10 05:55:52
13269,2025,UEFA.EURO_U21_QUAL,18415,45298,2,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2025-11-11 06:03:40
13269,2025,UEFA.EURO_U21_QUAL,4371,74630,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2025-12-10 05:55:54
13269,2025,UEFA.EURO_U21_QUAL,11692,78836,4,3,0,0,0,0,0,3,0,1,1,1,0,0,0,2025-11-15 06:09:38
13269,2025,UEFA.EURO_U21_QUAL,20931,82754,6,1,5,4,1,0,0,0,0,0,3,0,0,0,10,2025-12-10 05:55:49
13269,2025,UEFA.EURO_U21_QUAL,19213,84041,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:52
13269,2025,UEFA.EURO_U21_QUAL,4371,87297,5,0,0,0,0,0,0,1,0,0,0,2,0,0,2,2025-12-10 05:55:54
13269,2025,UEFA.EURO_U21_QUAL,19213,103404,6,0,0,0,1,0,0,2,0,0,0,1,0,0,7,2025-12-10 05:55:52
13269,2025,UEFA.EURO_U21_QUAL,4150,106139,2,1,1,6,0,0,0,0,0,1,1,0,0,0,0,2025-12-10 05:55:43
13269,2025,UEFA.EURO_U21_QUAL,20932,119532,5,1,0,0,0,0,0,0,0,0,0,1,0,0,6,2025-12-10 05:55:48
13269,2025,UEFA.EURO_U21_QUAL,20941,126291,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-10 05:55:50
13269,2025,UEFA.EURO_U21_QUAL,20943,131731,5,1,0,0,2,0,0,0,0,0,0,0,0,0,22,2025-12-10 05:55:52
13269,2025,UEFA.EURO_U21_QUAL,20937,189514,6,0,1,0,1,0,0,1,0,0,0,0,0,0,14,2025-12-10 05:55:40
13269,2025,UEFA.EURO_U21_QUAL,4257,190599,3,1,0,0,2,0,0,0,0,0,0,0,0,0,3,2025-12-10 05:55:54
13269,2025,UEFA.EURO_U21_QUAL,4371,192146,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:54
13269,2025,UEFA.EURO_U21_QUAL,20933,194328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-17 05:14:07
13269,2025,UEFA.EURO_U21_QUAL,20943,221236,5,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2025-12-10 05:55:52
13269,2025,UEFA.EURO_U21_QUAL,20003,221694,1,0,2,2,0,0,0,0,0,0,1,0,0,0,4,2025-12-10 05:55:51
13269,2025,UEFA.EURO_U21_QUAL,19349,222620,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:51
13269,2025,UEFA.EURO_U21_QUAL,19213,225203,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2025-12-10 05:55:52
13269,2025,UEFA.EURO_U21_QUAL,19213,227438,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-10-07 05:18:57
13269,2025,UEFA.EURO_U21_QUAL,20941,229578,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:50
13269,2025,UEFA.EURO_U21_QUAL,20924,235586,4,0,0,0,1,0,0,0,0,1,1,1,0,0,8,2025-12-10 05:55:45
13269,2025,UEFA.EURO_U21_QUAL,19208,238638,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2025-12-10 05:55:55
13269,2025,UEFA.EURO_U21_QUAL,4150,273628,4,3,2,1,0,0,0,0,0,1,1,0,0,0,0,2025-12-10 05:55:43
13269,2025,UEFA.EURO_U21_QUAL,20939,274309,5,2,0,0,1,0,0,0,0,0,1,0,0,0,13,2025-12-10 05:55:48
13269,2025,UEFA.EURO_U21_QUAL,20930,278477,4,0,2,4,2,0,0,0,0,0,0,0,0,0,4,2025-12-10 05:55:47
13269,2025,UEFA.EURO_U21_QUAL,20935,286066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-20 04:54:22
13269,2025,UEFA.EURO_U21_QUAL,19208,289998,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:02:51
13269,2025,UEFA.EURO_U21_QUAL,20941,291432,5,0,2,2,2,0,0,0,0,0,0,0,0,0,7,2025-12-10 05:55:50
13269,2025,UEFA.EURO_U21_QUAL,4150,292004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-17 05:14:05
13269,2025,UEFA.EURO_U21_QUAL,20943,292927,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-11-13 06:02:29
13269,2025,UEFA.EURO_U21_QUAL,4366,304068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:43
13269,2025,UEFA.EURO_U21_QUAL,4371,304217,4,0,0,0,0,0,0,1,0,1,1,1,0,0,2,2025-12-10 05:55:54
13269,2025,UEFA.EURO_U21_QUAL,20929,304317,3,2,0,0,0,0,0,0,0,2,2,2,0,0,0,2025-12-10 05:55:45
13269,2025,UEFA.EURO_U21_QUAL,20935,305181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:49
13269,2025,UEFA.EURO_U21_QUAL,4282,305196,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2025-12-10 05:55:46
13269,2025,UEFA.EURO_U21_QUAL,18413,305287,5,1,0,2,1,0,0,0,0,0,0,1,0,0,6,2025-12-10 05:55:49
13269,2025,UEFA.EURO_U21_QUAL,4282,305474,5,1,0,0,0,0,0,1,0,0,0,1,0,0,5,2025-12-10 05:55:46
13269,2025,UEFA.EURO_U21_QUAL,4379,305556,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:45
13269,2025,UEFA.EURO_U21_QUAL,19349,305789,5,1,0,0,1,0,0,0,0,0,0,0,0,0,4,2025-12-10 05:55:51
13269,2025,UEFA.EURO_U21_QUAL,20944,305836,6,0,0,0,0,0,0,1,0,2,2,2,0,0,12,2025-12-10 05:55:44
13269,2025,UEFA.EURO_U21_QUAL,20924,305934,6,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2025-12-10 05:55:45
13269,2025,UEFA.EURO_U21_QUAL,19349,306058,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2,2025-12-10 05:55:51
13269,2025,UEFA.EURO_U21_QUAL,11627,306161,2,0,1,3,0,0,0,0,0,0,0,0,0,0,4,2025-12-10 05:55:49
13269,2025,UEFA.EURO_U21_QUAL,4282,306206,5,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2025-12-10 05:55:46
13269,2025,UEFA.EURO_U21_QUAL,4371,306516,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2025-12-10 05:55:54
13269,2025,UEFA.EURO_U21_QUAL,19213,307133,5,0,0,0,1,1,0,0,0,0,0,1,0,0,4,2025-12-10 05:55:52
13269,2025,UEFA.EURO_U21_QUAL,19208,307274,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:55:55
13269,2025,UEFA.EURO_U21_QUAL,20927,307688,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2025-12-10 05:55:42
13269,2025,UEFA.EURO_U21_QUAL,11676,309563,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:55:44
13269,2025,UEFA.EURO_U21_QUAL,20941,310321,3,0,1,0,0,0,0,1,0,0,0,1,0,0,3,2025-11-11 06:03:38
13269,2025,UEFA.EURO_U21_QUAL,11627,310607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:49
13269,2025,UEFA.EURO_U21_QUAL,4150,311173,5,1,9,1,1,0,0,0,0,2,3,0,0,0,0,2025-12-10 05:55:43
13269,2025,UEFA.EURO_U21_QUAL,19213,312043,4,0,0,0,1,0,0,2,0,0,0,1,0,0,1,2025-12-10 05:55:52
13269,2025,UEFA.EURO_U21_QUAL,18414,312523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:50
13269,2025,UEFA.EURO_U21_QUAL,18415,312584,6,2,2,1,0,0,0,1,0,2,2,1,0,0,6,2025-12-10 05:55:53
13269,2025,UEFA.EURO_U21_QUAL,14253,312960,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:02:47
13269,2025,UEFA.EURO_U21_QUAL,4150,313009,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:43
13269,2025,UEFA.EURO_U21_QUAL,11669,313240,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2025-12-10 05:55:41
13269,2025,UEFA.EURO_U21_QUAL,18414,313256,6,0,2,0,1,0,0,0,0,0,2,2,0,0,1,2025-12-10 05:55:50
13269,2025,UEFA.EURO_U21_QUAL,20003,314096,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2025-12-10 05:55:51
13269,2025,UEFA.EURO_U21_QUAL,11669,314178,3,2,1,1,0,0,0,1,0,0,5,0,0,0,1,2025-12-10 05:55:41
13269,2025,UEFA.EURO_U21_QUAL,4366,315621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:43
13269,2025,UEFA.EURO_U21_QUAL,11627,315631,2,1,0,1,0,0,0,0,0,1,3,0,0,0,1,2025-12-10 05:55:49
13269,2025,UEFA.EURO_U21_QUAL,4365,316173,5,2,0,0,2,0,0,0,0,0,0,2,0,0,6,2025-12-10 05:55:54
13269,2025,UEFA.EURO_U21_QUAL,19349,316252,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:51
13269,2025,UEFA.EURO_U21_QUAL,20929,316344,5,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2025-12-10 05:55:45
13269,2025,UEFA.EURO_U21_QUAL,4366,318008,4,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2025-12-10 05:55:43
13269,2025,UEFA.EURO_U21_QUAL,4257,318382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-12 06:02:51
13269,2025,UEFA.EURO_U21_QUAL,11627,318534,4,0,4,2,1,0,0,1,0,7,14,3,0,0,5,2025-12-10 05:55:49
13269,2025,UEFA.EURO_U21_QUAL,18414,318760,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2025-11-15 06:09:38
13269,2025,UEFA.EURO_U21_QUAL,11669,318781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:41
13269,2025,UEFA.EURO_U21_QUAL,11627,318782,3,3,1,1,0,0,0,0,0,1,3,0,0,0,1,2025-12-10 05:55:49
13269,2025,UEFA.EURO_U21_QUAL,20929,318799,5,0,0,1,0,0,0,1,0,0,0,1,0,0,2,2025-12-10 05:55:45
13269,2025,UEFA.EURO_U21_QUAL,14253,319066,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2025-11-16 06:11:11
13269,2025,UEFA.EURO_U21_QUAL,11627,319231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:49
13269,2025,UEFA.EURO_U21_QUAL,10343,319265,2,0,3,4,1,0,0,0,0,2,5,0,0,0,1,2025-10-17 05:14:10
