seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13753,2025,UEFA.WCHAMPIONS,20093,109049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,19256,119954,2,1,1,2,0,0,0,0,0,0,1,0,0,0,1,2025-12-10 05:55:14
13753,2025,UEFA.WCHAMPIONS,20836,122525,3,3,0,0,0,0,0,0,2,1,3,0,0,0,1,2025-12-10 05:55:16
13753,2025,UEFA.WCHAMPIONS,20061,134423,3,3,1,2,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:55:13
13753,2025,UEFA.WCHAMPIONS,21685,140056,4,0,1,2,0,0,0,0,0,0,1,0,0,0,10,2025-12-10 05:55:15
13753,2025,UEFA.WCHAMPIONS,19973,158678,4,3,3,2,0,0,0,0,3,1,3,0,0,0,0,2025-12-10 05:55:11
13753,2025,UEFA.WCHAMPIONS,19970,158683,3,2,0,1,0,0,0,0,2,6,16,2,0,0,0,2025-12-10 05:55:12
13753,2025,UEFA.WCHAMPIONS,20107,158735,4,0,6,11,0,0,0,0,0,2,9,1,0,0,6,2025-12-10 05:55:16
13753,2025,UEFA.WCHAMPIONS,21685,158759,3,0,0,1,0,0,0,0,0,1,2,1,0,0,7,2025-12-10 05:55:15
13753,2025,UEFA.WCHAMPIONS,19256,158816,4,1,2,1,0,0,0,0,0,4,8,2,0,0,5,2025-12-10 05:55:14
13753,2025,UEFA.WCHAMPIONS,20093,176000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,19973,176041,2,0,1,4,0,0,0,0,0,0,1,0,0,0,2,2025-12-10 05:55:11
13753,2025,UEFA.WCHAMPIONS,20093,178852,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,20107,188013,3,1,3,4,1,0,0,1,0,0,2,0,0,0,3,2025-12-10 05:55:16
13753,2025,UEFA.WCHAMPIONS,19256,188067,4,1,6,2,0,0,0,1,1,6,13,3,0,0,3,2025-12-10 05:55:14
13753,2025,UEFA.WCHAMPIONS,19970,188448,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,2025-12-10 05:55:12
13753,2025,UEFA.WCHAMPIONS,20061,208938,2,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2025-12-10 05:55:13
13753,2025,UEFA.WCHAMPIONS,20093,209165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,20103,209687,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:12
13753,2025,UEFA.WCHAMPIONS,20107,213937,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-12-10 05:55:16
13753,2025,UEFA.WCHAMPIONS,19973,219079,4,2,0,1,0,0,0,0,0,0,0,0,0,0,2,2025-12-10 05:55:11
13753,2025,UEFA.WCHAMPIONS,19256,219121,4,1,2,5,0,0,0,0,1,3,9,0,0,0,5,2025-12-10 05:55:14
13753,2025,UEFA.WCHAMPIONS,19973,219822,4,0,0,2,0,0,0,0,0,1,1,0,0,0,6,2025-12-10 05:55:11
13753,2025,UEFA.WCHAMPIONS,20093,219866,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,19258,219934,4,0,1,0,0,0,0,0,0,1,4,0,0,0,11,2025-12-10 05:55:15
13753,2025,UEFA.WCHAMPIONS,21128,219938,4,1,4,4,0,0,0,0,0,1,4,0,0,0,5,2025-12-10 05:55:15
13753,2025,UEFA.WCHAMPIONS,20061,219947,3,0,3,1,0,1,0,0,0,0,0,0,0,0,5,2025-12-10 05:55:13
13753,2025,UEFA.WCHAMPIONS,20114,219951,4,0,3,7,0,0,0,1,0,1,4,0,0,0,8,2025-12-10 05:55:13
13753,2025,UEFA.WCHAMPIONS,20091,219989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:12
13753,2025,UEFA.WCHAMPIONS,20093,219992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,20093,219994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-09-21 05:15:25
13753,2025,UEFA.WCHAMPIONS,20091,219995,4,0,2,1,0,0,0,2,0,5,16,3,0,0,2,2025-12-10 05:55:12
13753,2025,UEFA.WCHAMPIONS,20091,219998,4,1,1,2,0,0,0,0,0,2,5,1,0,0,2,2025-12-10 05:55:12
13753,2025,UEFA.WCHAMPIONS,20093,220002,4,0,0,0,1,0,0,0,0,0,0,0,0,6,3,2025-12-10 05:55:11
13753,2025,UEFA.WCHAMPIONS,20092,220015,3,1,2,2,0,0,0,0,0,0,0,0,0,0,3,2025-12-10 05:55:13
13753,2025,UEFA.WCHAMPIONS,19258,227388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:15
13753,2025,UEFA.WCHAMPIONS,19256,228716,4,1,4,3,0,0,0,0,4,1,8,0,0,0,5,2025-12-10 05:55:14
13753,2025,UEFA.WCHAMPIONS,131423,235654,4,0,1,3,0,0,0,0,0,0,0,0,0,0,6,2025-12-10 05:55:14
13753,2025,UEFA.WCHAMPIONS,19258,235658,4,2,3,2,1,0,1,1,0,0,1,0,0,0,5,2025-12-10 05:55:15
13753,2025,UEFA.WCHAMPIONS,19970,236710,3,0,4,3,0,0,0,1,1,1,4,1,0,0,2,2025-12-10 05:55:12
13753,2025,UEFA.WCHAMPIONS,19973,240274,4,3,0,2,0,0,0,1,5,0,5,0,0,0,0,2025-12-10 05:55:11
13753,2025,UEFA.WCHAMPIONS,20103,240276,2,0,2,1,0,0,0,0,0,0,3,0,0,0,8,2025-12-10 05:55:12
13753,2025,UEFA.WCHAMPIONS,20061,240277,4,1,3,3,0,0,0,0,2,3,6,3,0,0,4,2025-12-10 05:55:13
13753,2025,UEFA.WCHAMPIONS,19258,240297,4,0,6,10,1,0,0,1,1,1,7,1,0,0,11,2025-12-10 05:55:15
13753,2025,UEFA.WCHAMPIONS,20093,242145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-09-21 05:15:25
