seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13083,2025,UEFA.WEURO,7151,95226,2,2,0,2,0,0,0,0,0,1,1,0,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,7536,97447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,2762,134349,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2764,140019,3,0,3,4,1,0,0,3,0,1,4,1,0,0,1,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2896,140056,3,0,3,0,1,0,0,1,0,0,0,0,0,0,6,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,2896,140062,3,3,3,1,1,0,0,0,2,3,3,0,0,0,1,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,2764,158762,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2764,158770,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2764,188004,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2762,188067,2,0,0,0,0,0,0,0,1,3,4,1,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,5159,188448,2,0,3,2,0,0,0,0,1,0,1,0,0,0,2,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,5159,204659,2,0,4,2,0,0,0,0,0,0,0,0,0,0,2,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,19345,210367,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,7536,211616,3,0,1,10,0,0,0,0,0,0,0,0,0,0,2,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,2755,219116,1,0,2,0,0,0,0,0,0,1,2,1,0,0,1,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,2755,219121,2,1,1,1,0,0,0,1,0,2,4,1,0,0,2,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,2755,219934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,2756,219938,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,7151,219945,2,0,3,0,0,0,0,0,0,1,2,1,0,0,3,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,7151,219946,2,1,1,1,0,0,0,2,1,0,0,0,0,0,1,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,7151,219947,2,0,2,2,0,0,0,0,0,0,0,0,0,0,4,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,7151,219951,2,0,2,0,0,0,0,0,0,3,5,0,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2762,219983,3,0,0,0,0,0,0,0,0,0,0,0,0,14,5,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,17640,219995,3,0,2,5,0,0,0,4,0,5,15,3,0,0,3,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,17640,219998,2,0,0,0,0,0,0,0,0,1,4,1,0,0,3,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,17641,220015,3,0,2,9,0,0,0,0,0,1,1,0,0,0,3,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,17641,220017,3,3,1,0,0,0,0,0,0,0,1,0,0,0,1,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,17641,220024,3,0,3,4,0,0,0,0,0,0,1,0,0,0,3,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,7536,226064,3,0,1,1,0,0,0,0,0,1,3,1,0,0,3,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,2756,234766,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,7151,235658,2,0,3,0,0,0,0,0,0,0,3,0,0,0,4,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2764,240274,3,0,0,1,0,0,0,0,0,6,17,2,0,0,1,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2764,240275,3,1,2,2,0,0,0,1,0,0,1,0,0,0,1,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2764,240276,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2764,240277,2,1,0,1,0,0,0,0,0,2,2,1,0,0,1,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2755,240297,2,1,0,4,0,0,0,0,0,1,3,0,0,0,0,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,17641,242031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,7536,242142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,3683,245932,3,0,4,0,0,0,0,0,0,0,1,0,0,0,7,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,7151,246056,2,2,1,0,0,0,0,0,1,1,1,0,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,17641,246849,3,0,2,1,0,0,0,0,0,0,0,0,0,0,3,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,17641,246850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,17641,246852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2755,248830,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,2755,248832,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,17640,249105,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,2762,252358,2,2,0,1,0,0,0,0,0,1,3,0,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2762,252362,3,0,2,2,0,0,0,0,0,0,0,0,0,0,5,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2762,252363,3,0,1,2,0,0,0,3,0,1,3,0,0,0,3,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,7151,252364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2755,252367,2,0,1,2,0,0,0,0,0,3,3,1,0,0,2,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,2762,253699,2,0,0,1,0,0,0,0,0,1,3,1,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2756,253818,2,0,0,1,0,0,0,0,1,0,4,0,0,0,1,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,2764,255177,3,0,0,2,0,0,0,0,0,0,0,0,0,8,1,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2764,255181,3,0,3,0,0,0,0,0,0,0,3,0,0,0,1,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2764,255416,3,3,4,2,0,0,0,0,0,2,2,2,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2755,255451,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,5159,255453,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,2792,255454,2,1,2,1,0,0,0,0,0,0,4,0,0,0,3,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2792,255458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2792,255462,3,0,2,3,0,0,0,0,0,0,1,0,0,0,4,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2792,255464,3,1,1,3,0,0,0,0,2,5,7,1,0,0,1,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2792,255471,3,0,0,0,0,0,0,0,0,1,3,0,0,0,3,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2792,255474,3,0,2,1,1,0,0,0,0,0,2,0,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2792,255475,3,0,1,3,0,0,0,0,0,0,2,0,0,0,3,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,3683,255572,3,2,3,2,0,0,0,0,0,1,2,0,0,0,2,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,3683,255577,3,0,2,0,1,0,0,0,0,1,2,0,0,0,6,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,3683,255590,3,0,2,0,1,0,0,0,0,1,4,1,0,0,6,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,17641,257466,3,0,3,6,1,0,0,1,0,4,9,1,0,0,3,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,17641,257467,3,0,0,3,0,0,1,0,0,0,2,0,0,0,3,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,17640,257473,3,0,1,1,0,0,0,2,1,2,5,1,0,0,3,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,2762,257483,2,0,2,1,0,0,0,1,0,1,2,0,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,18736,257550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:07
13083,2025,UEFA.WEURO,18736,257554,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2025-07-14 04:26:07
13083,2025,UEFA.WEURO,18736,257556,3,0,4,6,0,0,0,0,0,0,0,0,0,0,8,2025-07-14 04:26:07
13083,2025,UEFA.WEURO,18736,257561,3,0,4,2,0,0,0,2,0,3,7,1,0,0,8,2025-07-14 04:26:07
13083,2025,UEFA.WEURO,18736,257564,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-07-14 04:26:07
13083,2025,UEFA.WEURO,18736,257569,3,0,0,1,0,0,0,0,1,2,5,1,0,0,8,2025-07-14 04:26:07
13083,2025,UEFA.WEURO,18736,257570,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:07
13083,2025,UEFA.WEURO,2762,257573,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2896,257586,3,0,1,0,0,0,0,0,0,0,0,0,0,0,6,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,18736,257592,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:07
13083,2025,UEFA.WEURO,2896,258830,3,0,0,3,0,0,0,0,0,1,7,0,0,0,5,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,2896,258835,3,0,2,1,0,0,0,0,0,0,0,0,0,0,6,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,2896,258837,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,2756,258844,3,0,1,1,0,0,0,0,2,3,9,2,0,0,4,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,12634,259304,2,1,0,1,0,0,0,0,1,0,1,0,0,0,4,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,259307,2,0,1,3,0,0,0,0,0,0,1,0,0,0,7,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,259308,2,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,259309,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,259312,2,0,0,0,0,0,0,0,0,0,1,0,0,0,7,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,259315,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,259318,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,2762,259331,3,0,2,2,0,0,0,0,0,3,6,2,0,0,5,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,12634,259621,2,0,3,0,1,0,0,0,1,1,1,1,0,0,7,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,259626,2,0,0,1,0,0,0,0,1,2,3,0,0,0,7,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,3683,259752,3,2,1,0,0,0,0,0,0,0,2,0,0,0,4,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,3683,259754,3,0,7,3,0,0,0,0,1,1,5,0,0,0,5,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,2792,259759,3,0,0,1,0,0,0,0,0,0,0,0,0,7,4,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,9531,259762,3,0,2,5,0,0,0,0,0,0,1,0,0,0,8,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,9531,259768,2,1,2,2,0,1,0,0,0,0,0,0,0,0,2,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,9531,259770,3,0,1,0,0,0,0,0,0,0,3,0,0,0,8,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,9531,259773,2,0,0,1,0,0,0,0,0,0,0,0,0,7,3,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,9531,259774,3,3,1,1,0,0,0,1,0,0,0,0,0,0,2,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,9531,259778,3,0,6,4,1,0,0,0,1,1,4,0,0,0,8,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,9531,259779,3,0,4,1,0,0,0,0,3,3,4,0,0,0,6,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,9531,259780,3,2,0,1,0,0,0,0,2,0,3,0,0,0,6,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,9531,259784,3,0,3,2,0,0,0,0,0,0,1,0,0,0,6,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,17640,259791,3,1,2,0,0,0,0,0,1,5,12,4,0,0,2,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,9531,259954,3,0,3,2,1,0,0,0,0,1,2,1,0,0,8,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,2792,260452,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2792,260456,1,0,0,1,0,0,0,0,1,0,2,0,0,0,2,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,2756,262757,3,2,2,0,0,0,0,0,0,0,1,0,0,0,3,2025-07-14 04:26:09
13083,2025,UEFA.WEURO,5159,263682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,5159,263683,2,0,1,2,0,0,0,3,1,2,6,0,0,0,2,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,12634,264581,2,0,3,2,1,0,0,1,3,0,1,0,0,0,7,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,18736,264717,2,1,1,1,0,0,0,0,1,0,0,0,0,0,2,2025-07-14 04:26:07
13083,2025,UEFA.WEURO,2896,264719,3,2,3,2,0,0,0,0,1,3,6,1,0,0,4,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,7151,264730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:10
13083,2025,UEFA.WEURO,17640,264734,3,0,3,1,0,0,0,0,1,2,7,1,0,0,3,2025-07-14 04:26:11
13083,2025,UEFA.WEURO,2764,264735,3,0,5,1,0,0,0,2,0,2,4,0,0,0,1,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,264743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,264746,2,1,0,2,0,0,0,0,0,0,1,0,0,0,4,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,265532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,12634,265533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,17641,266895,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,2025-07-14 04:26:12
13083,2025,UEFA.WEURO,7536,267666,3,0,4,1,0,0,0,1,0,1,2,0,0,0,2,2025-07-14 04:26:08
13083,2025,UEFA.WEURO,7536,267669,3,2,1,0,0,0,0,0,0,0,3,0,0,0,2,2025-07-14 04:26:08
