seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13135,2025,USA.1,21300,5289,16,1,25,36,3,0,0,1,2,18,35,6,0,1,21,2025-07-16 11:26:29
13135,2025,USA.1,21300,6746,2,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2025-10-20 05:11:28
13135,2025,USA.1,21300,7567,32,0,25,31,9,0,0,5,0,3,16,1,0,0,46,2025-10-20 05:11:28
13135,2025,USA.1,6077,17478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-20 05:11:30
13135,2025,USA.1,9723,29447,20,9,11,11,4,0,1,1,3,3,10,1,0,0,20,2025-10-20 05:11:33
13135,2025,USA.1,18267,42583,16,4,8,10,4,1,0,0,0,2,9,0,0,0,12,2025-10-20 05:11:29
13135,2025,USA.1,18966,43372,32,0,1,1,1,0,0,0,0,0,0,0,128,71,34,2025-10-20 05:11:31
13135,2025,USA.1,20232,45843,28,2,9,35,3,0,0,20,7,71,157,29,0,0,45,2025-10-20 05:11:30
13135,2025,USA.1,18418,48128,31,0,30,56,4,0,0,6,12,23,68,6,0,0,53,2025-10-20 05:11:27
13135,2025,USA.1,18418,56935,26,0,0,4,1,0,0,0,0,0,0,0,149,86,49,2025-10-20 05:11:27
13135,2025,USA.1,6077,65434,26,0,0,4,0,0,0,0,0,0,0,0,65,66,44,2025-10-20 05:11:30
13135,2025,USA.1,184,66579,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-05-07 04:51:53
13135,2025,USA.1,21812,67671,6,4,2,0,0,0,0,0,0,0,1,0,0,2,4,2025-08-06 04:41:41
13135,2025,USA.1,17606,70624,34,0,42,56,6,0,0,10,5,6,30,2,0,0,40,2025-10-20 05:11:32
13135,2025,USA.1,9723,71042,27,17,31,14,3,0,0,1,0,0,2,0,0,0,19,2025-10-20 05:11:33
13135,2025,USA.1,191,73200,31,1,38,28,8,0,0,11,7,16,44,4,0,0,54,2025-10-20 05:11:34
13135,2025,USA.1,18267,75574,19,11,7,15,2,0,0,1,8,3,14,0,0,0,9,2025-10-20 05:11:29
13135,2025,USA.1,4771,82716,10,4,11,5,1,0,0,0,0,2,9,0,0,1,12,2025-07-11 11:18:01
13135,2025,USA.1,18267,86436,32,1,34,44,6,0,0,15,4,52,114,18,0,0,36,2025-10-20 05:11:29
13135,2025,USA.1,9720,87387,24,4,25,15,4,0,0,0,1,1,3,0,0,0,36,2025-10-20 05:11:27
13135,2025,USA.1,18966,88965,10,5,5,7,0,0,0,1,3,8,16,3,0,1,10,2025-06-30 04:24:44
13135,2025,USA.1,20906,89175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-10-20 05:11:27
13135,2025,USA.1,18986,96526,22,12,14,11,5,1,0,2,1,6,17,1,0,0,9,2025-10-20 05:11:31
13135,2025,USA.1,4771,100525,12,8,6,6,1,0,0,0,0,5,11,2,0,0,9,2025-10-20 05:11:34
13135,2025,USA.1,17362,101934,31,3,32,21,5,0,0,4,3,1,5,1,0,0,32,2025-10-20 05:11:31
13135,2025,USA.1,190,102254,33,2,33,32,4,0,0,5,32,36,59,17,0,0,43,2025-10-20 05:11:32
13135,2025,USA.1,20232,102985,25,0,1,4,0,1,0,0,0,0,0,0,105,78,41,2025-10-20 05:11:30
13135,2025,USA.1,187,105803,28,2,16,13,3,0,1,0,4,5,20,2,0,0,52,2025-10-20 05:11:30
