seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13235,2025,USA.NWSL,17346,95131,10,7,3,4,0,0,0,0,0,2,6,2,0,0,7,2025-11-04 06:05:07
13235,2025,USA.NWSL,15362,109120,7,6,2,2,0,0,0,0,1,0,2,0,0,0,0,2025-11-04 06:05:08
13235,2025,USA.NWSL,21423,148404,12,5,7,17,1,0,0,2,2,7,10,3,0,1,10,2025-09-08 05:00:18
13235,2025,USA.NWSL,19141,156434,1,1,0,2,0,0,0,0,0,0,1,0,0,0,1,2025-11-04 06:05:09
13235,2025,USA.NWSL,20907,158699,24,5,30,16,0,0,0,3,6,18,45,7,0,1,9,2025-11-04 06:05:07
13235,2025,USA.NWSL,18206,158712,22,4,14,28,0,0,0,1,4,13,37,4,0,0,19,2025-11-04 06:05:08
13235,2025,USA.NWSL,18206,158720,12,2,7,3,3,0,0,0,0,1,7,0,0,0,12,2025-11-04 06:05:08
13235,2025,USA.NWSL,21422,158791,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2025-11-04 06:05:06
13235,2025,USA.NWSL,20907,168043,21,14,23,4,4,0,0,0,0,2,6,0,0,2,6,2025-11-04 06:05:07
13235,2025,USA.NWSL,21422,175978,22,20,7,1,0,0,0,0,1,5,18,1,0,0,9,2025-11-04 06:05:06
13235,2025,USA.NWSL,17346,208915,9,2,5,1,2,0,0,0,1,0,0,0,0,5,12,2025-11-04 06:05:07
13235,2025,USA.NWSL,15360,209045,14,5,14,18,1,0,0,0,3,4,9,2,0,2,17,2025-11-04 06:05:06
13235,2025,USA.NWSL,18206,209067,9,8,5,7,1,0,0,0,3,2,14,1,0,0,0,2025-11-04 06:05:08
13235,2025,USA.NWSL,19141,209210,9,3,9,4,2,0,0,0,0,0,1,0,0,2,17,2025-11-04 06:05:09
13235,2025,USA.NWSL,21423,209278,24,0,0,1,0,0,0,0,1,0,0,0,92,63,31,2025-11-04 06:05:09
13235,2025,USA.NWSL,15366,209367,26,0,14,16,1,0,0,0,3,2,11,1,0,8,39,2025-11-04 06:05:07
13235,2025,USA.NWSL,21423,209383,21,1,16,39,4,0,0,0,2,4,11,1,0,0,23,2025-11-04 06:05:09
13235,2025,USA.NWSL,22187,209537,9,2,4,3,1,0,1,0,0,1,3,1,0,1,12,2025-11-04 06:05:06
13235,2025,USA.NWSL,20905,209538,22,1,3,5,1,0,0,2,3,2,12,1,0,2,32,2025-11-04 06:05:08
13235,2025,USA.NWSL,15366,209771,21,0,0,2,0,0,0,0,0,0,0,0,113,66,32,2025-11-04 06:05:07
13235,2025,USA.NWSL,15364,209984,16,3,6,13,1,0,0,2,2,12,29,5,0,0,10,2025-11-04 06:05:07
13235,2025,USA.NWSL,15365,210318,10,1,12,16,1,0,0,1,3,9,26,6,0,2,13,2025-11-04 06:05:10
13235,2025,USA.NWSL,15364,211034,26,0,31,22,5,0,1,0,2,1,7,0,0,0,25,2025-11-04 06:05:07
13235,2025,USA.NWSL,17346,211037,26,0,31,26,3,0,0,0,1,1,11,0,0,0,35,2025-11-04 06:05:07
13235,2025,USA.NWSL,21422,211044,18,9,9,13,1,0,0,0,0,2,8,0,0,1,18,2025-11-04 06:05:06
13235,2025,USA.NWSL,18206,211047,11,1,6,9,0,0,0,1,2,2,9,0,0,2,8,2025-09-02 05:00:41
13235,2025,USA.NWSL,21423,211048,21,17,3,3,1,0,0,0,5,5,19,1,0,1,9,2025-11-04 06:05:09
13235,2025,USA.NWSL,15365,211049,14,8,5,20,0,0,0,1,0,2,5,1,0,1,12,2025-11-04 06:05:10
13235,2025,USA.NWSL,21423,211051,23,4,14,5,3,0,0,0,1,5,8,2,0,2,25,2025-11-04 06:05:09
13235,2025,USA.NWSL,17346,211130,9,1,1,2,0,0,0,0,1,0,0,0,16,41,17,2025-11-04 06:05:07
13235,2025,USA.NWSL,19141,211147,17,12,8,4,2,0,0,0,0,2,6,0,0,0,6,2025-11-04 06:05:09
13235,2025,USA.NWSL,17346,211496,26,2,17,12,1,0,0,0,0,2,7,1,0,4,35,2025-11-04 06:05:07
13235,2025,USA.NWSL,15363,211609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-04 06:05:09
13235,2025,USA.NWSL,18206,211615,22,8,6,2,0,0,0,2,1,7,14,3,0,1,17,2025-11-04 06:05:08
13235,2025,USA.NWSL,21422,211963,4,0,0,0,0,0,0,0,0,0,0,0,0,14,4,2025-11-04 06:05:06
13235,2025,USA.NWSL,15363,211968,13,6,5,2,0,0,0,1,5,6,13,2,0,1,10,2025-11-04 06:05:09
13235,2025,USA.NWSL,20907,212192,23,2,15,30,3,0,0,1,3,8,23,5,0,4,10,2025-11-04 06:05:07
13235,2025,USA.NWSL,17346,212207,18,0,0,3,0,0,0,0,2,0,0,0,69,62,22,2025-11-04 06:05:07
13235,2025,USA.NWSL,20905,213918,26,3,9,21,0,0,0,5,1,12,30,3,0,0,35,2025-11-04 06:05:08
13235,2025,USA.NWSL,17346,214142,16,3,7,0,0,0,0,0,1,1,5,0,0,5,22,2025-11-04 06:05:07
13235,2025,USA.NWSL,20907,214254,19,5,6,7,1,0,0,0,0,2,6,1,0,0,8,2025-11-04 06:05:07
13235,2025,USA.NWSL,15360,219043,23,0,0,5,0,0,0,0,0,1,1,1,109,75,46,2025-11-04 06:05:06
13235,2025,USA.NWSL,15366,219065,18,1,24,15,2,0,0,2,2,2,10,0,0,0,25,2025-11-04 06:05:07
13235,2025,USA.NWSL,21423,219119,26,0,22,11,2,0,0,3,4,20,54,5,0,2,34,2025-11-04 06:05:09
13235,2025,USA.NWSL,15363,219697,13,4,6,7,1,0,0,2,1,2,9,2,0,2,8,2025-09-05 05:06:03
13235,2025,USA.NWSL,15362,219768,25,6,14,25,1,0,0,5,1,10,20,2,0,0,24,2025-11-04 06:05:08
13235,2025,USA.NWSL,21423,219769,26,9,14,10,2,0,0,3,7,15,38,4,0,0,19,2025-11-04 06:05:09
13235,2025,USA.NWSL,17346,219771,11,3,3,15,1,0,0,0,0,0,0,0,0,0,12,2025-11-04 06:05:07
13235,2025,USA.NWSL,21422,219819,16,0,15,6,0,0,1,1,2,7,25,1,0,3,22,2025-08-29 05:00:54
13235,2025,USA.NWSL,15362,219821,19,0,0,8,0,0,0,0,1,0,0,0,63,67,25,2025-11-04 06:05:08
13235,2025,USA.NWSL,15365,219866,16,5,9,27,2,0,0,3,0,5,17,1,0,1,14,2025-11-04 06:05:10
13235,2025,USA.NWSL,22187,219980,12,7,14,1,1,0,0,0,1,2,8,0,0,0,7,2025-09-04 05:02:50
13235,2025,USA.NWSL,15363,220017,12,7,1,4,0,0,0,0,1,0,3,0,0,0,4,2025-11-04 06:05:09
13235,2025,USA.NWSL,17346,220019,2,2,2,0,0,0,0,0,1,0,0,0,0,0,1,2025-11-04 06:05:07
13235,2025,USA.NWSL,19141,223464,23,1,24,41,2,0,0,1,3,20,47,6,0,1,36,2025-11-04 06:05:09
13235,2025,USA.NWSL,18206,225083,25,5,19,30,1,0,0,2,17,16,28,2,0,2,14,2025-11-04 06:05:08
13235,2025,USA.NWSL,20907,225339,21,15,23,5,1,0,0,1,6,7,18,1,0,1,2,2025-11-04 06:05:07
13235,2025,USA.NWSL,20907,225383,9,8,5,2,2,0,0,0,0,0,3,0,0,1,3,2025-11-04 06:05:07
13235,2025,USA.NWSL,15360,225687,26,1,16,3,2,0,2,4,0,5,13,2,0,4,46,2025-11-04 06:05:06
13235,2025,USA.NWSL,17346,225731,20,15,11,11,2,0,0,0,6,3,5,1,0,1,11,2025-11-04 06:05:07
13235,2025,USA.NWSL,21422,226053,8,1,3,4,0,0,0,1,1,4,11,0,0,0,7,2025-11-04 06:05:06
13235,2025,USA.NWSL,15360,226064,7,2,1,4,0,0,0,0,0,2,6,0,0,0,5,2025-11-04 06:05:06
13235,2025,USA.NWSL,19141,226080,12,2,4,3,1,0,0,1,0,1,1,1,0,0,7,2025-11-04 06:05:09
13235,2025,USA.NWSL,20905,226085,23,0,13,8,1,0,1,0,1,1,5,1,0,4,34,2025-11-04 06:05:08
13235,2025,USA.NWSL,15364,226566,20,9,16,14,1,0,0,1,3,6,21,1,0,1,14,2025-11-04 06:05:07
13235,2025,USA.NWSL,20907,226777,24,1,12,8,1,0,0,1,2,6,11,2,0,4,12,2025-11-04 06:05:07
13235,2025,USA.NWSL,20905,226779,23,18,1,7,2,0,0,0,2,4,9,1,0,0,14,2025-11-04 06:05:08
13235,2025,USA.NWSL,18206,227076,26,1,29,13,2,0,0,4,1,9,35,3,0,4,23,2025-11-04 06:05:08
13235,2025,USA.NWSL,15366,227090,22,3,18,32,1,0,0,0,1,0,13,0,0,2,28,2025-11-04 06:05:07
13235,2025,USA.NWSL,17346,227090,16,1,15,25,1,0,0,0,1,0,7,0,0,2,21,2025-09-13 05:05:21
13235,2025,USA.NWSL,15363,227354,20,9,28,20,4,0,0,0,0,1,5,0,0,0,11,2025-11-04 06:05:09
13235,2025,USA.NWSL,19141,227520,16,2,13,19,5,0,0,2,8,12,27,5,0,0,11,2025-11-04 06:05:09
13235,2025,USA.NWSL,22187,230870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-04 06:05:06
13235,2025,USA.NWSL,15366,230877,12,5,8,11,1,0,0,0,0,0,1,0,0,0,10,2025-11-04 06:05:07
13235,2025,USA.NWSL,22187,230901,23,11,14,19,2,0,0,0,4,3,12,0,0,2,17,2025-11-04 06:05:06
13235,2025,USA.NWSL,21423,230968,14,11,5,1,0,0,0,1,7,3,9,0,0,0,7,2025-11-04 06:05:09
13235,2025,USA.NWSL,20907,230970,7,0,3,0,0,0,0,0,0,0,1,0,0,1,3,2025-11-04 06:05:07
13235,2025,USA.NWSL,21422,231202,8,1,10,2,1,0,0,0,0,2,4,0,0,0,10,2025-11-04 06:05:06
13235,2025,USA.NWSL,15366,231205,10,2,10,0,1,0,0,1,1,3,3,2,0,1,16,2025-11-04 06:05:07
13235,2025,USA.NWSL,15363,234759,20,4,4,10,3,0,0,1,1,0,0,0,0,0,14,2025-11-04 06:05:09
13235,2025,USA.NWSL,15360,234766,13,1,6,13,0,0,0,0,0,1,1,0,0,0,25,2025-11-04 06:05:06
13235,2025,USA.NWSL,15365,235713,25,2,19,24,1,0,0,0,1,1,8,0,0,5,29,2025-11-04 06:05:10
13235,2025,USA.NWSL,20907,239984,22,5,5,7,0,0,0,1,3,19,44,8,0,0,8,2025-11-04 06:05:07
13235,2025,USA.NWSL,15366,242144,11,2,2,3,0,0,0,1,2,0,4,0,0,3,14,2025-09-19 05:05:34
13235,2025,USA.NWSL,17346,242144,17,2,2,5,0,0,0,1,2,2,12,1,0,3,23,2025-11-04 06:05:07
13235,2025,USA.NWSL,15362,242145,21,8,20,15,2,0,0,0,4,12,37,2,0,0,17,2025-11-04 06:05:08
13235,2025,USA.NWSL,15364,242159,16,4,13,9,2,0,0,1,2,1,7,0,0,1,11,2025-09-13 05:05:21
13235,2025,USA.NWSL,21422,242159,23,5,23,15,3,0,0,2,2,3,10,0,0,1,20,2025-11-04 06:05:06
13235,2025,USA.NWSL,15363,242241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-06 04:44:43
13235,2025,USA.NWSL,19141,242259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-11-04 06:05:09
13235,2025,USA.NWSL,15362,242457,23,4,19,3,1,0,1,2,2,7,24,1,0,4,30,2025-11-04 06:05:08
13235,2025,USA.NWSL,21422,242457,20,4,18,3,1,0,1,2,2,7,22,1,0,4,29,2025-10-01 05:01:54
13235,2025,USA.NWSL,15364,242965,10,3,7,7,2,0,0,1,0,6,14,0,0,2,10,2025-11-04 06:05:07
