seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
13776,2025,USA.W.USL.1,131449,209238,3,3,1,0,0,0,0,0,0,0,0,0,0,0,2,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131455,209644,12,0,23,10,3,0,0,0,0,0,3,0,0,0,15,2025-12-10 05:55:27
13776,2025,USA.W.USL.1,131455,210679,12,0,9,9,2,0,0,0,0,1,5,0,0,0,18,2025-12-10 05:55:27
13776,2025,USA.W.USL.1,131450,211209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131449,211225,10,0,17,5,1,2,0,0,0,0,0,0,0,0,11,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131454,211980,12,3,11,5,1,0,0,0,0,9,26,4,0,0,13,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131451,212190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131447,212194,10,0,2,10,1,0,0,3,0,8,14,0,0,0,16,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131452,223046,14,2,14,14,3,0,0,1,0,0,1,0,0,0,17,2025-12-10 05:55:24
13776,2025,USA.W.USL.1,131447,224874,8,8,1,3,0,0,0,0,0,1,5,0,0,0,5,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131454,225047,3,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131452,225671,8,0,0,2,2,0,0,0,0,0,0,0,0,20,14,2025-12-10 05:55:24
13776,2025,USA.W.USL.1,131447,226782,10,0,12,5,2,0,1,0,0,3,10,0,0,0,19,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131450,230372,7,4,4,4,0,0,0,0,0,0,5,0,0,0,6,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131454,241908,11,3,4,6,2,0,0,0,0,6,15,1,0,0,14,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131453,242241,12,0,11,10,3,0,0,2,0,0,4,0,0,0,19,2025-12-10 05:55:27
13776,2025,USA.W.USL.1,131450,242560,11,0,11,4,1,0,0,0,0,3,10,1,0,0,14,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131454,242779,12,0,15,5,1,0,0,1,0,0,0,0,0,0,17,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131452,246591,6,5,0,0,1,0,0,0,0,2,2,1,0,0,3,2025-12-10 05:55:24
13776,2025,USA.W.USL.1,131455,246850,10,5,22,10,3,0,0,0,0,3,4,1,0,0,10,2025-12-10 05:55:27
13776,2025,USA.W.USL.1,131453,246887,7,7,2,2,1,0,0,0,0,0,0,0,0,0,2,2025-12-10 05:55:27
13776,2025,USA.W.USL.1,131451,248457,12,0,15,7,2,0,0,2,0,2,12,0,0,0,10,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131454,248725,6,2,7,1,2,0,0,0,0,0,1,0,0,0,9,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131452,249239,10,1,23,17,3,0,0,0,0,3,8,1,0,0,16,2025-12-10 05:55:24
13776,2025,USA.W.USL.1,131455,261623,10,7,5,10,1,0,0,0,0,2,6,1,0,0,10,2025-12-10 05:55:27
13776,2025,USA.W.USL.1,131450,261660,10,6,8,3,0,0,0,0,0,1,5,1,0,0,8,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131451,261845,12,0,16,13,2,0,0,2,0,10,25,7,0,0,9,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131449,261984,12,3,2,7,0,0,0,0,0,0,5,0,0,0,11,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131452,262002,14,1,16,8,4,0,0,0,0,2,6,1,0,0,15,2025-12-10 05:55:24
13776,2025,USA.W.USL.1,131447,262023,11,0,12,7,1,0,0,1,0,9,15,3,0,0,17,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131451,262754,12,11,3,5,2,0,0,0,0,3,8,3,0,0,4,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131451,262828,6,3,9,10,1,0,0,1,0,4,9,2,0,0,6,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131451,262848,12,0,9,4,1,0,0,1,0,1,7,1,0,0,10,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131451,263556,11,1,10,18,2,0,0,3,0,7,29,2,0,0,5,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131448,263673,4,2,0,1,0,0,0,0,0,0,1,0,0,0,3,2025-10-11 02:00:07
13776,2025,USA.W.USL.1,131449,263897,8,0,13,24,2,0,0,1,0,1,2,0,0,0,12,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131450,264743,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131447,268155,11,0,4,16,1,0,0,0,0,5,12,0,0,0,19,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131455,277809,11,0,16,19,0,0,0,1,0,1,7,0,0,0,10,2025-12-10 05:55:27
13776,2025,USA.W.USL.1,131454,278217,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131455,278224,12,0,11,29,2,0,0,3,0,9,14,3,0,0,16,2025-12-10 05:55:27
13776,2025,USA.W.USL.1,131447,278276,10,0,0,1,1,0,0,0,0,0,0,0,0,29,18,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131455,278377,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2025-12-10 05:55:27
13776,2025,USA.W.USL.1,131448,278686,15,1,24,22,2,0,0,2,0,5,19,0,0,0,11,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131454,279023,11,0,3,3,0,1,0,0,0,1,9,0,0,0,13,2025-12-10 05:55:25
13776,2025,USA.W.USL.1,131448,279241,15,0,10,8,1,0,0,0,0,0,1,0,0,0,14,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131451,279249,12,1,15,6,0,0,0,2,0,9,24,3,0,0,6,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131451,279299,12,0,7,5,1,0,0,0,0,1,6,0,0,0,10,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131448,279478,15,4,18,11,1,0,0,1,0,10,27,3,0,0,10,2025-12-10 05:55:26
13776,2025,USA.W.USL.1,131450,280977,6,4,5,0,1,0,0,0,0,1,1,0,0,0,1,2025-12-10 05:55:25
