seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12851,717917,1,43997812,94,Ryan Teague (Melbourne Victory) Yellow Card at 4',Ryan Teague Yellow Card,1,240,4',5328,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,282238.0,Ryan Teague,2024-10-29 05:20:36
12851,717917,2,43997814,94,Jason Geria (Melbourne Victory) Yellow Card at 33',Jason Geria Yellow Card,1,1980,33',5328,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,172137.0,Jason Geria,2024-10-29 05:20:36
12851,717917,3,43997815,117,Bruno Fornaroli (Melbourne Victory) Shot Off Target at 49',Bruno Fornaroli Shot Off Target,1,2700,45'+4',5328,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,96076.0,Bruno Fornaroli,2024-10-29 05:20:36
12851,717917,4,43997816,94,Alfie McCalmont (Central Coast Mariners) Yellow Card at 53',Alfie McCalmont Yellow Card,2,3180,53',5325,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,291994.0,Alfie McCalmont,2024-10-29 05:20:36
12851,717917,5,43997817,93,Roderick Miranda (Melbourne Victory) Red Card at 60',Roderick Miranda Red Card,2,3600,60',5328,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,138984.0,Roderick Miranda,2024-10-29 05:20:36
12851,717917,6,43997818,76,Joshua Rawlins (Melbourne Victory) Substitution at 61',Joshua Rawlins Substitution,2,3660,61',5328,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,289966.0,Joshua Rawlins,2024-10-29 05:20:36
12851,717917,6,43997818,76,Joshua Rawlins (Melbourne Victory) Substitution at 61',Joshua Rawlins Substitution,2,3660,61',5328,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,261387.0,Reno Piscopo,2024-10-29 05:20:36
12851,717917,7,43997819,76,Sabit Ngor (Central Coast Mariners) Substitution at 67',Sabit Ngor Substitution,2,4020,67',5325,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,392308.0,Sabit Ngor,2024-10-29 05:20:36
12851,717917,8,43997820,76,Nikolaos Vergos (Melbourne Victory) Substitution at 67',Nikolaos Vergos Substitution,2,4020,67',5328,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,196064.0,Nikolaos Vergos,2024-10-29 05:20:36
12851,717917,9,43997821,76,Jing Lual (Melbourne Victory) Substitution at 67',Jing Lual Substitution,2,4020,67',5328,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,319924.0,Jing Lual,2024-10-29 05:20:36
