seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13358,735734,1,45288333,70,Lawrence Agyekum (Cercle Brugge KSV) Goal at 8',Lawrence Agyekum Goal,1,480,8',3610,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,334129,Lawrence Agyekum,2025-05-23 04:56:27
13358,735734,2,45288667,70,Paris Brunner (Cercle Brugge KSV) Goal at 25',Paris Brunner Goal,1,1500,25',3610,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,365789,Paris Brunner,2025-05-23 04:56:27
13358,735734,4,45289321,76,Bruno Gonçalves (Cercle Brugge KSV) Substitution at 45',Bruno Gonçalves Substitution,2,2700,45',3610,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,319950,Bruno Gonçalves,2025-05-23 04:56:27
13358,735734,3,45288939,76,Ibrahim Diakité (Cercle Brugge KSV) Substitution at 50',Ibrahim Diakité Substitution,1,2700,45'+5',3610,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,311004,Ibrahim Diakité,2025-05-23 04:56:27
13358,735734,3,45288939,76,Ibrahim Diakité (Cercle Brugge KSV) Substitution at 50',Ibrahim Diakité Substitution,1,2700,45'+5',3610,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,310407,Edgaras Utkus,2025-05-23 04:56:27
13358,735734,4,45289321,76,Bruno Gonçalves (Cercle Brugge KSV) Substitution at 45',Bruno Gonçalves Substitution,2,2700,45',3610,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,334129,Lawrence Agyekum,2025-05-23 04:56:27
13358,735734,5,45289410,70,Paris Brunner (Cercle Brugge KSV) Goal at 51',Paris Brunner Goal,2,3060,51',3610,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,365789,Paris Brunner,2025-05-23 04:56:27
13358,735734,6,45289533,94,Tom Pietermaat (Patro Eisden Maasmechelen) Yellow Card at 57',Tom Pietermaat Yellow Card,2,3420,57',130877,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,158012,Tom Pietermaat,2025-05-23 04:56:27
13358,735734,7,45289539,70,Felipe (Cercle Brugge KSV) Goal at 58',Felipe Goal,2,3480,58',3610,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,315626,Felipe,2025-05-23 04:56:27
13358,735734,8,45289690,76,Reno Wilmots (Patro Eisden Maasmechelen) Substitution at 65',Reno Wilmots Substitution,2,3900,65',130877,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,231750,Reno Wilmots,2025-05-23 04:56:27
13358,735734,9,45289721,76,Jellert Van Landschoot (Patro Eisden Maasmechelen) Substitution at 65',Jellert Van Landschoot Substitut,2,3900,65',130877,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,258882,Jellert Van Landschoot,2025-05-23 04:56:27
