seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12922,722224,1,44107541,68,"Offside, Real Betis. Iker Losada is caught offside.",Assane Diao Offside,1,164,3',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.766,0.901,0.512,0.906,364742.0,Assane Diao,2024-11-01 05:25:42
12922,722224,2,44107558,95,"Corner, Real Betis. Conceded by Jorge Rodríguez.",Cédric Bakambu Corner Kick,1,195,4',244,0,0,2024-10-31 22:08:51,0.0,0.0,0.108,0.298,0.0,0.0,147193.0,Cédric Bakambu,2024-11-01 05:25:42
12922,722224,3,44107606,106,Attempt saved. Cédric Bakambu (Real Betis) header from the centre of the box is saved in the top right corner. Assisted by Iker Losada with a cross.,Cédric Bakambu Shot On Target,1,243,5',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.208,0.434,0.032,0.509,147193.0,Cédric Bakambu,2024-11-01 05:25:42
12922,722224,3,44107606,106,Attempt saved. Cédric Bakambu (Real Betis) header from the centre of the box is saved in the top right corner. Assisted by Iker Losada with a cross.,Cédric Bakambu Shot On Target,1,243,5',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.208,0.434,0.032,0.509,292222.0,Iker Losada,2024-11-01 05:25:42
12922,722224,4,44107560,95,"Corner, Real Betis. Conceded by Fran Fernández.",Cédric Bakambu Corner Kick,1,244,5',244,0,0,2024-10-31 22:08:51,0.0,0.0,0.152,0.482,0.0,0.0,147193.0,Cédric Bakambu,2024-11-01 05:25:42
12922,722224,5,44107586,117,Attempt missed. Cédric Bakambu (Real Betis) right footed shot from the right side of the box is too high. Assisted by Iker Losada with a cross following a corner.,Cédric Bakambu Shot Off Target,1,274,5',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.0,0.0,0.0,0.0,147193.0,Cédric Bakambu,2024-11-01 05:25:42
12922,722224,5,44107586,117,Attempt missed. Cédric Bakambu (Real Betis) right footed shot from the right side of the box is too high. Assisted by Iker Losada with a cross following a corner.,Cédric Bakambu Shot Off Target,1,274,5',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.0,0.0,0.0,0.0,292222.0,Iker Losada,2024-11-01 05:25:42
12922,722224,6,44107585,70,"Goal! Gévora 0, Real Betis 1. Sergi Altimira (Real Betis) right footed shot from outside the box to the bottom left corner.",Sergi Altimira Goal,1,302,6',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.376,0.555,0.0,0.471,331426.0,Sergi Altimira,2024-11-01 05:25:42
12922,722224,7,44107624,66,Víctor Montero (Gévora) wins a free kick in the defensive half.,Assane Diao Foul,1,355,6',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.48,0.941,0.0,0.0,364742.0,Assane Diao,2024-11-01 05:25:42
12922,722224,7,44107624,66,Víctor Montero (Gévora) wins a free kick in the defensive half.,Assane Diao Foul,1,355,6',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.48,0.941,0.0,0.0,,Víctor Montero,2024-11-01 05:25:42
12922,722224,8,44107623,117,Attempt missed. Juanmi (Real Betis) header from the centre of the box misses to the left. Assisted by Ricardo Rodríguez with a cross.,Juanmi Shot Off Target,1,455,8',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.204,0.487,0.0,0.393,143643.0,Juanmi,2024-11-01 05:25:42
12922,722224,8,44107623,117,Attempt missed. Juanmi (Real Betis) header from the centre of the box misses to the left. Assisted by Ricardo Rodríguez with a cross.,Juanmi Shot Off Target,1,455,8',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.204,0.487,0.0,0.393,136865.0,Ricardo Rodríguez,2024-11-01 05:25:42
12922,722224,9,44107644,122,Hand ball by Cédric Bakambu (Real Betis).,Cédric Bakambu Handball,1,592,10',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.544,0.238,0.0,0.0,147193.0,Cédric Bakambu,2024-11-01 05:25:42
12922,722224,10,44107665,68,"Offside, Real Betis. Assane Diao is caught offside.",Nobel Mendy Offside,1,662,12',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.792,0.694,0.522,0.917,356212.0,Nobel Mendy,2024-11-01 05:25:42
12922,722224,11,44107699,66,Juanmi (Real Betis) wins a free kick on the left wing.,Adrián Maya Foul,1,764,13',22385,0,0,2024-10-31 22:08:37,0.0,0.0,0.624,0.188,0.0,0.0,395020.0,Adrián Maya,2024-11-01 05:25:42
12922,722224,11,44107699,66,Juanmi (Real Betis) wins a free kick on the left wing.,Adrián Maya Foul,1,764,13',22385,0,0,2024-10-31 22:08:37,0.0,0.0,0.624,0.188,0.0,0.0,,Juanmi,2024-11-01 05:25:42
12922,722224,12,44107719,68,"Offside, Gévora. David Sánchez is caught offside.",Adolfo Rosado Offside,1,873,15',22385,0,0,2024-10-31 22:08:37,0.0,0.0,0.828,0.788,0.378,0.856,394993.0,Adolfo Rosado,2024-11-01 05:25:42
12922,722224,13,44107724,117,Attempt missed. Cédric Bakambu (Real Betis) right footed shot from the centre of the box misses to the left. Assisted by Assane Diao with a headed pass.,Cédric Bakambu Shot Off Target,1,922,16',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.132,0.47,0.114,0.0,147193.0,Cédric Bakambu,2024-11-01 05:25:42
12922,722224,13,44107724,117,Attempt missed. Cédric Bakambu (Real Betis) right footed shot from the centre of the box misses to the left. Assisted by Assane Diao with a headed pass.,Cédric Bakambu Shot Off Target,1,922,16',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.132,0.47,0.114,0.0,364742.0,Assane Diao,2024-11-01 05:25:42
12922,722224,14,44107748,68,"Offside, Real Betis. Cédric Bakambu is caught offside.",Assane Diao Offside,1,986,17',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.508,0.932,0.194,0.506,364742.0,Assane Diao,2024-11-01 05:25:42
12922,722224,15,44107766,68,"Offside, Real Betis. Assane Diao is caught offside.",Cédric Bakambu Offside,1,1044,18',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.422,0.521,0.214,0.664,147193.0,Cédric Bakambu,2024-11-01 05:25:42
12922,722224,16,44107793,68,"Offside, Real Betis. Juanmi is caught offside.",Iker Losada Offside,1,1134,19',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.656,0.72,0.228,0.446,292222.0,Iker Losada,2024-11-01 05:25:42
12922,722224,17,44107816,66,Ricardo Rodríguez (Real Betis) wins a free kick on the left wing.,Jorge Rodríguez Foul,1,1208,21',22385,0,0,2024-10-31 22:08:37,0.0,0.0,0.16,0.185,0.0,0.0,395030.0,Jorge Rodríguez,2024-11-01 05:25:42
12922,722224,17,44107816,66,Ricardo Rodríguez (Real Betis) wins a free kick on the left wing.,Jorge Rodríguez Foul,1,1208,21',22385,0,0,2024-10-31 22:08:37,0.0,0.0,0.16,0.185,0.0,0.0,,Ricardo Rodríguez,2024-11-01 05:25:42
12922,722224,18,44107891,117,Attempt missed. Natan (Real Betis) left footed shot from the centre of the box is too high. Assisted by Ricardo Rodríguez with a cross following a set piece situation.,Natan Shot Off Target,1,1270,22',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.0,0.0,0.0,0.0,301526.0,Natan,2024-11-01 05:25:42
12922,722224,18,44107891,117,Attempt missed. Natan (Real Betis) left footed shot from the centre of the box is too high. Assisted by Ricardo Rodríguez with a cross following a set piece situation.,Natan Shot Off Target,1,1270,22',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.0,0.0,0.0,0.0,136865.0,Ricardo Rodríguez,2024-11-01 05:25:42
12922,722224,19,44107894,68,"Offside, Real Betis. Assane Diao is caught offside.",Sergi Altimira Offside,1,1427,24',244,0,0,2024-10-31 22:08:37,0.0,0.0,0.75,0.288,0.23,0.878,331426.0,Sergi Altimira,2024-11-01 05:25:42
12922,722224,20,44107922,117,Attempt missed. Álvaro Perera (Gévora) right footed shot from outside the box misses to the left. Assisted by Adrián Maya.,Álvaro Perera Shot Off Target,1,1471,25',22385,0,0,2024-10-31 22:08:37,0.0,0.0,0.474,0.679,0.0,0.392,394999.0,Álvaro Perera,2024-11-01 05:25:42
12922,722224,20,44107922,117,Attempt missed. Álvaro Perera (Gévora) right footed shot from outside the box misses to the left. Assisted by Adrián Maya.,Álvaro Perera Shot Off Target,1,1471,25',22385,0,0,2024-10-31 22:08:37,0.0,0.0,0.474,0.679,0.0,0.392,395020.0,Adrián Maya,2024-11-01 05:25:42
