seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12815,715552,1,43579278,94,Miquel Muñoz (Asteras Tripoli) Yellow Card at 29',Miquel Muñoz Yellow Card,1,1740,29',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,310911.0,Miquel Muñoz,2025-04-05 08:41:37
12815,715552,2,43579467,94,Martin Ádám (Asteras Tripoli) Yellow Card at 40',Martin Ádám Yellow Card,1,2400,40',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,258141.0,Martin Ádám,2025-04-05 08:41:37
12815,715552,3,43579580,94,Pepe Castaño (Asteras Tripoli) Yellow Card at 46',Pepe Castaño Yellow Card,1,2700,45'+1',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,268755.0,Pepe Castaño,2025-04-05 08:41:37
12815,715552,4,43579826,93,Zeca (Panathinaikos) Red Card at 51',Zeca Red Card,2,3060,51',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,158115.0,Zeca,2025-04-05 08:41:37
12815,715552,5,43579833,70,Francesc Regis (Asteras Tripoli) Goal at 52',Francesc Regis Goal,2,3120,52',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,272490.0,Francesc Regis,2025-04-05 08:41:37
12815,715552,6,43579965,76,Fotis Ioannidis (Panathinaikos) Substitution at 60',Fotis Ioannidis Substitution,2,3600,60',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,266318.0,Fotis Ioannidis,2025-04-05 08:41:37
12815,715552,7,43579966,76,Tin Jedvaj (Panathinaikos) Substitution at 60',Tin Jedvaj Substitution,2,3600,60',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,183853.0,Tin Jedvaj,2025-04-05 08:41:37
12815,715552,8,43579967,76,Anastasios Bakasetas (Panathinaikos) Substitution at 60',Anastasios Bakasetas Substitutio,2,3600,60',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,176747.0,Anastasios Bakasetas,2025-04-05 08:41:37
12815,715552,6,43579965,76,Fotis Ioannidis (Panathinaikos) Substitution at 60',Fotis Ioannidis Substitution,2,3600,60',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,137076.0,Filip Djuricic,2025-04-05 08:41:37
12815,715552,7,43579966,76,Tin Jedvaj (Panathinaikos) Substitution at 60',Tin Jedvaj Substitution,2,3600,60',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,173621.0,Willian Arão,2025-04-05 08:41:37
12815,715552,8,43579967,76,Anastasios Bakasetas (Panathinaikos) Substitution at 60',Anastasios Bakasetas Substitutio,2,3600,60',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,170327.0,Tonny Vilhena,2025-04-05 08:41:37
12815,715552,9,43579968,94,Georgios Vagiannidis (Panathinaikos) Yellow Card at 61',Georgios Vagiannidis Yellow Card,2,3660,61',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,300514.0,Georgios Vagiannidis,2025-04-05 08:41:37
12815,715552,10,43580091,76,Daniel Mancini (Panathinaikos) Substitution at 69',Daniel Mancini Substitution,2,4140,69',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,222201.0,Daniel Mancini,2025-04-05 08:41:37
12815,715552,10,43580091,76,Daniel Mancini (Panathinaikos) Substitution at 69',Daniel Mancini Substitution,2,4140,69',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,287664.0,Mateus Tetê,2025-04-05 08:41:37
12815,715552,11,43580106,76,Ajdin Redzic (Asteras Tripoli) Substitution at 74',Ajdin Redzic Substitution,2,4440,74',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,387571.0,Ajdin Redzic,2025-04-05 08:41:37
12815,715552,12,43580107,76,Vassilis Mantzis (Asteras Tripoli) Substitution at 74',Vassilis Mantzis Substitution,2,4440,74',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,292965.0,Vassilis Mantzis,2025-04-05 08:41:37
12815,715552,11,43580106,76,Ajdin Redzic (Asteras Tripoli) Substitution at 74',Ajdin Redzic Substitution,2,4440,74',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,310911.0,Miquel Muñoz,2025-04-05 08:41:37
12815,715552,12,43580107,76,Vassilis Mantzis (Asteras Tripoli) Substitution at 74',Vassilis Mantzis Substitution,2,4440,74',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,258141.0,Martin Ádám,2025-04-05 08:41:37
12815,715552,13,43580108,94,Anastasios Bakasetas (Panathinaikos) Yellow Card at 75',Anastasios Bakasetas Yellow Card,2,4500,75',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,176747.0,Anastasios Bakasetas,2025-04-05 08:41:37
12815,715552,14,43580122,94,Nemanja Maksimovic (Panathinaikos) Yellow Card at 76',Nemanja Maksimovic Yellow Card,2,4560,76',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,219538.0,Nemanja Maksimovic,2025-04-05 08:41:37
12815,715552,15,43580161,76,Filip Mladenovic (Panathinaikos) Substitution at 80',Filip Mladenovic Substitution,2,4800,80',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,166257.0,Filip Mladenovic,2025-04-05 08:41:37
12815,715552,15,43580161,76,Filip Mladenovic (Panathinaikos) Substitution at 80',Filip Mladenovic Substitution,2,4800,80',443,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,200856.0,Philipp Max,2025-04-05 08:41:37
12815,715552,16,43580186,76,Fanis Tzandaris (Asteras Tripoli) Substitution at 82',Fanis Tzandaris Substitution,2,4920,82',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,191863.0,Fanis Tzandaris,2025-04-05 08:41:37
12815,715552,16,43580186,76,Fanis Tzandaris (Asteras Tripoli) Substitution at 82',Fanis Tzandaris Substitution,2,4920,82',8354,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,210819.0,Evgeni Yablonski,2025-04-05 08:41:37
