seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12768,712932,1,43475714,94,Blair Mackenzie (Aberdeen B) Yellow Card at 32',Blair Mackenzie Yellow Card,1,1920,32',19302,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,324732.0,Blair Mackenzie,2024-08-03 09:27:20
12768,712932,2,43475715,70,Michael Phillipson (Banks O'Dee) Goal at 33',Michael Phillipson Goal,1,1980,33',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,248873.0,Michael Phillipson,2024-08-03 09:27:20
12768,712932,3,43475908,76,Darryn Kelly (Banks O'Dee) Substitution at 53',Darryn Kelly Substitution,2,3180,53',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,44214.0,Darryn Kelly,2024-08-03 09:27:20
12768,712932,4,43475909,76,Mark Gilmour (Banks O'Dee) Substitution at 53',Mark Gilmour Substitution,2,3180,53',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,139820.0,Mark Gilmour,2024-08-03 09:27:20
12768,712932,3,43475908,76,Darryn Kelly (Banks O'Dee) Substitution at 53',Darryn Kelly Substitution,2,3180,53',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,43705.0,Mark Reynolds,2024-08-03 09:27:20
12768,712932,4,43475909,76,Mark Gilmour (Banks O'Dee) Substitution at 53',Mark Gilmour Substitution,2,3180,53',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,297713.0,Kacper Lewecki,2024-08-03 09:27:20
12768,712932,5,43475922,76,Ellis Clark (Aberdeen B) Substitution at 61',Ellis Clark Substitution,2,3660,61',19302,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,366750.0,Ellis Clark,2024-08-03 09:27:20
12768,712932,5,43475922,76,Ellis Clark (Aberdeen B) Substitution at 61',Ellis Clark Substitution,2,3660,61',19302,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,324735.0,Alfie Bavidge,2024-08-03 09:27:20
12768,712932,6,43475939,94,Iain Vigurs (Banks O'Dee) Yellow Card at 63',Iain Vigurs Yellow Card,2,3780,63',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,42145.0,Iain Vigurs,2024-08-03 09:27:20
12768,712932,7,43475940,76,Scott Milne (Banks O'Dee) Substitution at 64',Scott Milne Substitution,2,3840,64',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,370309.0,Scott Milne,2024-08-03 09:27:20
12768,712932,7,43475940,76,Scott Milne (Banks O'Dee) Substitution at 64',Scott Milne Substitution,2,3840,64',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,42145.0,Iain Vigurs,2024-08-03 09:27:20
12768,712932,8,43475992,76,Alasdair Stark (Banks O'Dee) Substitution at 74',Alasdair Stark Substitution,2,4440,74',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,239260.0,Alasdair Stark,2024-08-03 09:27:20
12768,712932,9,43476022,76,Jason Selbie (Banks O'Dee) Substitution at 74',Jason Selbie Substitution,2,4440,74',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,370302.0,Jason Selbie,2024-08-03 09:27:20
12768,712932,8,43475992,76,Alasdair Stark (Banks O'Dee) Substitution at 74',Alasdair Stark Substitution,2,4440,74',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,249182.0,Lachie Macleod,2024-08-03 09:27:20
12768,712932,9,43476022,76,Jason Selbie (Banks O'Dee) Substitution at 74',Jason Selbie Substitution,2,4440,74',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,275902.0,Luke Emmett,2024-08-03 09:27:20
12768,712932,10,43476023,76,Fraser Mackie (Aberdeen B) Substitution at 78',Fraser Mackie Substitution,2,4680,78',19302,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,366763.0,Fraser Mackie,2024-08-03 09:27:20
12768,712932,10,43476023,76,Fraser Mackie (Aberdeen B) Substitution at 78',Fraser Mackie Substitution,2,4680,78',19302,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,366762.0,Fletcher Boyd,2024-08-03 09:27:20
12768,712932,11,43476086,94,Alfie Stewart (Aberdeen B) Yellow Card at 84',Alfie Stewart Yellow Card,2,5040,84',19302,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,26027.0,Alfie Stewart,2024-08-03 09:27:20
12768,712932,12,43476132,94,Nathan Cooney (Banks O'Dee) Yellow Card at 90',Nathan Cooney Yellow Card,2,5400,90',9980,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,277676.0,Nathan Cooney,2024-08-03 09:27:20
12768,712933,1,43475543,70,Ethan Sutherland (St Mirren B) Goal at 4',Ethan Sutherland Goal,1,240,4',19311,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,345845.0,Ethan Sutherland,2024-08-03 09:27:20
12768,712933,2,43475574,70,Evan Mooney (St Mirren B) Goal at 7',Evan Mooney Goal,1,420,7',19311,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,379450.0,Evan Mooney,2024-08-03 09:27:20
12768,712933,3,43475608,70,Theo Mccormick (St Mirren B) Goal at 12',Theo Mccormick Goal,1,720,12',19311,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388256.0,Theo Mccormick,2024-08-03 09:27:20
12768,712933,4,43475666,94,Lyle Hunter (St Mirren B) Yellow Card at 24',Lyle Hunter Yellow Card,1,1440,24',19311,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388136.0,Lyle Hunter,2024-08-03 09:27:20
12768,712933,5,43475707,76,Cai Mcnamara (Berwick Rangers) Substitution at 29',Cai Mcnamara Substitution,1,1740,29',412,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,359846.0,Cai Mcnamara,2024-08-03 09:27:20
12768,712933,5,43475707,76,Cai Mcnamara (Berwick Rangers) Substitution at 29',Cai Mcnamara Substitution,1,1740,29',412,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,309553.0,Aaron Laidlaw,2024-08-03 09:27:20
12768,712933,6,43475728,70,Cai Mcnamara (Berwick Rangers) Goal at 34',Cai Mcnamara Goal,1,2040,34',412,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,359846.0,Cai Mcnamara,2024-08-03 09:27:20
12768,712933,7,43475761,94,Alfie Robinson (Berwick Rangers) Yellow Card at 38',Alfie Robinson Yellow Card,1,2280,38',412,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,316555.0,Alfie Robinson,2024-08-03 09:27:20
12768,712933,8,43475888,70,Jonathan Devers (Berwick Rangers) Goal at 50',Jonathan Devers Goal,2,3000,50',412,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,266997.0,Jonathan Devers,2024-08-03 09:27:20
12768,712933,9,43475907,94,Liam Buchanan (Berwick Rangers) Yellow Card at 51',Liam Buchanan Yellow Card,2,3060,51',412,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,22132.0,Liam Buchanan,2024-08-03 09:27:20
12768,712933,10,43476021,76,Josh Farquhar (St Mirren B) Substitution at 77',Josh Farquhar Substitution,2,4620,77',19311,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388135.0,Josh Farquhar,2024-08-03 09:27:20
12768,712933,10,43476021,76,Josh Farquhar (St Mirren B) Substitution at 77',Josh Farquhar Substitution,2,4620,77',19311,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388256.0,Theo Mccormick,2024-08-03 09:27:20
12768,712933,11,43476118,94,Ethan Sutherland (St Mirren B) Yellow Card at 88',Ethan Sutherland Yellow Card,2,5280,88',19311,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,345845.0,Ethan Sutherland,2024-08-03 09:27:20
12768,712933,12,43476167,94,Josh Farquhar (St Mirren B) Yellow Card at 93',Josh Farquhar Yellow Card,2,5400,90'+3',19311,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388135.0,Josh Farquhar,2024-08-03 09:27:20
12768,712933,13,43476206,94,Max Mcginley (Berwick Rangers) Yellow Card at 94',Max Mcginley Yellow Card,2,5400,90'+4',412,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,362471.0,Max Mcginley,2024-08-03 09:27:20
12768,712934,1,43479829,94,Aaron Essel (St. Johnstone B) Yellow Card at 16',Aaron Essel Yellow Card,1,960,16',19301,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,341628.0,Aaron Essel,2024-08-03 09:27:20
12768,712934,2,43479939,70,Dayle Robertson (Brechin City) Goal at 28',Dayle Robertson Goal,1,1680,28',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,229806.0,Dayle Robertson,2024-08-03 09:27:20
12768,712934,3,43479968,94,Dayle Robertson (Brechin City) Yellow Card at 34',Dayle Robertson Yellow Card,1,2040,34',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,229806.0,Dayle Robertson,2024-08-03 09:27:20
12768,712934,4,43479978,94,John Moreland (Brechin City) Yellow Card at 35',John Moreland Yellow Card,1,2100,35',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,324545.0,John Moreland,2024-08-03 09:27:20
12768,712934,5,43479979,94,Seth Patrick (Brechin City) Yellow Card at 36',Seth Patrick Yellow Card,1,2160,36',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,345982.0,Seth Patrick,2024-08-03 09:27:20
12768,712934,6,43480152,70,Aaron Essel (St. Johnstone B) Goal at 50',Aaron Essel Goal,2,3000,50',19301,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,341628.0,Aaron Essel,2024-08-03 09:27:20
12768,712934,7,43480168,94,Mark Scott (Brechin City) Yellow Card at 51',Mark Scott Yellow Card,2,3060,51',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,241095.0,Mark Scott,2024-08-03 09:27:20
12768,712934,8,43480184,76,Ewan Loudon (Brechin City) Substitution at 63',Ewan Loudon Substitution,2,3780,63',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,324917.0,Ewan Loudon,2024-08-03 09:27:20
12768,712934,8,43480184,76,Ewan Loudon (Brechin City) Substitution at 63',Ewan Loudon Substitution,2,3780,63',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,382827.0,Craig Tosh,2024-08-03 09:27:20
12768,712934,9,43480242,94,Scott Logan (Brechin City) Yellow Card at 73',Scott Logan Yellow Card,2,4380,73',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,22029.0,Scott Logan,2024-08-03 09:27:20
12768,712934,10,43480251,76,Jackson Mylchreest (St. Johnstone B) Substitution at 75',Jackson Mylchreest Substitution,2,4500,75',19301,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,347007.0,Jackson Mylchreest,2024-08-03 09:27:20
12768,712934,10,43480251,76,Jackson Mylchreest (St. Johnstone B) Substitution at 75',Jackson Mylchreest Substitution,2,4500,75',19301,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,225203.0,Taylor Steven,2024-08-03 09:27:20
12768,712934,11,43480252,76,Ruari Henry (Brechin City) Substitution at 76',Ruari Henry Substitution,2,4560,76',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,388195.0,Ruari Henry,2024-08-03 09:27:20
12768,712934,12,43480253,76,Fraser Macleod (Brechin City) Substitution at 76',Fraser Macleod Substitution,2,4560,76',413,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,260041.0,Fraser Macleod,2024-08-03 09:27:20
