seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
12213,723178,1,44185786,70,Evan Lee (Greenville Triumph) Goal at 8',Evan Lee Goal,1,480,8',19964,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,236639.0,Evan Lee,2025-04-05 08:41:37
12213,723178,2,44186109,94,Louis Herrera (Greenville Triumph) Yellow Card at 31',Louis Herrera Yellow Card,1,1860,31',19964,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,286732.0,Louis Herrera,2025-04-05 08:41:37
12213,723178,3,44186252,70,Josué Gómez (Union Omaha) Goal at 42',Josué Gómez Goal,1,2520,42',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,240151.0,Josué Gómez,2025-04-05 08:41:37
12213,723178,4,44186582,70,Zeiko Lewis (Union Omaha) Goal at 58',Zeiko Lewis Goal,2,3480,58',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,166087.0,Zeiko Lewis,2025-04-05 08:41:37
12213,723178,5,44186622,76,Sebastián Velásquez (Greenville Triumph) Substitution at 61',Sebastián Velásquez Substitution,2,3660,61',19964,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,171799.0,Sebastián Velásquez,2025-04-05 08:41:37
12213,723178,5,44186622,76,Sebastián Velásquez (Greenville Triumph) Substitution at 61',Sebastián Velásquez Substitution,2,3660,61',19964,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,296225.0,Daniel Wu,2025-04-05 08:41:37
12213,723178,6,44186681,94,Joe Gallardo (Union Omaha) Yellow Card at 63',Joe Gallardo Yellow Card,2,3780,63',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,128060.0,Joe Gallardo,2025-04-05 08:41:37
12213,723178,7,44186682,76,Brandon Knapp (Union Omaha) Substitution at 63',Brandon Knapp Substitution,2,3780,63',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,294056.0,Brandon Knapp,2025-04-05 08:41:37
12213,723178,7,44186682,76,Brandon Knapp (Union Omaha) Substitution at 63',Brandon Knapp Substitution,2,3780,63',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,166087.0,Zeiko Lewis,2025-04-05 08:41:37
12213,723178,8,44186822,76,Missael Rodriguez (Union Omaha) Substitution at 73',Missael Rodriguez Substitution,2,4380,73',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,329628.0,Missael Rodriguez,2025-04-05 08:41:37
12213,723178,8,44186822,76,Missael Rodriguez (Union Omaha) Substitution at 73',Missael Rodriguez Substitution,2,4380,73',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,256615.0,Lagos Kunga,2025-04-05 08:41:37
12213,723178,9,44186823,76,Ben Zakowski (Greenville Triumph) Substitution at 74',Ben Zakowski Substitution,2,4440,74',19964,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,381433.0,Ben Zakowski,2025-04-05 08:41:37
12213,723178,9,44186823,76,Ben Zakowski (Greenville Triumph) Substitution at 74',Ben Zakowski Substitution,2,4440,74',19964,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,338829.0,Jamie Smith,2025-04-05 08:41:37
12213,723178,10,44187007,76,Rodrigo Robles (Greenville Triumph) Substitution at 88',Rodrigo Robles Substitution,2,5280,88',19964,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,324971.0,Rodrigo Robles,2025-04-05 08:41:37
12213,723178,10,44187007,76,Rodrigo Robles (Greenville Triumph) Substitution at 88',Rodrigo Robles Substitution,2,5280,88',19964,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,171649.0,Tyler Polak,2025-04-05 08:41:37
12213,723178,11,44187058,94,Max Schneider (Union Omaha) Yellow Card at 92',Max Schneider Yellow Card,2,5400,90'+2',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,316480.0,Max Schneider,2025-04-05 08:41:37
12213,723178,12,44187092,76,Anderson Holt (Union Omaha) Substitution at 97',Anderson Holt Substitution,2,5400,90'+7',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,360908.0,Anderson Holt,2025-04-05 08:41:37
12213,723178,12,44187092,76,Anderson Holt (Union Omaha) Substitution at 97',Anderson Holt Substitution,2,5400,90'+7',20684,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,240151.0,Josué Gómez,2025-04-05 08:41:37
12215,691215,1,43408213,70,Joel Johnson Alajarin (Charlotte Independence) Goal at 37',Joel Johnson Alajarin Goal,1,2220,37',17826,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,145151.0,Joel Johnson Alajarin,2024-10-14 07:04:32
12215,691215,2,43408238,94,Leo Folla (Chattanooga Red Wolves) Yellow Card at 42',Leo Folla Yellow Card,1,2520,42',20000,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,287952.0,Leo Folla,2024-10-14 07:04:32
12215,691215,3,43408447,94,Luis Alvarez (Charlotte Independence) Yellow Card at 53',Luis Alvarez Yellow Card,2,3180,53',17826,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,360318.0,Luis Alvarez,2024-10-14 07:04:32
12215,691215,4,43408456,97,Leo Folla (Chattanooga Red Wolves) Own Goal at 55',Leo Folla Own Goal,2,3300,55',17826,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,Leo Folla,2024-10-14 07:04:32
12215,691215,5,43408471,94,Omar Gómez (Chattanooga Red Wolves) Yellow Card at 58',Omar Gómez Yellow Card,2,3480,58',20000,0,0,1980-01-01,0.0,0.0,0.0,0.0,0.0,0.0,3400.0,Omar Gómez,2024-10-14 07:04:32
