seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13667,756464,1,45904051,94,Tom Aldred (Mohun Bagan Super Giant) Yellow Card at 46',Tom Aldred Yellow Card,1,2700,45'+1',20774,0,0,2025-09-16 14:31:34,0.0,0.0,0.0,0.0,0.0,0.0,129654.0,Tom Aldred,2025-09-17 05:15:49
13667,756464,2,45904052,76,Jamie Maclaren (Mohun Bagan Super Giant) Substitution at 58',Jamie Maclaren Substitution,2,3480,58',20774,0,0,2025-09-16 15:01:46,0.0,0.0,0.0,0.0,0.0,0.0,187777.0,Jamie Maclaren,2025-09-17 05:15:49
13667,756464,3,45904053,76,Anirudh Thapa (Mohun Bagan Super Giant) Substitution at 58',Anirudh Thapa Substitution,2,3480,58',20774,0,0,2025-09-16 15:01:55,0.0,0.0,0.0,0.0,0.0,0.0,246791.0,Anirudh Thapa,2025-09-17 05:15:49
13667,756464,2,45904052,76,Jamie Maclaren (Mohun Bagan Super Giant) Substitution at 58',Jamie Maclaren Substitution,2,3480,58',20774,0,0,2025-09-16 15:01:46,0.0,0.0,0.0,0.0,0.0,0.0,299738.0,Kiyan Nassiri,2025-09-17 05:15:49
13667,756464,3,45904053,76,Anirudh Thapa (Mohun Bagan Super Giant) Substitution at 58',Anirudh Thapa Substitution,2,3480,58',20774,0,0,2025-09-16 15:01:55,0.0,0.0,0.0,0.0,0.0,0.0,268566.0,Deepak Tangri,2025-09-17 05:15:49
13667,756464,4,45904054,76,Dovran Hojamammedov (Ahal) Substitution at 62',Dovran Hojamammedov Substitution,2,3720,62',21010,0,0,2025-09-16 15:05:58,0.0,0.0,0.0,0.0,0.0,0.0,339785.0,Dovran Hojamammedov,2025-09-17 05:15:49
13667,756464,4,45904054,76,Dovran Hojamammedov (Ahal) Substitution at 62',Dovran Hojamammedov Substitution,2,3720,62',21010,0,0,2025-09-16 15:05:58,0.0,0.0,0.0,0.0,0.0,0.0,321800.0,Gurban Annayev,2025-09-17 05:15:49
13667,756464,5,45904057,94,Nazar Tovakelov (Ahal) Yellow Card at 70',Nazar Tovakelov Yellow Card,2,4200,70',21010,0,0,2025-09-16 15:14:07,0.0,0.0,0.0,0.0,0.0,0.0,409433.0,Nazar Tovakelov,2025-09-17 05:15:49
13667,756464,6,45904058,76,Robson (Mohun Bagan Super Giant) Substitution at 73',Robson Substitution,2,4380,73',20774,0,0,2025-09-16 15:16:27,0.0,0.0,0.0,0.0,0.0,0.0,252603.0,Robson,2025-09-18 05:12:45
13667,756464,7,45904059,76,Subashish Bose (Mohun Bagan Super Giant) Substitution at 73',Subashish Bose Substitution,2,4380,73',20774,0,0,2025-09-16 15:16:34,0.0,0.0,0.0,0.0,0.0,0.0,268007.0,Subashish Bose,2025-09-17 05:15:49
13667,756464,6,45904058,76,Robson (Mohun Bagan Super Giant) Substitution at 73',Robson Substitution,2,4380,73',20774,0,0,2025-09-16 15:16:27,0.0,0.0,0.0,0.0,0.0,0.0,268041.0,Liston Colaco,2025-09-18 05:12:45
13667,756464,7,45904059,76,Subashish Bose (Mohun Bagan Super Giant) Substitution at 73',Subashish Bose Substitution,2,4380,73',20774,0,0,2025-09-16 15:16:34,0.0,0.0,0.0,0.0,0.0,0.0,354634.0,Tekcham Singh,2025-09-17 05:15:49
13667,756464,8,45904060,76,Enver Annayev (Ahal) Substitution at 79',Enver Annayev Substitution,2,4740,79',21010,0,0,2025-09-16 15:23:06,0.0,0.0,0.0,0.0,0.0,0.0,409434.0,Enver Annayev,2025-09-17 05:15:49
13667,756464,9,45904061,76,Bäsim Gurbanberdi&#775;Yew (Ahal) Substitution at 79',Bäsim Gurbanberdi&#775;Yew Subst,2,4740,79',21010,0,0,2025-09-16 15:23:12,0.0,0.0,0.0,0.0,0.0,0.0,410779.0,Bäsim Gurbanberdi&#775;Yew,2025-09-17 05:15:49
13667,756464,8,45904060,76,Enver Annayev (Ahal) Substitution at 79',Enver Annayev Substitution,2,4740,79',21010,0,0,2025-09-16 15:23:06,0.0,0.0,0.0,0.0,0.0,0.0,410783.0,Magtymberdi Berenow,2025-09-17 05:15:49
13667,756464,9,45904061,76,Bäsim Gurbanberdi&#775;Yew (Ahal) Substitution at 79',Bäsim Gurbanberdi&#775;Yew Subst,2,4740,79',21010,0,0,2025-09-16 15:23:12,0.0,0.0,0.0,0.0,0.0,0.0,370124.0,Alibek Abdurakhmanov,2025-09-17 05:15:49
13667,756464,10,45904062,70,Enver Annayev (Ahal) Goal at 83',Enver Annayev Goal,2,4980,83',21010,0,0,2025-09-16 15:26:50,0.0,0.0,0.0,0.0,0.0,0.0,409434.0,Enver Annayev,2025-09-17 05:15:49
13667,756464,11,45904066,76,Salim Umarov (Ahal) Substitution at 93',Salim Umarov Substitution,2,5400,90'+3',21010,0,0,2025-09-16 15:37:19,0.0,0.0,0.0,0.0,0.0,0.0,371860.0,Salim Umarov,2025-09-17 05:15:49
13667,756464,12,45904067,76,Beglimuhammet Bekmyradov (Ahal) Substitution at 94',Beglimuhammet Bekmyradov Substit,2,5400,90'+4',21010,0,0,2025-09-16 15:37:33,0.0,0.0,0.0,0.0,0.0,0.0,372219.0,Beglimuhammet Bekmyradov,2025-09-17 05:15:49
13667,756464,11,45904066,76,Salim Umarov (Ahal) Substitution at 93',Salim Umarov Substitution,2,5400,90'+3',21010,0,0,2025-09-16 15:37:19,0.0,0.0,0.0,0.0,0.0,0.0,409433.0,Nazar Tovakelov,2025-09-17 05:15:49
13667,756464,12,45904067,76,Beglimuhammet Bekmyradov (Ahal) Substitution at 94',Beglimuhammet Bekmyradov Substit,2,5400,90'+4',21010,0,0,2025-09-16 15:37:33,0.0,0.0,0.0,0.0,0.0,0.0,244632.0,Elman Tagayev,2025-09-17 05:15:49
