seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13564,748524,1,45655780,93,Selu Diallo (Cultural Leonesa) Red Card at 1',Selu Diallo Red Card,1,60,1',10629,0,0,2025-08-15 19:30:08,0.0,0.0,0.0,0.0,0.0,0.0,367996.0,Selu Diallo,2025-08-16 04:53:53
13564,748524,2,45655789,98,Curro (Burgos) Penalty - Scored at 3',Curro Penalty - Scored,1,180,3',12597,0,0,2025-08-15 19:31:54,0.0,0.0,0.0,0.0,0.0,0.0,231344.0,Curro,2025-08-16 04:53:53
13564,748524,3,45656076,94,Juan Larios (Cultural Leonesa) Yellow Card at 9',Juan Larios Yellow Card,1,540,9',10629,0,0,2025-08-15 19:37:58,0.0,0.0,0.0,0.0,0.0,0.0,325545.0,Juan Larios,2025-08-16 04:53:53
13564,748524,4,45656334,70,Fernando Niño (Burgos) Goal at 18',Fernando Niño Goal,1,1080,18',12597,0,0,2025-08-15 19:46:45,0.0,0.0,0.0,0.0,0.0,0.0,301684.0,Fernando Niño,2025-08-17 04:58:02
13564,748524,5,45656473,76,Bicho (Cultural Leonesa) Substitution at 25',Bicho Substitution,1,1500,25',10629,0,0,2025-08-15 19:53:49,0.0,0.0,0.0,0.0,0.0,0.0,192551.0,Bicho,2025-08-16 04:53:53
13564,748524,5,45656473,76,Bicho (Cultural Leonesa) Substitution at 25',Bicho Substitution,1,1500,25',10629,0,0,2025-08-15 19:53:49,0.0,0.0,0.0,0.0,0.0,0.0,204883.0,Pibe,2025-08-16 04:53:53
13564,748524,6,45656534,94,Fernando Niño (Burgos) Yellow Card at 31',Fernando Niño Yellow Card,1,1860,31',12597,0,0,2025-08-15 19:59:29,0.0,0.0,0.0,0.0,0.0,0.0,301684.0,Fernando Niño,2025-08-16 04:53:53
13564,748524,7,45656687,70,Curro (Burgos) Goal at 42',Curro Goal,1,2520,42',12597,0,0,2025-08-15 20:11:04,0.0,0.0,0.0,0.0,0.0,0.0,231344.0,Curro,2025-08-17 04:58:02
13564,748524,8,45657097,97,Aitor Córdoba (Burgos) Own Goal at 50',Aitor Córdoba Own Goal,2,3000,50',10629,0,0,2025-08-15 20:40:42,0.0,0.0,0.0,0.0,0.0,0.0,,Aitor Córdoba,2025-08-16 04:53:53
13564,748524,9,45657460,76,Kevin Appin (Burgos) Substitution at 64',Kevin Appin Substitution,2,3840,64',12597,0,0,2025-08-15 20:54:27,0.0,0.0,0.0,0.0,0.0,0.0,276262.0,Kevin Appin,2025-08-17 04:58:02
13564,748524,10,45657489,76,Iván Chapela (Burgos) Substitution at 64',Iván Chapela Substitution,2,3840,64',12597,0,0,2025-08-15 20:54:35,0.0,0.0,0.0,0.0,0.0,0.0,324482.0,Iván Chapela,2025-08-16 04:53:53
13564,748524,9,45657460,76,Kevin Appin (Burgos) Substitution at 64',Kevin Appin Substitution,2,3840,64',12597,0,0,2025-08-15 20:54:27,0.0,0.0,0.0,0.0,0.0,0.0,227414.0,Iñigo Córdoba,2025-08-17 04:58:02
13564,748524,10,45657489,76,Iván Chapela (Burgos) Substitution at 64',Iván Chapela Substitution,2,3840,64',12597,0,0,2025-08-15 20:54:35,0.0,0.0,0.0,0.0,0.0,0.0,231344.0,Curro,2025-08-16 04:53:53
13564,748524,11,45657530,76,Diego Collado (Cultural Leonesa) Substitution at 72',Diego Collado Substitution,2,4320,72',10629,0,0,2025-08-15 21:02:28,0.0,0.0,0.0,0.0,0.0,0.0,343632.0,Diego Collado,2025-08-16 04:53:53
13564,748524,12,45657531,76,Manu Justo (Cultural Leonesa) Substitution at 72',Manu Justo Substitution,2,4320,72',10629,0,0,2025-08-15 21:02:37,0.0,0.0,0.0,0.0,0.0,0.0,290407.0,Manu Justo,2025-08-16 04:53:53
13564,748524,11,45657530,76,Diego Collado (Cultural Leonesa) Substitution at 72',Diego Collado Substitution,2,4320,72',10629,0,0,2025-08-15 21:02:28,0.0,0.0,0.0,0.0,0.0,0.0,289119.0,Rafael Tresaco,2025-08-16 04:53:53
13564,748524,12,45657531,76,Manu Justo (Cultural Leonesa) Substitution at 72',Manu Justo Substitution,2,4320,72',10629,0,0,2025-08-15 21:02:37,0.0,0.0,0.0,0.0,0.0,0.0,320728.0,Daniel Paraschiv,2025-08-16 04:53:53
13564,748524,13,45657672,98,David González (Burgos) Penalty - Scored at 74',David González Penalty - Scored,2,4440,74',12597,0,0,2025-08-15 21:04:58,0.0,0.0,0.0,0.0,0.0,0.0,346404.0,David González,2025-08-16 04:53:53
13564,748524,14,45657721,76,Mateo Mejia (Burgos) Substitution at 81',Mateo Mejia Substitution,2,4860,81',12597,0,0,2025-08-15 21:11:54,0.0,0.0,0.0,0.0,0.0,0.0,325552.0,Mateo Mejia,2025-08-17 04:58:02
13564,748524,15,45657722,76,Álex Lizancos (Burgos) Substitution at 81',Álex Lizancos Substitution,2,4860,81',12597,0,0,2025-08-15 21:11:52,0.0,0.0,0.0,0.0,0.0,0.0,375963.0,Álex Lizancos,2025-08-16 04:53:53
13564,748524,14,45657721,76,Mateo Mejia (Burgos) Substitution at 81',Mateo Mejia Substitution,2,4860,81',12597,0,0,2025-08-15 21:11:54,0.0,0.0,0.0,0.0,0.0,0.0,301684.0,Fernando Niño,2025-08-17 04:58:02
13564,748524,15,45657722,76,Álex Lizancos (Burgos) Substitution at 81',Álex Lizancos Substitution,2,4860,81',12597,0,0,2025-08-15 21:11:52,0.0,0.0,0.0,0.0,0.0,0.0,233278.0,Anderson Arroyo,2025-08-16 04:53:53
13564,748524,16,45657728,70,Mateo Mejia (Burgos) Goal at 83',Mateo Mejia Goal,2,4980,83',12597,0,0,2025-08-15 21:13:31,0.0,0.0,0.0,0.0,0.0,0.0,325552.0,Mateo Mejia,2025-08-17 04:58:02
13564,748524,17,45657746,76,Guzmán Ortega (Cultural Leonesa) Substitution at 84',Guzmán Ortega Substitution,2,5040,84',10629,0,0,2025-08-15 21:14:33,0.0,0.0,0.0,0.0,0.0,0.0,393785.0,Guzmán Ortega,2025-08-16 04:53:53
13564,748524,18,45657747,76,Rodrigo Suárez (Cultural Leonesa) Substitution at 84',Rodrigo Suárez Substitution,2,5040,84',10629,0,0,2025-08-15 21:14:28,0.0,0.0,0.0,0.0,0.0,0.0,140371.0,Rodrigo Suárez,2025-08-16 04:53:53
13564,748524,17,45657746,76,Guzmán Ortega (Cultural Leonesa) Substitution at 84',Guzmán Ortega Substitution,2,5040,84',10629,0,0,2025-08-15 21:14:33,0.0,0.0,0.0,0.0,0.0,0.0,325545.0,Juan Larios,2025-08-16 04:53:53
13564,748524,18,45657747,76,Rodrigo Suárez (Cultural Leonesa) Substitution at 84',Rodrigo Suárez Substitution,2,5040,84',10629,0,0,2025-08-15 21:14:28,0.0,0.0,0.0,0.0,0.0,0.0,168469.0,Eneko Satrustegui,2025-08-16 04:53:53
13564,748524,19,45657753,76,Mario Cantero (Burgos) Substitution at 86',Mario Cantero Substitution,2,5160,86',12597,0,0,2025-08-15 21:16:49,0.0,0.0,0.0,0.0,0.0,0.0,395588.0,Mario Cantero,2025-08-16 04:53:53
13564,748524,19,45657753,76,Mario Cantero (Burgos) Substitution at 86',Mario Cantero Substitution,2,5160,86',12597,0,0,2025-08-15 21:16:49,0.0,0.0,0.0,0.0,0.0,0.0,346404.0,David González,2025-08-16 04:53:53
13564,748525,1,45690203,93,Iker Córdoba (Mirandés) Red Card at 1',Iker Córdoba Red Card,1,60,1',4515,0,0,2025-08-17 17:33:05,0.0,0.0,0.0,0.0,0.0,0.0,388076.0,Iker Córdoba,2025-08-18 04:54:34
13564,748525,2,45690680,70,García Pascual (Cádiz) Goal at 20',García Pascual Goal,1,1200,20',3842,0,0,2025-08-17 17:52:39,0.0,0.0,0.0,0.0,0.0,0.0,397997.0,García Pascual,2025-08-18 04:54:34
13564,748525,3,45691637,76,Brian Ocampo (Cádiz) Substitution at 67',Brian Ocampo Substitution,2,4020,67',3842,0,0,2025-08-17 18:59:53,0.0,0.0,0.0,0.0,0.0,0.0,276058.0,Brian Ocampo,2025-08-18 04:54:34
13564,748525,3,45691637,76,Brian Ocampo (Cádiz) Substitution at 67',Brian Ocampo Substitution,2,4020,67',3842,0,0,2025-08-17 18:59:53,0.0,0.0,0.0,0.0,0.0,0.0,230894.0,Javi Ontiveros,2025-08-18 04:54:34
13564,748525,4,45691674,94,Ismael Barea (Mirandés) Yellow Card at 69',Ismael Barea Yellow Card,2,4140,69',4515,0,0,2025-08-17 19:02:01,0.0,0.0,0.0,0.0,0.0,0.0,408320.0,Ismael Barea,2025-08-19 04:57:04
13564,748525,5,45691698,94,Juan Gutiérrez (Mirandés) Yellow Card at 69',Juan Gutiérrez Yellow Card,2,4140,69',4515,0,0,2025-08-17 19:02:49,0.0,0.0,0.0,0.0,0.0,0.0,347358.0,Juan Gutiérrez,2025-08-19 04:57:04
13564,748525,6,45691675,94,García Pascual (Cádiz) Yellow Card at 70',García Pascual Yellow Card,2,4200,70',3842,0,0,2025-08-17 19:02:51,0.0,0.0,0.0,0.0,0.0,0.0,397997.0,García Pascual,2025-08-19 04:57:04
13564,748525,7,45691812,76,Roger Martí (Cádiz) Substitution at 80',Roger Martí Substitution,2,4800,80',3842,0,0,2025-08-17 19:13:30,0.0,0.0,0.0,0.0,0.0,0.0,169533.0,Roger Martí,2025-08-18 04:54:34
13564,748525,8,45691819,76,Álex Fernández (Cádiz) Substitution at 80',Álex Fernández Substitution,2,4800,80',3842,0,0,2025-08-17 19:13:49,0.0,0.0,0.0,0.0,0.0,0.0,153685.0,Álex Fernández,2025-08-18 04:54:34
13564,748525,7,45691812,76,Roger Martí (Cádiz) Substitution at 80',Roger Martí Substitution,2,4800,80',3842,0,0,2025-08-17 19:13:30,0.0,0.0,0.0,0.0,0.0,0.0,397997.0,García Pascual,2025-08-18 04:54:34
13564,748525,8,45691819,76,Álex Fernández (Cádiz) Substitution at 80',Álex Fernández Substitution,2,4800,80',3842,0,0,2025-08-17 19:13:49,0.0,0.0,0.0,0.0,0.0,0.0,164800.0,Suso,2025-08-18 04:54:34
13564,748525,9,45692023,76,Isaac Obeng (Cádiz) Substitution at 92',Isaac Obeng Substitution,2,5400,90'+2',3842,0,0,2025-08-17 19:25:26,0.0,0.0,0.0,0.0,0.0,0.0,406397.0,Isaac Obeng,2025-08-19 04:57:04
13564,748525,10,45692065,94,Mario Climent (Cádiz) Yellow Card at 93',Mario Climent Yellow Card,2,5400,90'+3',3842,0,0,2025-08-17 19:26:22,0.0,0.0,0.0,0.0,0.0,0.0,354651.0,Mario Climent,2025-08-18 04:54:34
13564,748525,11,45692090,94,Youssouf Diarra (Cádiz) Yellow Card at 95',Youssouf Diarra Yellow Card,2,5400,90'+5',3842,0,0,2025-08-17 19:28:05,0.0,0.0,0.0,0.0,0.0,0.0,354360.0,Youssouf Diarra,2025-08-18 04:54:34
13564,748525,9,45692023,76,Isaac Obeng (Cádiz) Substitution at 92',Isaac Obeng Substitution,2,5400,90'+2',3842,0,0,2025-08-17 19:25:26,0.0,0.0,0.0,0.0,0.0,0.0,362125.0,José Antonio De La Rosa,2025-08-19 04:57:04
13564,748526,1,45701478,70,Jacobo González (Córdoba) Goal at 18',Jacobo González Goal,1,1080,18',8447,0,0,2025-08-18 17:20:19,0.0,0.0,0.0,0.0,0.0,0.0,242382.0,Jacobo González,2025-08-19 04:57:04
13564,748526,2,45701624,70,César Gelabert (Sporting Gijón) Goal at 30',César Gelabert Goal,1,1800,30',3788,0,0,2025-08-18 17:32:29,0.0,0.0,0.0,0.0,0.0,0.0,265991.0,César Gelabert,2025-08-19 04:57:04
13564,748526,3,45702051,76,Álex Martín (Córdoba) Substitution at 45',Álex Martín Substitution,2,2700,45',8447,0,0,2025-08-18 18:05:34,0.0,0.0,0.0,0.0,0.0,0.0,289625.0,Álex Martín,2025-08-19 04:57:04
13564,748526,3,45702051,76,Álex Martín (Córdoba) Substitution at 45',Álex Martín Substitution,2,2700,45',8447,0,0,2025-08-18 18:05:34,0.0,0.0,0.0,0.0,0.0,0.0,240592.0,Rubén González,2025-08-19 04:57:04
13564,748526,4,45702165,76,Diego Sanchez (Sporting Gijón) Substitution at 60',Diego Sanchez Substitution,2,3600,60',3788,0,0,2025-08-18 18:20:33,0.0,0.0,0.0,0.0,0.0,0.0,341498.0,Diego Sanchez,2025-08-19 04:57:04
13564,748526,5,45702179,76,Gaspar Campos (Sporting Gijón) Substitution at 60',Gaspar Campos Substitution,2,3600,60',3788,0,0,2025-08-18 18:20:39,0.0,0.0,0.0,0.0,0.0,0.0,303829.0,Gaspar Campos,2025-08-19 04:57:04
13564,748526,4,45702165,76,Diego Sanchez (Sporting Gijón) Substitution at 60',Diego Sanchez Substitution,2,3600,60',3788,0,0,2025-08-18 18:20:33,0.0,0.0,0.0,0.0,0.0,0.0,46803.0,Pablo García,2025-08-19 04:57:04
13564,748526,5,45702179,76,Gaspar Campos (Sporting Gijón) Substitution at 60',Gaspar Campos Substitution,2,3600,60',3788,0,0,2025-08-18 18:20:39,0.0,0.0,0.0,0.0,0.0,0.0,330754.0,Daniel Queipo,2025-08-19 04:57:04
13564,748526,6,45702180,94,Sergi Guardiola (Córdoba) Yellow Card at 61',Sergi Guardiola Yellow Card,2,3660,61',8447,0,0,2025-08-18 18:21:24,0.0,0.0,0.0,0.0,0.0,0.0,222360.0,Sergi Guardiola,2025-08-19 04:57:04
