seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13427,736598,1,46353928,94,Samantha Ruiz (Mexico U17) Yellow Card at 20',Samantha Ruiz Yellow Card,1,1200,20',21568,0,0,2025-11-08 15:50:39,0.0,0.0,0.0,0.0,0.0,0.0,405050.0,Samantha Ruiz,2025-11-09 15:07:06
13427,736598,2,46355730,94,Julia Pereira  (Brazil U17) Yellow Card at 50',Julia Pereira  Yellow Card,2,3000,50',21561,0,0,2025-11-08 16:39:14,0.0,0.0,0.0,0.0,0.0,0.0,405038.0,Julia Pereira,2025-11-09 15:07:06
13427,736598,3,46356146,76,Ravenna  (Brazil U17) Substitution at 61',Ravenna  Substitution,2,3660,61',21561,0,0,2025-11-08 16:49:58,0.0,0.0,0.0,0.0,0.0,0.0,405158.0,Ravenna,2025-11-09 15:07:06
13427,736598,3,46356146,76,Ravenna  (Brazil U17) Substitution at 61',Ravenna  Substitution,2,3660,61',21561,0,0,2025-11-08 16:49:58,0.0,0.0,0.0,0.0,0.0,0.0,388048.0,Mariane,2025-11-09 15:07:06
13427,736598,4,46356293,76,Dafne Sánchez (Mexico U17) Substitution at 65',Dafne Sánchez Substitution,2,3900,65',21568,0,0,2025-11-08 16:54:45,0.0,0.0,0.0,0.0,0.0,0.0,386660.0,Dafne Sánchez,2025-11-09 15:07:06
13427,736598,5,46356329,76,Fernanda Monroy (Mexico U17) Substitution at 65',Fernanda Monroy Substitution,2,3900,65',21568,0,0,2025-11-08 16:54:52,0.0,0.0,0.0,0.0,0.0,0.0,405048.0,Fernanda Monroy,2025-11-09 15:07:06
13427,736598,4,46356293,76,Dafne Sánchez (Mexico U17) Substitution at 65',Dafne Sánchez Substitution,2,3900,65',21568,0,0,2025-11-08 16:54:45,0.0,0.0,0.0,0.0,0.0,0.0,405050.0,Samantha Ruiz,2025-11-09 15:07:06
13427,736598,5,46356329,76,Fernanda Monroy (Mexico U17) Substitution at 65',Fernanda Monroy Substitution,2,3900,65',21568,0,0,2025-11-08 16:54:52,0.0,0.0,0.0,0.0,0.0,0.0,405120.0,Joselyn Solís,2025-11-09 15:07:06
13427,736598,6,46356367,76,Gabi Pusch  (Brazil U17) Substitution at 68',Gabi Pusch  Substitution,2,4080,68',21561,0,0,2025-11-08 16:57:09,0.0,0.0,0.0,0.0,0.0,0.0,405037.0,Gabi Pusch,2025-11-09 15:07:06
13427,736598,6,46356367,76,Gabi Pusch  (Brazil U17) Substitution at 68',Gabi Pusch  Substitution,2,4080,68',21561,0,0,2025-11-08 16:57:09,0.0,0.0,0.0,0.0,0.0,0.0,405157.0,Pepê,2025-11-09 15:07:06
13427,736598,7,46356556,70,Kaylane  (Brazil U17) Goal at 78',Kaylane  Goal,2,4680,78',21561,0,0,2025-11-08 17:07:47,0.0,0.0,0.0,0.0,0.0,0.0,386700.0,Kaylane,2025-11-09 15:07:06
13427,736598,8,46356701,76,Laila Avila (Mexico U17) Substitution at 91',Laila Avila Substitution,2,5400,90'+1',21568,0,0,2025-11-08 17:20:38,0.0,0.0,0.0,0.0,0.0,0.0,410587.0,Laila Avila,2025-11-09 15:07:06
