seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13547,746718,1,45724042,135,Attempt blocked. Michael Olise (FC Bayern München) right footed shot from the right side of the box is blocked. Assisted by Serge Gnabry.,Michael Olise Shot Blocked,1,190,4',132,0,0,2025-08-22 18:34:56,0.0,0.0,0.118,0.753,0.1,0.718,286831.0,Michael Olise,2025-08-24 04:57:23
13547,746718,1,45724042,135,Attempt blocked. Michael Olise (FC Bayern München) right footed shot from the right side of the box is blocked. Assisted by Serge Gnabry.,Michael Olise Shot Blocked,1,190,4',132,0,0,2025-08-22 18:34:56,0.0,0.0,0.118,0.753,0.1,0.718,178980.0,Serge Gnabry,2025-08-24 04:57:23
13547,746718,2,45724040,95,"Corner, FC Bayern München. Conceded by Castello Lukeba.",Michael Olise Corner Kick,1,191,4',132,0,0,2025-08-22 18:34:56,0.0,0.0,0.116,0.717,0.0,0.0,286831.0,Michael Olise,2025-08-23 05:02:21
13547,746718,3,45724044,66,Loïs Openda (RB Leipzig) wins a free kick in the defensive half.,Michael Olise Foul,1,229,4',132,0,0,2025-08-22 18:35:35,0.0,0.0,0.256,0.912,0.0,0.0,286831.0,Michael Olise,2025-08-24 04:57:23
13547,746718,3,45724044,66,Loïs Openda (RB Leipzig) wins a free kick in the defensive half.,Michael Olise Foul,1,229,4',132,0,0,2025-08-22 18:35:35,0.0,0.0,0.256,0.912,0.0,0.0,,Loïs Openda,2025-08-24 04:57:23
13547,746718,4,45724046,66,Leon Goretzka (FC Bayern München) wins a free kick in the defensive half.,Yan Diomande Foul,1,272,5',11420,0,0,2025-08-22 18:36:17,0.0,0.0,0.176,0.32,0.0,0.0,402479.0,Yan Diomande,2025-08-23 05:02:21
13547,746718,4,45724046,66,Leon Goretzka (FC Bayern München) wins a free kick in the defensive half.,Yan Diomande Foul,1,272,5',11420,0,0,2025-08-22 18:36:17,0.0,0.0,0.176,0.32,0.0,0.0,,Leon Goretzka,2025-08-23 05:02:21
13547,746718,5,45724075,68,"Offside, FC Bayern München. Serge Gnabry is caught offside.",Leon Goretzka Offside,1,561,10',132,0,0,2025-08-22 18:41:07,0.0,0.0,0.502,0.515,0.2,0.654,174550.0,Leon Goretzka,2025-08-24 04:57:23
13547,746718,6,45724093,106,Attempt saved. Konrad Laimer (FC Bayern München) right footed shot from the right side of the box is saved in the centre of the goal by Péter Gulácsi (RB Leipzig). Assisted by Harry Kane.,Konrad Laimer Shot On Target,1,619,11',132,0,0,2025-08-22 18:42:04,0.0,0.0,0.166,0.652,0.02,0.518,169189.0,Konrad Laimer,2025-08-24 04:57:23
13547,746718,6,45724093,106,Attempt saved. Konrad Laimer (FC Bayern München) right footed shot from the right side of the box is saved in the centre of the goal by Péter Gulácsi (RB Leipzig). Assisted by Harry Kane.,Konrad Laimer Shot On Target,1,619,11',132,0,0,2025-08-22 18:42:04,0.0,0.0,0.166,0.652,0.02,0.518,142200.0,Harry Kane,2025-08-24 04:57:23
13547,746718,7,45724084,68,"Offside, FC Bayern München. Harry Kane is caught offside.",Michael Olise Offside,1,769,13',132,0,0,2025-08-22 18:44:35,0.0,0.0,0.732,0.822,0.442,0.716,286831.0,Michael Olise,2025-08-24 04:57:23
13547,746718,8,45724104,135,Attempt blocked. Serge Gnabry (FC Bayern München) left footed shot from outside the box is blocked. Assisted by Harry Kane.,Serge Gnabry Shot Blocked,1,928,16',132,0,0,2025-08-22 18:47:13,0.0,0.0,0.43,0.442,0.35,0.453,178980.0,Serge Gnabry,2025-08-23 05:02:21
13547,746718,8,45724104,135,Attempt blocked. Serge Gnabry (FC Bayern München) left footed shot from outside the box is blocked. Assisted by Harry Kane.,Serge Gnabry Shot Blocked,1,928,16',132,0,0,2025-08-22 18:47:13,0.0,0.0,0.43,0.442,0.35,0.453,142200.0,Harry Kane,2025-08-23 05:02:21
13547,746718,9,45724107,66,Harry Kane (FC Bayern München) wins a free kick in the attacking half.,Willi Orbán Foul,1,970,17',11420,0,0,2025-08-22 18:47:56,0.0,0.0,0.688,0.327,0.0,0.0,162162.0,Willi Orbán,2025-08-24 04:57:23
