seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13657,755904,1,45777829,94,Mohammed Issa (Al Hazem) Yellow Card at 23',Mohammed Issa Yellow Card,1,1380,23',21964,0,0,2025-08-28 16:27:35,0.0,0.0,0.0,0.0,0.0,0.0,348553.0,Mohammed Issa,2025-08-29 05:29:42
13657,755904,2,45777868,94,Yakou Meite (Damac) Yellow Card at 34',Yakou Meite Yellow Card,1,2040,34',21828,0,0,2025-08-28 16:38:46,0.0,0.0,0.0,0.0,0.0,0.0,194715.0,Yakou Meite,2025-08-29 05:29:42
13657,755904,3,45777934,94,Khaled Al Samiri (Damac) Yellow Card at 46',Khaled Al Samiri Yellow Card,1,2700,45'+1',21828,0,0,2025-08-28 16:50:24,0.0,0.0,0.0,0.0,0.0,0.0,256669.0,Khaled Al Samiri,2025-08-29 05:29:42
13657,755904,4,45777986,76,Hazzaa Al Ghamdi (Damac) Substitution at 45',Hazzaa Al Ghamdi Substitution,2,2700,45',21828,0,0,2025-08-28 17:07:57,0.0,0.0,0.0,0.0,0.0,0.0,357652.0,Hazzaa Al Ghamdi,2025-08-29 05:29:42
13657,755904,5,45777994,76,Mohammed Al Saedi (Al Hazem) Substitution at 45',Mohammed Al Saedi Substitution,2,2700,45',21964,0,0,2025-08-28 17:07:57,0.0,0.0,0.0,0.0,0.0,0.0,392489.0,Mohammed Al Saedi,2025-08-29 05:29:42
13657,755904,4,45777986,76,Hazzaa Al Ghamdi (Damac) Substitution at 45',Hazzaa Al Ghamdi Substitution,2,2700,45',21828,0,0,2025-08-28 17:07:57,0.0,0.0,0.0,0.0,0.0,0.0,288569.0,Yahya Naji,2025-08-29 05:29:42
13657,755904,5,45777994,76,Mohammed Al Saedi (Al Hazem) Substitution at 45',Mohammed Al Saedi Substitution,2,2700,45',21964,0,0,2025-08-28 17:07:57,0.0,0.0,0.0,0.0,0.0,0.0,348553.0,Mohammed Issa,2025-08-29 05:29:42
13657,755904,6,45778069,98,Fábio Martins (Al Hazem) Penalty - Scored at 57',Fábio Martins Penalty - Scored,2,3420,57',21964,0,0,2025-08-28 17:20:41,0.0,0.0,0.0,0.0,0.0,0.0,206547.0,Fábio Martins,2025-08-29 05:29:42
13657,755904,7,45778087,76,Abdul Rahman Al Khaibari (Damac) Substitution at 64',Abdul Rahman Al Khaibari Substit,2,3840,64',21828,0,0,2025-08-28 17:27:17,0.0,0.0,0.0,0.0,0.0,0.0,373079.0,Abdul Rahman Al Khaibari,2025-08-29 05:29:42
13657,755904,8,45778096,76,David Kaiki Flores Da Silva (Damac) Substitution at 64',David Kaiki Flores Da Silva Subs,2,3840,64',21828,0,0,2025-08-28 17:27:23,0.0,0.0,0.0,0.0,0.0,0.0,335390.0,David Kaiki Flores Da Silva,2025-08-29 05:29:42
13657,755904,7,45778087,76,Abdul Rahman Al Khaibari (Damac) Substitution at 64',Abdul Rahman Al Khaibari Substit,2,3840,64',21828,0,0,2025-08-28 17:27:17,0.0,0.0,0.0,0.0,0.0,0.0,357576.0,Sanousi Al Hawsawi,2025-08-29 05:29:42
13657,755904,8,45778096,76,David Kaiki Flores Da Silva (Damac) Substitution at 64',David Kaiki Flores Da Silva Subs,2,3840,64',21828,0,0,2025-08-28 17:27:23,0.0,0.0,0.0,0.0,0.0,0.0,256669.0,Khaled Al Samiri,2025-08-29 05:29:42
13657,755904,9,45778130,76,Elias Mokwana (Al Hazem) Substitution at 72',Elias Mokwana Substitution,2,4320,72',21964,0,0,2025-08-28 17:34:58,0.0,0.0,0.0,0.0,0.0,0.0,346381.0,Elias Mokwana,2025-08-29 05:29:42
13657,755904,10,45778143,76,Omar Al-Somah (Al Hazem) Substitution at 72',Omar Al-Somah Substitution,2,4320,72',21964,0,0,2025-08-28 17:35:03,0.0,0.0,0.0,0.0,0.0,0.0,216955.0,Omar Al-Somah,2025-08-29 05:29:42
13657,755904,9,45778130,76,Elias Mokwana (Al Hazem) Substitution at 72',Elias Mokwana Substitution,2,4320,72',21964,0,0,2025-08-28 17:34:58,0.0,0.0,0.0,0.0,0.0,0.0,189615.0,Amir Sayoud,2025-08-29 05:29:42
13657,755904,10,45778143,76,Omar Al-Somah (Al Hazem) Substitution at 72',Omar Al-Somah Substitution,2,4320,72',21964,0,0,2025-08-28 17:35:03,0.0,0.0,0.0,0.0,0.0,0.0,357552.0,Yousef Al Shammari,2025-08-29 05:29:42
13657,755904,11,45778157,94,Nabil Alioui (Damac) Yellow Card at 73',Nabil Alioui Yellow Card,2,4380,73',21828,0,0,2025-08-28 17:36:24,0.0,0.0,0.0,0.0,0.0,0.0,276066.0,Nabil Alioui,2025-08-29 05:29:42
13657,755904,12,45778224,76,Abdullah Al Qahtani (Damac) Substitution at 80',Abdullah Al Qahtani Substitution,2,4800,80',21828,0,0,2025-08-28 17:42:44,0.0,0.0,0.0,0.0,0.0,0.0,343929.0,Abdullah Al Qahtani,2025-08-29 05:29:42
13657,755904,12,45778224,76,Abdullah Al Qahtani (Damac) Substitution at 80',Abdullah Al Qahtani Substitution,2,4800,80',21828,0,0,2025-08-28 17:42:44,0.0,0.0,0.0,0.0,0.0,0.0,276066.0,Nabil Alioui,2025-08-29 05:29:42
13657,755904,13,45778289,76,Abdurahman Al-Dakheel (Al Hazem) Substitution at 87',Abdurahman Al-Dakheel Substituti,2,5220,87',21964,0,0,2025-08-28 17:50:17,0.0,0.0,0.0,0.0,0.0,0.0,365531.0,Abdurahman Al-Dakheel,2025-08-29 05:29:42
