seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13390,736033,1,45498474,70,Alejandro Zendejas (América) Goal at 1',Alejandro Zendejas Goal,1,60,1',227,0,0,2025-07-21 01:22:08,0.0,0.0,0.0,0.0,0.0,0.0,212824,Alejandro Zendejas,2025-07-21 04:39:12
13390,736033,2,45498504,94,Marcel Ruiz (Toluca) Yellow Card at 9',Marcel Ruiz Yellow Card,1,540,9',223,0,0,2025-07-21 01:29:54,0.0,0.0,0.0,0.0,0.0,0.0,272395,Marcel Ruiz,2025-07-21 04:39:12
13390,736033,3,45498513,70,Franco Romero (Toluca) Goal at 12',Franco Romero Goal,1,720,12',223,0,0,2025-07-21 01:32:53,0.0,0.0,0.0,0.0,0.0,0.0,128422,Franco Romero,2025-07-21 04:39:12
13390,736033,4,45498555,94,Alexis Vega (Toluca) Yellow Card at 31',Alexis Vega Yellow Card,1,1860,31',223,0,0,2025-07-21 01:51:46,0.0,0.0,0.0,0.0,0.0,0.0,229487,Alexis Vega,2025-07-21 04:39:12
13390,736033,5,45498567,94,Álvaro Fidalgo (América) Yellow Card at 36',Álvaro Fidalgo Yellow Card,1,2160,36',227,0,0,2025-07-21 01:56:35,0.0,0.0,0.0,0.0,0.0,0.0,283827,Álvaro Fidalgo,2025-07-21 04:39:12
13390,736033,6,45498575,94,Isaías Violante (América) Yellow Card at 48',Isaías Violante Yellow Card,1,2700,45'+3',227,0,0,2025-07-21 02:08:17,0.0,0.0,0.0,0.0,0.0,0.0,308956,Isaías Violante,2025-07-21 04:39:12
13390,736033,7,45498577,70,Bruno Méndez (Toluca) Goal at 50',Bruno Méndez Goal,1,2700,45'+5',223,0,0,2025-07-21 02:10:44,0.0,0.0,0.0,0.0,0.0,0.0,269902,Bruno Méndez,2025-07-21 04:39:12
13390,736033,8,45498581,94,Franco Romero (Toluca) Yellow Card at 47',Franco Romero Yellow Card,2,2820,47',223,0,0,2025-07-21 02:33:42,0.0,0.0,0.0,0.0,0.0,0.0,128422,Franco Romero,2025-07-22 04:39:56
13390,736033,9,45498582,76,Alexis Gutierrez (América) Substitution at 57',Alexis Gutierrez Substitution,2,3420,57',227,0,0,2025-07-21 02:43:49,0.0,0.0,0.0,0.0,0.0,0.0,265866,Alexis Gutierrez,2025-07-21 04:39:12
13390,736033,9,45498582,76,Alexis Gutierrez (América) Substitution at 57',Alexis Gutierrez Substitution,2,3420,57',227,0,0,2025-07-21 02:43:49,0.0,0.0,0.0,0.0,0.0,0.0,285756,Sebastián Cáceres,2025-07-21 04:39:12
13390,736033,10,45498583,76,Kevin Álvarez (América) Substitution at 58',Kevin Álvarez Substitution,2,3480,58',227,0,0,2025-07-21 02:44:04,0.0,0.0,0.0,0.0,0.0,0.0,195312,Kevin Álvarez,2025-07-21 04:39:12
13390,736033,11,45498584,76,Raúl Zúñiga (América) Substitution at 58',Raúl Zúñiga Substitution,2,3480,58',227,0,0,2025-07-21 02:44:11,0.0,0.0,0.0,0.0,0.0,0.0,290853,Raúl Zúñiga,2025-07-21 04:39:12
