seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13083,725196,1,45435103,80,First Half begins.,,1,0,,0,0,0,2025-07-02 16:00:14,0.0,0.0,0.0,0.0,0.0,0.0,,,2025-07-03 11:54:20
13083,725196,2,45435106,66,Sandra Jessen (Iceland Women) wins a free kick in the defensive half.,Eva Nyström Foul,1,72,2',7536,0,0,2025-07-02 16:01:26,0.0,0.0,0.74,0.161,0.0,0.0,317807.0,Eva Nyström,2025-07-03 11:54:20
13083,725196,2,45435106,66,Sandra Jessen (Iceland Women) wins a free kick in the defensive half.,Eva Nyström Foul,1,72,2',7536,0,0,2025-07-02 16:01:26,0.0,0.0,0.74,0.161,0.0,0.0,,Sandra Jessen,2025-07-03 11:54:20
13083,725196,3,45435110,66,Sandra Jessen (Iceland Women) wins a free kick on the right wing.,Eva Nyström Foul,1,125,3',7536,0,0,2025-07-02 16:02:20,0.0,0.0,0.316,0.832,0.0,0.0,317807.0,Eva Nyström,2025-07-03 11:54:20
13083,725196,3,45435110,66,Sandra Jessen (Iceland Women) wins a free kick on the right wing.,Eva Nyström Foul,1,125,3',7536,0,0,2025-07-02 16:02:20,0.0,0.0,0.316,0.832,0.0,0.0,,Sandra Jessen,2025-07-03 11:54:20
13083,725196,4,45435111,94,Eva Nyström (Finland Women) is shown the yellow card for a bad foul.,Eva Nyström Yellow Card,1,133,3',7536,0,0,2025-07-02 16:02:28,0.0,0.0,0.0,0.0,0.0,0.0,317807.0,Eva Nyström,2025-07-03 11:54:20
13083,725196,5,45435114,95,"Corner,Iceland Women. Conceded by Eva Nyström.",Natalia Kuikka Corner Kick,1,198,4',7536,0,0,2025-07-02 16:03:29,0.0,0.0,0.068,0.36,0.0,0.0,226064.0,Natalia Kuikka,2025-07-03 11:54:20
13083,725196,6,45435115,66,Natalia Kuikka (Finland Women) wins a free kick in the defensive half.,Hildur Antonsdóttir Foul,1,238,4',3683,0,0,2025-07-02 16:04:13,0.0,0.0,0.204,0.487,0.0,0.0,328078.0,Hildur Antonsdóttir,2025-07-03 11:54:20
13083,725196,6,45435115,66,Natalia Kuikka (Finland Women) wins a free kick in the defensive half.,Hildur Antonsdóttir Foul,1,238,4',3683,0,0,2025-07-02 16:04:13,0.0,0.0,0.204,0.487,0.0,0.0,,Natalia Kuikka,2025-07-03 11:54:20
13083,725196,7,45435121,95,"Corner,Finland Women. Conceded by Glódís Viggósdóttir.",Glódís Perla Viggósdóttir Corner,1,381,7',3683,0,0,2025-07-02 16:06:35,0.0,0.0,0.032,0.278,0.0,0.0,255590.0,Glódís Perla Viggósdóttir,2025-07-03 11:54:20
13083,725196,8,45435124,135,Attempt blocked. Linda Sällström (Finland Women) left footed shot from the centre of the box is blocked.,Linda Sällström Shot Blocked,1,444,8',7536,0,0,2025-07-02 16:07:39,0.0,0.0,0.196,0.528,0.17,0.527,267678.0,Linda Sällström,2025-07-03 11:54:20
13083,725196,9,45435126,106,Attempt saved. Ria Öling (Finland Women) right footed shot from the centre of the box is saved in the top centre of the goal by Cecilía Rán Rúnarsdóttir (Iceland Women). Assisted by Linda Sällström.,Ria Öling Shot On Target,1,446,8',7536,0,0,2025-07-02 16:07:40,0.0,0.0,0.242,0.548,0.018,0.525,267672.0,Ria Öling,2025-07-03 11:54:20
13083,725196,9,45435126,106,Attempt saved. Ria Öling (Finland Women) right footed shot from the centre of the box is saved in the top centre of the goal by Cecilía Rán Rúnarsdóttir (Iceland Women). Assisted by Linda Sällström.,Ria Öling Shot On Target,1,446,8',7536,0,0,2025-07-02 16:07:40,0.0,0.0,0.242,0.548,0.018,0.525,267678.0,Linda Sällström,2025-07-03 11:54:20
13083,725196,10,45435132,117,Attempt missed. Karólína Lea Vilhjálmsdóttir (Iceland Women) right footed shot from outside the box is high and wide to the right. Assisted by Sveindís Jónsdóttir.,Karólína Lea Vilhjálmsdóttir Sho,1,620,11',3683,0,0,2025-07-02 16:10:35,0.0,0.0,0.358,0.28,0.0,0.613,293324.0,Karólína Lea Vilhjálmsdóttir,2025-07-03 11:54:20
13083,725196,10,45435132,117,Attempt missed. Karólína Lea Vilhjálmsdóttir (Iceland Women) right footed shot from outside the box is high and wide to the right. Assisted by Sveindís Jónsdóttir.,Karólína Lea Vilhjálmsdóttir Sho,1,620,11',3683,0,0,2025-07-02 16:10:35,0.0,0.0,0.358,0.28,0.0,0.613,317692.0,Sveindís Jane Jónsdóttir,2025-07-03 11:54:20
13083,725196,11,45435136,117,Attempt missed. Katariina Kosola (Finland Women) right footed shot from outside the box is just a bit too high. Assisted by Natalia Kuikka.,Katariina Kosola Shot Off Target,1,773,13',7536,0,0,2025-07-02 16:13:08,0.0,0.0,0.384,0.307,0.0,0.504,336365.0,Katariina Kosola,2025-07-03 11:54:20
13083,725196,11,45435136,117,Attempt missed. Katariina Kosola (Finland Women) right footed shot from outside the box is just a bit too high. Assisted by Natalia Kuikka.,Katariina Kosola Shot Off Target,1,773,13',7536,0,0,2025-07-02 16:13:08,0.0,0.0,0.384,0.307,0.0,0.504,226064.0,Natalia Kuikka,2025-07-03 11:54:20
13083,725196,12,45435144,135,Attempt blocked. Sanni Franssi (Finland Women) right footed shot from the left side of the box is blocked. Assisted by Ria Öling.,Sanni Franssi Shot Blocked,1,945,16',7536,0,0,2025-07-02 16:15:59,0.0,0.0,0.302,0.301,0.268,0.323,267669.0,Sanni Franssi,2025-07-03 11:54:20
13083,725196,12,45435144,135,Attempt blocked. Sanni Franssi (Finland Women) right footed shot from the left side of the box is blocked. Assisted by Ria Öling.,Sanni Franssi Shot Blocked,1,945,16',7536,0,0,2025-07-02 16:15:59,0.0,0.0,0.302,0.301,0.268,0.323,267672.0,Ria Öling,2025-07-03 11:54:20
13083,725196,13,45435146,106,Attempt saved. Katariina Kosola (Finland Women) right footed shot from outside the box is saved in the top left corner by Cecilía Rán Rúnarsdóttir (Iceland Women).,Katariina Kosola Shot On Target,1,948,16',7536,0,0,2025-07-02 16:16:03,0.0,0.0,0.388,0.456,0.022,0.5,336365.0,Katariina Kosola,2025-07-03 11:54:20
13083,725196,14,45435149,95,"Corner,Finland Women. Conceded by Cecilía Rán Rúnarsdóttir.",Cecilía Rán Rúnarsdóttir Corner ,1,952,16',3683,0,0,2025-07-02 16:16:04,0.0,0.0,0.234,0.368,0.0,0.0,293323.0,Cecilía Rán Rúnarsdóttir,2025-07-03 11:54:20
13083,725196,15,45435151,95,"Corner,Iceland Women. Conceded by Anna Koivunen.",Anna Koivunen Corner Kick,1,1029,18',7536,0,0,2025-07-02 16:17:22,0.0,0.0,0.184,0.706,0.0,0.0,317804.0,Anna Koivunen,2025-07-03 11:54:20
13083,725196,16,45435158,66,Joanna Tynnilä (Finland Women) wins a free kick in the defensive half.,Hlín Eiríksdóttir Foul,1,1522,26',3683,0,0,2025-07-02 16:25:37,0.0,0.0,0.68,0.799,0.0,0.0,270127.0,Hlín Eiríksdóttir,2025-07-03 11:54:20
13083,725196,16,45435158,66,Joanna Tynnilä (Finland Women) wins a free kick in the defensive half.,Hlín Eiríksdóttir Foul,1,1522,26',3683,0,0,2025-07-02 16:25:37,0.0,0.0,0.68,0.799,0.0,0.0,,Joanna Tynnilä,2025-07-03 11:54:20
13083,725196,17,45435176,135,Attempt blocked. Sandra Jessen (Iceland Women) left footed shot from outside the box is blocked.,Sandra Jessen Shot Blocked,1,1599,27',3683,0,0,2025-07-02 16:26:54,0.0,0.0,0.376,0.489,0.222,0.482,259754.0,Sandra Jessen,2025-07-03 11:54:20
13083,725196,18,45435164,135,Attempt blocked. Sanni Franssi (Finland Women) left footed shot from the left side of the box is blocked. Assisted by Ria Öling.,Sanni Franssi Shot Blocked,1,1675,28',7536,0,0,2025-07-02 16:28:10,0.0,0.0,0.27,0.358,0.238,0.374,267669.0,Sanni Franssi,2025-07-03 11:54:20
13083,725196,18,45435164,135,Attempt blocked. Sanni Franssi (Finland Women) left footed shot from the left side of the box is blocked. Assisted by Ria Öling.,Sanni Franssi Shot Blocked,1,1675,28',7536,0,0,2025-07-02 16:28:10,0.0,0.0,0.27,0.358,0.238,0.374,267672.0,Ria Öling,2025-07-03 11:54:20
13083,725196,19,45435165,66,Karólína Lea Vilhjálmsdóttir (Iceland Women) wins a free kick in the defensive half.,Eveliina Summanen Foul,1,1687,29',7536,0,0,2025-07-02 16:28:22,0.0,0.0,0.576,0.314,0.0,0.0,267666.0,Eveliina Summanen,2025-07-03 11:54:20
13083,725196,19,45435165,66,Karólína Lea Vilhjálmsdóttir (Iceland Women) wins a free kick in the defensive half.,Eveliina Summanen Foul,1,1687,29',7536,0,0,2025-07-02 16:28:22,0.0,0.0,0.576,0.314,0.0,0.0,,Karólína Lea Vilhjálmsdóttir,2025-07-03 11:54:20
13083,725196,20,45435171,106,Attempt saved. Oona Siren (Finland Women) right footed shot from outside the box is saved in the centre of the goal by Cecilía Rán Rúnarsdóttir (Iceland Women). Assisted by Eveliina Summanen.,Oona Siren Shot On Target,1,1780,30',7536,0,0,2025-07-02 16:29:55,0.0,0.0,0.55,0.667,0.028,0.527,349057.0,Oona Siren,2025-07-03 11:54:20
13083,725196,20,45435171,106,Attempt saved. Oona Siren (Finland Women) right footed shot from outside the box is saved in the centre of the goal by Cecilía Rán Rúnarsdóttir (Iceland Women). Assisted by Eveliina Summanen.,Oona Siren Shot On Target,1,1780,30',7536,0,0,2025-07-02 16:29:55,0.0,0.0,0.55,0.667,0.028,0.527,267666.0,Eveliina Summanen,2025-07-03 11:54:20
13083,725196,21,45435173,66,Foul by Sveindís Jónsdóttir (Iceland Women).,Sveindís Jane Jónsdóttir Foul,1,1802,31',3683,0,0,2025-07-02 16:30:17,0.0,0.0,0.904,0.122,0.0,0.0,317692.0,Sveindís Jane Jónsdóttir,2025-07-03 11:54:20
13083,725196,21,45435173,66,Foul by Sveindís Jónsdóttir (Iceland Women).,Sveindís Jane Jónsdóttir Foul,1,1802,31',3683,0,0,2025-07-02 16:30:17,0.0,0.0,0.904,0.122,0.0,0.0,,Emma Koivisto,2025-07-03 11:54:20
