seasonType,eventId,playOrder,playId,typeId,text,shortText,period,clockValue,clockDisplayValue,teamId,scoringPlay,shootout,wallclock,goalPositionX,goalPositionY,fieldpositionX,fieldPositionY,fieldPosition2X,fieldPosition2Y,athleteId,participant,updateDateTime
13100,757091,1,45858823,94,Aldair Sanchez (Rhode Island FC) Yellow Card at 8',Aldair Sanchez Yellow Card,1,480,8',22164,0,0,2025-09-10 23:14:11,0.0,0.0,0.0,0.0,0.0,0.0,292951.0,Aldair Sanchez,2025-09-11 05:14:51
13100,757091,2,45858856,94,Hugo Bacharach (Rhode Island FC) Yellow Card at 28',Hugo Bacharach Yellow Card,1,1680,28',22164,0,0,2025-09-10 23:34:10,0.0,0.0,0.0,0.0,0.0,0.0,377079.0,Hugo Bacharach,2025-09-11 05:14:51
13100,757091,3,45858938,94,Amos Shapiro-Thompson (Rhode Island FC) Yellow Card at 50',Amos Shapiro-Thompson Yellow Car,2,3000,50',22164,0,0,2025-09-11 00:13:57,0.0,0.0,0.0,0.0,0.0,0.0,297831.0,Amos Shapiro-Thompson,2025-09-11 05:14:51
13100,757091,4,45858940,94,Rodrigo Lopez (Sacramento Republic FC) Yellow Card at 52',Rodrigo Lopez Yellow Card,2,3120,52',17828,0,0,2025-09-11 00:15:48,0.0,0.0,0.0,0.0,0.0,0.0,103806.0,Rodrigo Lopez,2025-09-11 05:14:51
13100,757091,5,45858941,76,Joseph Brito (Rhode Island FC) Substitution at 56',Joseph Brito Substitution,2,3360,56',22164,0,0,2025-09-11 00:20:02,0.0,0.0,0.0,0.0,0.0,0.0,338778.0,Joseph Brito,2025-09-11 05:14:51
13100,757091,5,45858941,76,Joseph Brito (Rhode Island FC) Substitution at 56',Joseph Brito Substitution,2,3360,56',22164,0,0,2025-09-11 00:20:02,0.0,0.0,0.0,0.0,0.0,0.0,334117.0,Dwayne Atkinson,2025-09-11 05:14:51
13100,757091,6,45858949,76,Frank Nodarse (Rhode Island FC) Substitution at 68',Frank Nodarse Substitution,2,4080,68',22164,0,0,2025-09-11 00:31:59,0.0,0.0,0.0,0.0,0.0,0.0,316346.0,Frank Nodarse,2025-09-11 05:14:51
13100,757091,6,45858949,76,Frank Nodarse (Rhode Island FC) Substitution at 68',Frank Nodarse Substitution,2,4080,68',22164,0,0,2025-09-11 00:31:59,0.0,0.0,0.0,0.0,0.0,0.0,297831.0,Amos Shapiro-Thompson,2025-09-11 05:14:51
13100,757091,7,45858958,76,Noah Fuson (Rhode Island FC) Substitution at 69',Noah Fuson Substitution,2,4140,69',22164,0,0,2025-09-11 00:32:16,0.0,0.0,0.0,0.0,0.0,0.0,316340.0,Noah Fuson,2025-09-11 05:14:51
13100,757091,7,45858958,76,Noah Fuson (Rhode Island FC) Substitution at 69',Noah Fuson Substitution,2,4140,69',22164,0,0,2025-09-11 00:32:16,0.0,0.0,0.0,0.0,0.0,0.0,292951.0,Aldair Sanchez,2025-09-11 05:14:51
13100,757091,9,45858985,94,Noah Fuson (Rhode Island FC) Yellow Card at 77',Noah Fuson Yellow Card,2,4620,77',22164,0,0,2025-09-11 00:41:03,0.0,0.0,0.0,0.0,0.0,0.0,316340.0,Noah Fuson,2025-09-11 05:14:51
13100,757091,8,45858982,76,Zachary Herivaux (Rhode Island FC) Substitution at 77',Zachary Herivaux Substitution,2,4620,77',22164,0,0,2025-09-11 00:40:18,0.0,0.0,0.0,0.0,0.0,0.0,218846.0,Zachary Herivaux,2025-09-11 05:14:51
